round_review,cmpr,nct_id,arm_id_unq,drug_code,ltr,mono,dual,triple,drug_regime,drug_regime_simplify,data_type,n,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,mandatory_ancillary1,,
1,"A,AB,B",NCT02058147,uaa11028,A10A,A,,A,A,dual,dual,agg,464,insulin glargine,as per bm,units,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02058147,uaa11029,A10A_A10BJ03,AB,,,AB,dual,dual,agg,467,lixisenatide,as per bm,microgram,od,insulin glargine,as per bm,units,od,metformin,,
1,"A,AB,B",NCT02058147,uaa11030,A10BJ03,B,,B,,dual,dual,agg,233,lixisenatide,20,microgram,od,NA,NA,NA,NA,metformin,,
1,"B,BM,M",NCT00915772,uaa10430,A10BA02,M,M,M,,dual,dual,ipd,171,metformin,500,milligram,od,NA,NA,NA,NA,metformin,,
1,"B,BM,M",NCT00915772,uaa10431,A10BH05,B,B,,,dual,dual,ipd,223,linagliptin,2.5,milligram,od,NA,NA,NA,NA,metformin,,
1,"B,BM,M",NCT00915772,uaa10432,A10BA02_A10BH05,BM,,BM,,dual,dual,ipd,170,linagliptin,2.5,milligram,od,metformin,500,milligram,od,metformin,,SGLT2i > GLP1a > DPP4i
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10681,A10BF_A10BH05,CE,,,,dual,dual,ipd,85,linagliptin,5,milligram,od,alpha glucosidase inhibitor,NA,NA,NA,NA,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10682,A10BH05_A10BX,EF,,,,dual,dual,ipd,65,linagliptin,5,milligram,od,glinide,NA,NA,NA,NA,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10683,A10BA02_A10BH05,EM,,,,dual,dual,ipd,82,linagliptin,5,milligram,od,metformin,NA,NA,NA,NA,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10684,A10BB_A10BH05,BE,,BE,,dual,dual,ipd,143,linagliptin,5,milligram,od,sulfonylurea,NA,NA,NA,NA,,
