nct_id,result_group_id,ctgov_group_code,param_value_num,dispersion_value_num,number_analyzed
NCT00621140,40797809,BG000,54.4,10.3,167
NCT00621140,40797810,BG001,56.4,10.1,336
NCT00621140,40797811,BG002,55.7,10.2,503
NCT00509236,40797895,BG000,60.5,9.1,64
NCT00509236,40797896,BG001,58.5,9.9,65
NCT00509236,40797897,BG002,59.5,9.5,129
NCT02963922,40918485,BG000,55.9,11.3,198
NCT02963922,40918486,BG001,57.6,10.4,198
NCT02963922,40918487,BG002,56.8,10.9,396
NCT00614120,40799423,BG004,53.3,9.5,929
NCT01719003,41044270,BG000,53.6,10.7,169
NCT01719003,41044271,BG001,51,10.7,165
NCT03954834,40803737,BG000,54.1,11.88,121
NCT03954834,40803738,BG001,55.8,10.35,121
NCT03954834,40803739,BG002,52.9,12.34,121
NCT03954834,40803740,BG003,53.6,12.79,115
NCT03954834,40803741,BG004,54.1,11.88,478
NCT00082381,40804617,BG001,57.96,9.46,267
NCT00082381,40804618,BG002,58.91,9.13,549
NCT01719003,41044277,BG007,53.4,10.9,168
NCT01719003,41044278,BG008,52.6,10.9,1327
NCT00086515,40806757,BG000,54.4,10.4,464
NCT00086515,40806758,BG001,54.7,9.7,237
NCT00086515,40806759,BG002,54.5,10.2,701
NCT00393718,40807222,BG000,58.2,10.4,268
NCT00393718,40807223,BG001,58.5,10.4,132
NCT00393718,40807224,BG002,58.3,10.4,400
NCT00360334,40811256,BG000,56.8,10.2,118
NCT00360334,40811257,BG001,56.2,7.9,116
NCT00360334,40811258,BG002,56.5,9.1,234
NCT00518882,40812921,BG000,56.3,9.8,233
NCT00518882,40812922,BG001,57.1,10.8,231
NCT00518882,40812923,BG002,56.7,10.3,464
NCT00516074,40813421,BG000,56.62,10.9,28
NCT00516074,40813422,BG001,54.14,10.13,26
NCT00516074,40813423,BG002,55.43,10.51,54
NCT00509262,40813731,BG000,64.2,10.7,211
NCT00509262,40813732,BG001,64.2,9.4,212
NCT00509262,40813733,BG002,64.2,10.1,423
NCT02791490,40920989,BG000,55.6,10.5,229
NCT02791490,40920990,BG001,55.3,10.4,229
NCT02791490,40920991,BG002,55.5,10.4,458
NCT02036515,41032146,BG000,59.2,9.3,156
NCT02036515,41032147,BG001,59.7,8.6,153
