id,nct_id,outcome_id,result_group_id,ctgov_group_code,scope,units,count
48112599,NCT03315143,20020895,40926150,OG000,Measure,Participants,5292
48112600,NCT03315143,20020895,40926151,OG001,Measure,Participants,5292
48112601,NCT03315143,20020896,40926150,OG000,Measure,Participants,5292
48112602,NCT03315143,20020896,40926151,OG001,Measure,Participants,5292
48112603,NCT03315143,20020897,40926150,OG000,Measure,Participants,5292
48112604,NCT03315143,20020897,40926151,OG001,Measure,Participants,5292
48112605,NCT03315143,20020898,40926150,OG000,Measure,Participants,5292
48112606,NCT03315143,20020898,40926151,OG001,Measure,Participants,5292
48112607,NCT03315143,20020899,40926150,OG000,Measure,Participants,5292
48112608,NCT03315143,20020899,40926151,OG001,Measure,Participants,5292
48112609,NCT03315143,20020900,40926150,OG000,Measure,Participants,5292
48112610,NCT03315143,20020900,40926151,OG001,Measure,Participants,5292
48112611,NCT03315143,20020901,40926150,OG000,Measure,Participants,5292
48112612,NCT03315143,20020901,40926151,OG001,Measure,Participants,5292
48112613,NCT03315143,20020902,40926150,OG000,Measure,Participants,5292
48112614,NCT03315143,20020902,40926151,OG001,Measure,Participants,5292
47890059,NCT00516074,19928896,40813427,OG001,Measure,Participants,25
47890060,NCT00516074,19928897,40813426,OG000,Measure,Participants,26
47890061,NCT00516074,19928897,40813427,OG001,Measure,Participants,25
47890062,NCT00516074,19928898,40813426,OG000,Measure,Participants,26
47890063,NCT00516074,19928898,40813427,OG001,Measure,Participants,25
47890064,NCT00516074,19928899,40813426,OG000,Measure,Participants,27
47666663,NCT01029886,19838332,40697756,OG000,Measure,Participants,390
47666664,NCT01029886,19838332,40697757,OG001,Measure,Participants,386
47666665,NCT01029886,19838333,40697756,OG000,Measure,Participants,461
47666666,NCT01029886,19838333,40697757,OG001,Measure,Participants,450
47666667,NCT01029886,19838334,40697756,OG000,Measure,Participants,403
47666668,NCT01029886,19838334,40697757,OG001,Measure,Participants,385
47666669,NCT01029886,19838335,40697756,OG000,Measure,Participants,404
47666670,NCT01029886,19838335,40697757,OG001,Measure,Participants,398
47666671,NCT01029886,19838336,40697756,OG000,Measure,Participants,402
47666672,NCT01029886,19838336,40697757,OG001,Measure,Participants,386
47666673,NCT01029886,19838337,40697756,OG000,Measure,Participants,402
47666674,NCT01029886,19838337,40697757,OG001,Measure,Participants,386
47666675,NCT01029886,19838338,40697756,OG000,Measure,Participants,395
47666676,NCT01029886,19838338,40697757,OG001,Measure,Participants,385
47666677,NCT01029886,19838339,40697756,OG000,Measure,Participants,404
47666678,NCT01029886,19838339,40697757,OG001,Measure,Participants,398
47666679,NCT01029886,19838340,40697756,OG000,Measure,Participants,404
47666680,NCT01029886,19838340,40697757,OG001,Measure,Participants,398
47666681,NCT01029886,19838341,40697758,OG000,Measure,Participants,294
47666682,NCT01029886,19838341,40697759,OG001,Measure,Participants,296
47666683,NCT01029886,19838341,40697760,OG002,Measure,Participants,167
47666684,NCT01029886,19838341,40697761,OG003,Measure,Participants,154
47667792,NCT01031680,19838744,40698260,OG000,Measure,Participants,448
47667793,NCT01031680,19838744,40698261,OG001,Measure,Participants,451
47667794,NCT01031680,19838745,40698260,OG000,Measure,Participants,444
47667795,NCT01031680,19838745,40698261,OG001,Measure,Participants,451
47667796,NCT01031680,19838746,40698260,OG000,Measure,Participants,451
47667797,NCT01031680,19838746,40698261,OG001,Measure,Participants,459
47667798,NCT01031680,19838747,40698260,OG000,Measure,Participants,455
47667799,NCT01031680,19838747,40698261,OG001,Measure,Participants,459
47667800,NCT01031680,19838748,40698260,OG000,Measure,Participants,451
47667801,NCT01031680,19838748,40698261,OG001,Measure,Participants,459
47667802,NCT01031680,19838749,40698260,OG000,Measure,Participants,388
47667803,NCT01031680,19838749,40698261,OG001,Measure,Participants,397
47890054,NCT00516074,19928894,40813426,OG000,Measure,Participants,26
47890055,NCT00516074,19928894,40813427,OG001,Measure,Participants,25
47890056,NCT00516074,19928895,40813426,OG000,Measure,Participants,26
47890057,NCT00516074,19928895,40813427,OG001,Measure,Participants,25
47890058,NCT00516074,19928896,40813426,OG000,Measure,Participants,26
48338422,NCT01897532,20110041,41041586,OG000,Measure,Participants,3485
48338423,NCT01897532,20110041,41041587,OG001,Measure,Participants,3494
48338424,NCT01897532,20110042,41041586,OG000,Measure,Participants,3485
48338425,NCT01897532,20110042,41041587,OG001,Measure,Participants,3494
48340173,NCT01778049,20110669,41042560,OG000,Measure,Participants,111
48340174,NCT01778049,20110669,41042561,OG001,Measure,Participants,110
48340272,NCT01890122,20110707,41042620,OG002,Measure,Participants,158
48340273,NCT01890122,20110707,41042621,OG003,Measure,Participants,161
48340274,NCT01890122,20110708,41042618,OG000,Measure,Participants,161
48340275,NCT01890122,20110708,41042619,OG001,Measure,Participants,162
48340276,NCT01890122,20110708,41042620,OG002,Measure,Participants,158
48340277,NCT01890122,20110708,41042621,OG003,Measure,Participants,161
