id,nct_id,outcome_id,result_group_id,ctgov_group_code,scope,units,count
15841503,NCT01584232,6600097,9876591,OG000,Measure,Participants,178
15841504,NCT01584232,6600097,9876592,OG001,Measure,Participants,179
15841505,NCT01584232,6600098,9876591,OG000,Measure,Participants,178
15841506,NCT01584232,6600098,9876592,OG001,Measure,Participants,179
15841507,NCT01584232,6600099,9876591,OG000,Measure,Participants,176
15841508,NCT01584232,6600099,9876592,OG001,Measure,Participants,176
15841509,NCT01584232,6600100,9876591,OG000,Measure,Participants,178
15841510,NCT01584232,6600100,9876592,OG001,Measure,Participants,179
15841511,NCT01584232,6600101,9876591,OG000,Measure,Participants,180
15841512,NCT01584232,6600101,9876592,OG001,Measure,Participants,180
15841513,NCT01584232,6600102,9876591,OG000,Measure,Participants,181
15841514,NCT01584232,6600102,9876592,OG001,Measure,Participants,180
15848465,NCT01606007,6602826,9880647,OG000,Measure,Participants,143
15848466,NCT01606007,6602826,9880648,OG001,Measure,Participants,151
15848467,NCT01606007,6602826,9880649,OG002,Measure,Participants,158
15848468,NCT01606007,6602827,9880647,OG000,Measure,Participants,147
16057935,NCT02413398,6688460,10008728,OG000,Measure,Participants,142
16057936,NCT02413398,6688460,10008729,OG001,Measure,Participants,134
16057937,NCT02413398,6688461,10008728,OG000,Measure,Participants,149
16057938,NCT02413398,6688461,10008729,OG001,Measure,Participants,146
16057939,NCT02413398,6688462,10008728,OG000,Measure,Participants,135
16057940,NCT02413398,6688462,10008729,OG001,Measure,Participants,134
16057941,NCT02413398,6688463,10008728,OG000,Measure,Participants,146
15843853,NCT01590771,6600956,9877830,OG000,Measure,Participants,243
15843854,NCT01590771,6600956,9877831,OG001,Measure,Participants,236
15843855,NCT01590771,6600957,9877830,OG000,Measure,Participants,239
15843856,NCT01590771,6600957,9877831,OG001,Measure,Participants,231
15843857,NCT01590771,6600958,9877830,OG000,Measure,Participants,246
15843858,NCT01590771,6600958,9877831,OG001,Measure,Participants,243
15843859,NCT01590771,6600959,9877830,OG000,Measure,Participants,111
15843860,NCT01590771,6600959,9877831,OG001,Measure,Participants,112
15843861,NCT01590771,6600960,9877830,OG000,Measure,Participants,132
15843862,NCT01590771,6600960,9877831,OG001,Measure,Participants,124
15843863,NCT01590771,6600961,9877830,OG000,Measure,Participants,109
15843864,NCT01590771,6600961,9877831,OG001,Measure,Participants,111
15843865,NCT01590771,6600962,9877830,OG000,Measure,Participants,130
15843866,NCT01590771,6600962,9877831,OG001,Measure,Participants,120
15843867,NCT01590771,6600963,9877830,OG000,Measure,Participants,113
15843868,NCT01590771,6600963,9877831,OG001,Measure,Participants,114
15843869,NCT01590771,6600964,9877830,OG000,Measure,Participants,133
15843870,NCT01590771,6600964,9877831,OG001,Measure,Participants,129
15843871,NCT01590771,6600965,9877830,OG000,Measure,Participants,248
15843872,NCT01590771,6600965,9877831,OG001,Measure,Participants,249
15843873,NCT01590771,6600966,9877830,OG000,Measure,Participants,248
15843874,NCT01590771,6600966,9877831,OG001,Measure,Participants,249
15843875,NCT01590797,6600967,9877839,OG000,Measure,Participants,223
15843876,NCT01590797,6600967,9877840,OG001,Measure,Participants,219
15843877,NCT01590797,6600968,9877839,OG000,Measure,Participants,109
15843878,NCT01590797,6600968,9877840,OG001,Measure,Participants,104
15843879,NCT01590797,6600969,9877839,OG000,Measure,Participants,209
15843880,NCT01590797,6600969,9877840,OG001,Measure,Participants,203
15843881,NCT01590797,6600970,9877839,OG000,Measure,Participants,234
15843882,NCT01590797,6600970,9877840,OG001,Measure,Participants,233
15843883,NCT01590797,6600971,9877839,OG000,Measure,Participants,234
15843884,NCT01590797,6600971,9877840,OG001,Measure,Participants,233
15848469,NCT01606007,6602827,9880648,OG001,Measure,Participants,144
