nct_id2,nct_id,arm_id_unq,base,end,result,n,n_analysed,sd
NCT00286429,NCT00286429,uaa10053,9.29,8.65,-0.63,131,130,1.03
NCT00286429,NCT00286429,uaa10054,9.27,8.55,-0.72,129,126,0.86
NCT00286429,NCT00286429,uaa10055,9.28,9.15,-0.13,130,126,0.75
NCT00286442,NCT00286442,uaa10057,7.89,7.3,-0.6,213,210,0.75
NCT00286442,NCT00286442,uaa10058,7.93,7.34,-0.59,210,203,0.8
NCT00286442,NCT00286442,uaa10059,8.01,7.89,-0.12,104,103,0.83
NCT00286455,NCT00286455,uaa10061,7.91,7.36,-0.55,133,131,0.7
NCT00286455,NCT00286455,uaa10062,7.91,7.32,-0.58,131,128,0.81
NCT00286455,NCT00286455,uaa10063,8.03,7.98,-0.05,65,63,0.87
NCT00286468,NCT00286468,uaa10065,8.06,7.71,-0.37,203,201,0.77
NCT00286468,NCT00286468,uaa10066,8.09,7.59,-0.51,198,197,0.9
NCT00286468,NCT00286468,uaa10067,8.17,8.13,-0.04,99,98,0.89
NCT00286494,NCT00286494,uaa10069,8.08,7.41,-0.67,197,196,0.86
NCT00286494,NCT00286494,uaa10070,8.01,7.21,-0.8,199,195,0.81
NCT00286494,NCT00286494,uaa10071,7.97,7.8,-0.17,97,95,0.8
NCT00306384,NCT00306384,uaa10088,7.21,7.85,0.64,1396,1348,1.32
NCT00306384,NCT00306384,uaa10089,7.22,7.83,0.61,1399,1352,1.25
NCT00601250,NCT00601250,uaa10222,8.1,7.44,-0.64,524,517,0.83
NCT00601250,NCT00601250,uaa10223,8.02,7.99,-0.03,177,176,1.08
NCT00602472,NCT00602472,uaa10225,8.14,7.41,-0.73,793,785,0.87
NCT00602472,NCT00602472,uaa10226,8.13,8,-0.13,265,264,0.88
NCT00621140,NCT00621140,uaa10243,7.99,7.45,-0.55,336,334,0.87
NCT00621140,NCT00621140,uaa10244,8,8.05,0.05,167,163,1.25
NCT00622284,NCT00622284,uaa10246,7.69,6.97,-0.72,775,767,0.81
