nct_id,arm_id_unq,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,new_note
NCT00035984,ab0003,placebo,0.02,ml,bd,,,,,
NCT00035984,ab0003,placebo,0.04,ml,bd,,,,,
NCT00039013,ab0007,placebo,,ml,bd,,,,,
NCT00039013,ab0007,placebo,,ml,bd,,,,,
NCT00039026,ab0011,placebo,,ml,bd,,,,,
NCT00039026,ab0011,placebo,,ml,bd,,,,,
NCT00765830,ab0078,placebo,,,,,,,,
NCT00765830,ab0078,placebo,,,,,,,,
NCT00765830,ab0079,vildagliptin,50,mg,od,,,,,
NCT00765830,ab0079,vildagliptin,50,mg,od,,,,,
NCT01394341,ab0135,placebo,,,,,,,,
NCT01394341,ab0135,placebo,,,,,,,,
NCT01394341,ab0133,liraglutide,1.8,mg,od,,,,,
NCT01394341,ab0133,liraglutide,1.8,mg,od,,,,,
UMIN000019022,ac0182,alogliptin,25,mg,od,,,,,
UMIN000019022,ac0182,alogliptin,25,mg,od,,,,,
UMIN000019022,ac0183,vildagliptin,50,mg,bd,,,,,
UMIN000019022,ac0183,vildagliptin,50,mg,bd,,,,,
NCT00082381,uaa10001,exenatide,10,microgram,bd,,,,,
NCT00082381,uaa10002,insulin glargine,as per bm,units,od,,,,,
NCT00082381,uaa10003,,,,,,,,,
NCT00082407,uaa10004,exenatide,10,microgram,bd,,,,,
NCT00082407,uaa10005,insulin aspart,as per bm,units,bd,,,,,
NCT00082407,uaa10006,,,,,,,,,
NCT00086502,uaa10007,placebo,,,,,,,,
NCT00086502,uaa10008,sitagliptin,100,milligram,od,,,,,
NCT00086502,uaa10009,,,,,,,,,
NCT00086515,uaa10010,placebo,,,,,,,,
NCT00086515,uaa10011,sitagliptin,100,milligram,od,,,,,
NCT00086515,uaa10012,,,,,,,,,
NCT00087516,uaa10013,placebo,,,,,,,,
NCT00087516,uaa10014,sitagliptin,100,milligram,od,,,,,
NCT00087516,uaa10015,sitagliptin,200,milligram,od,,,,,
NCT00087516,uaa10016,,,,,,,,,
NCT00094757,uaa10017,placebo,,,,,,,,
NCT00094757,uaa10018,sitagliptin,100,milligram,od,,,,,
NCT00094757,uaa10019,sitagliptin,200,milligram,od,,,,,
NCT00094757,uaa10020,,,,,,,,,
NCT00094770,uaa10021,glipizide,5,milligram,od,,,,,
NCT00094770,uaa10022,sitagliptin,100,milligram,od,,,,,
NCT00094770,uaa10023,,,,,,,,,
NCT00097500,uaa10024,exenatide,10,microgram,bd,,,,,
NCT00097500,uaa10025,insulin glargine,as per bm,units,od,,,,,
NCT00097500,uaa10026,,,,,,,,,
NCT00103857,uaa10027,,,,,,,,,
NCT00103857,uaa10028,metformin,1000,milligram,bd,,,,,
NCT00103857,uaa10029,metformin,500,milligram,bd,,,,,
NCT00103857,uaa10030,placebo,,,,,,,,
NCT00103857,uaa10031,sitagliptin,50,milligram,bd,metformin,1000,milligram,bd,
NCT00103857,uaa10032,sitagliptin,50,milligram,bd,metformin,500,milligram,bd,
NCT00103857,uaa10033,sitagliptin,100,milligram,od,,,,,
NCT00103857,uaa10034,,,,,,,,,
NCT00106704,uaa10035,placebo,,,,,,,,
NCT00106704,uaa10036,sitagliptin,100,milligram,od,,,,,
NCT00106704,uaa10037,,,,,,,,,
NCT00121641,uaa10038,,,,,,,,,
NCT00121641,uaa10039,placebo,,,,,,,,
NCT00121641,uaa10040,saxagliptin,10,milligram,od,,,,,
NCT00121641,uaa10041,saxagliptin,2.5,milligram,od,,,,,
NCT00121641,uaa10042,saxagliptin,5,milligram,od,,,,,
NCT00121641,uaa10043,,,,,,,,,
NCT00121667,uaa10044,placebo,,,,,,,,
NCT00121667,uaa10045,saxagliptin,10,milligram,od,,,,,
NCT00121667,uaa10046,saxagliptin,2.5,milligram,od,,,,,
NCT00121667,uaa10047,saxagliptin,5,milligram,od,,,,,
NCT00121667,uaa10048,,,,,,,,,
NCT00135330,uaa10049,exenatide,10,microgram,bd,,,,,
