nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT00968812,uaa10456,female,231,54.3,9.4,5,0.1310000000000001,"0=20, 9=44, 63=60, 82=60, 100=76"
NCT00968812,uaa10456,male,252,55.1,9.7,6,0.1410000000000001,"0=24, 8=44, 44=56, 62=56, 76=60, 100=76"
NCT00968812,uaa10457,female,244,54.2,9.3,9,0.10800000000000008,"0=32, 19=48, 31=48, 46=56, 63=56, 63=60, 80=60, 91=64, 100=76"
NCT00968812,uaa10457,male,241,54,9.3,7,0.1350000000000001,"0=24, 15=48, 29=52, 50=52, 65=60, 82=60, 100=76"
NCT00968812,uaa10458,female,220,55.1,8.9,5,0.16000000000000011,"0=28, 15=48, 64=60, 81=60, 100=76"
NCT00968812,uaa10458,male,264,54.3,9.3,5,0.1510000000000001,"0=32, 30=52, 45=52, 91=64, 100=76"
NCT01032629,uaa10512,female,484,60.5,8.1,5,0.16000000000000011,"0=36, 9=52, 57=64, 77=64, 100=80"
NCT01032629,uaa10512,male,961,60.7,8.1,11,0.11800000000000009,"0=32, 9=52, 21=56, 36=56, 36=60, 57=60, 57=64, 73=64, 74=68, 87=68, 100=80"
NCT01032629,uaa10514,female,499,61.5,8.1,5,0.1500000000000001,"0=36, 8=52, 69=68, 86=68, 100=84"
NCT01032629,uaa10514,male,944,61.2,8.3,9,0.1300000000000001,"0=36, 8=52, 34=60, 54=60, 54=64, 71=64, 71=68, 86=68, 100=84"
NCT01032629,uaa10515,female,486,61.2,7.8,5,0.16200000000000012,"0=32, 7=52, 56=64, 73=64, 100=80"
NCT01032629,uaa10515,male,956,60.6,8,11,0.11300000000000009,"0=36, 9=52, 21=56, 37=56, 37=60, 57=60, 57=64, 75=64, 75=68, 88=68, 100=84"
NCT01081834,uaa10548,female,114,55.7,10.1,9,0.03700000000000002,"0=30, 10=44, 27=50, 32=50, 33=51, 38=51, 52=57, 74=62, 100=76"
NCT01081834,uaa10548,male,82,53.9,11.8,5,0.04000000000000002,"0=25, 12=41, 49=55, 79=62, 100=78"
NCT01081834,uaa10549,female,108,54.6,10.7,5,0.08300000000000006,"0=25, 5=38, 36=53, 89=66, 100=78"
NCT01081834,uaa10549,male,89,55.7,9.6,6,0.09200000000000007,"0=33, 26=52, 43=56, 66=58, 82=63, 100=78"
NCT01081834,uaa10550,female,105,55.4,11.7,8,0.05900000000000004,"0=24, 1=32, 19=46, 29=51, 39=52, 58=60, 91=69, 100=78"
NCT01081834,uaa10550,male,89,55.7,9.8,5,0.06600000000000004,"0=34, 33=53, 62=60, 69=60, 100=73"
NCT01106625,uaa10569,female,81,56.6,10.8,5,0.08100000000000006,"0=27, 15=47, 43=57, 79=64, 100=79"
NCT01106625,uaa10569,male,76,58.1,10.1,5,0.06800000000000005,"0=34, 15=48, 40=58, 73=63, 100=78"
NCT01106625,uaa10570,female,69,56,9.2,5,0.07500000000000005,"0=34, 15=48, 60=61, 90=65, 100=76"
NCT01106625,uaa10570,male,87,56,8.8,5,0.07100000000000005,"0=36, 8=46, 57=59, 86=64, 100=78"
NCT01106625,uaa10571,female,80,56.5,8.1,5,0.09000000000000007,"0=31, 10=47, 54=59, 84=63, 100=72"
NCT01106625,uaa10571,male,76,56.8,8.7,7,0.06800000000000005,"0=35, 15=49, 35=55, 53=57, 59=60, 92=66, 100=79"
NCT01106651,uaa10573,female,117,63.6,6.3,7,0.055000000000000035,"0=55, 8=57, 15=57, 16=58, 24=58, 74=66, 100=80"
NCT01106651,uaa10573,male,124,64.8,6.6,5,0.07400000000000005,"0=55, 41=63, 56=64, 94=75, 100=80"
NCT01106651,uaa10574,female,107,63.3,6,6,0.06000000000000004,"0=55, 8=55, 34=61, 43=61, 73=66, 100=79"
NCT01106651,uaa10574,male,129,63.4,6,6,0.06400000000000004,"0=54, 23=59, 58=63, 70=67, 77=67, 100=79"
NCT01106651,uaa10575,female,96,62.4,5.9,5,0.08200000000000006,"0=55, 9=55, 33=58, 74=65, 100=77"
NCT01106651,uaa10575,male,143,63.6,6.5,7,0.07900000000000006,"0=55, 8=55, 24=59, 33=59, 56=63, 93=73, 100=80"
NCT01106677,uaa10577,female,194,54.5,9.3,5,0.1520000000000001,"0=24, 17=48, 63=60, 80=60, 100=76"
NCT01106677,uaa10577,male,174,52.9,9.6,8,0.1400000000000001,"0=28, 5=40, 38=52, 53=52, 54=56, 70=56, 84=60, 100=76"
NCT01106677,uaa10578,female,202,53.4,8.8,7,0.1460000000000001,"0=32, 21=48, 51=56, 69=56, 69=60, 85=60, 100=76"
NCT01106677,uaa10578,male,165,54.1,9.8,6,0.11100000000000008,"0=20, 4=40, 48=56, 66=56, 77=60, 100=76"
NCT01106677,uaa10579,female,89,54.1,9.9,6,0.1490000000000001,"0=24, 9=44, 59=60, 75=60, 91=64, 100=72"
NCT01106677,uaa10579,male,94,53.5,9.6,6,0.1410000000000001,"0=32, 24=48, 61=60, 78=60, 94=64, 100=72"
NCT01106677,uaa10580,female,194,53.7,9.9,5,0.1570000000000001,"0=32, 20=48, 37=48, 80=60, 100=76"
NCT01106677,uaa10580,male,172,53.9,9.4,5,0.1440000000000001,"0=32, 21=48, 65=60, 83=60, 100=76"
NCT01106690,uaa10582,female,51,54.2,11,5,0.06500000000000004,"0=31, 8=40, 34=50, 58=55, 100=75"
NCT01106690,uaa10582,male,63,58.9,9,5,0.08200000000000006,"0=39, 21=53, 50=61, 92=68, 100=76"
NCT01106690,uaa10583,female,37,53.2,10.4,5,0.05700000000000004,"0=27, 19=47, 61=56, 72=57, 100=74"
NCT01106690,uaa10583,male,78,57.8,10.2,5,0.05100000000000003,"0=37, 5=43, 29=53, 52=57, 100=76"
