nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT00968812,NCT00968812,b1,(Intercept),8.063,0.332,24.284,2.184e-109
NCT00968812,NCT00968812,b1,sex,0.632,0.438,1.444,1.489e-01
NCT00968812,NCT00968812,b1,age10,-0.064,0.06,-1.08,2.805e-01
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,-0.031,0.449,-0.069,9.451e-01
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,-0.471,0.445,-1.057,2.906e-01
NCT00968812,NCT00968812,b1,sex:age10,-0.078,0.079,-0.995,3.200e-01
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10456,-0.357,0.604,-0.591,5.544e-01
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10457,0.004,0.607,0.006,9.951e-01
NCT00968812,NCT00968812,b1,age10:arm_f_2_uaa10456,0.002,0.081,0.021,9.830e-01
NCT00968812,NCT00968812,b1,age10:arm_f_2_uaa10457,0.089,0.08,1.111,2.666e-01
NCT00968812,NCT00968812,b1,sex:age10:arm_f_2_uaa10456,0.06,0.109,0.555,5.787e-01
NCT00968812,NCT00968812,b1,sex:age10:arm_f_2_uaa10457,-0.02,0.11,-0.178,8.587e-01
NCT01032629,NCT01032629,b1,(Intercept),8.582,0.326,26.343,7.182e-142
NCT01032629,NCT01032629,b1,sex,0.572,0.396,1.442,1.494e-01
NCT01032629,NCT01032629,b1,age10,-0.058,0.053,-1.088,2.764e-01
NCT01032629,NCT01032629,b1,arm_f_2_uaa10512,0.588,0.453,1.298,1.943e-01
NCT01032629,NCT01032629,b1,arm_f_2_uaa10514,-0.007,0.454,-0.015,9.880e-01
NCT01032629,NCT01032629,b1,sex:age10,-0.111,0.065,-1.721,8.534e-02
NCT01032629,NCT01032629,b1,sex:arm_f_2_uaa10512,-0.661,0.553,-1.195,2.323e-01
NCT01032629,NCT01032629,b1,sex:arm_f_2_uaa10514,-0.247,0.554,-0.447,6.551e-01
NCT01032629,NCT01032629,b1,age10:arm_f_2_uaa10512,-0.083,0.074,-1.123,2.616e-01
NCT01032629,NCT01032629,b1,age10:arm_f_2_uaa10514,-0.004,0.073,-0.049,9.606e-01
NCT01032629,NCT01032629,b1,sex:age10:arm_f_2_uaa10512,0.099,0.09,1.1,2.716e-01
NCT01032629,NCT01032629,b1,sex:age10:arm_f_2_uaa10514,0.048,0.09,0.538,5.908e-01
NCT01106625,NCT01106625,b1,(Intercept),8.898,0.742,11.989,6.036e-29
NCT01106625,NCT01106625,b1,sex,0.713,1.018,0.701,4.839e-01
NCT01106625,NCT01106625,b1,age10,-0.139,0.13,-1.069,2.858e-01
NCT01106625,NCT01106625,b1,arm_f_2_uaa10569,-0.429,0.923,-0.465,6.423e-01
NCT01106625,NCT01106625,b1,arm_f_2_uaa10570,-0.613,1.007,-0.608,5.433e-01
NCT01106625,NCT01106625,b1,sex:age10,-0.115,0.178,-0.644,5.199e-01
NCT01106625,NCT01106625,b1,sex:arm_f_2_uaa10569,-0.639,1.31,-0.488,6.258e-01
NCT01106625,NCT01106625,b1,sex:arm_f_2_uaa10570,0.195,1.386,0.141,8.882e-01
NCT01106625,NCT01106625,b1,age10:arm_f_2_uaa10569,0.059,0.162,0.368,7.131e-01
NCT01106625,NCT01106625,b1,age10:arm_f_2_uaa10570,0.084,0.177,0.476,6.343e-01
NCT01106625,NCT01106625,b1,sex:age10:arm_f_2_uaa10569,0.131,0.227,0.576,5.647e-01
NCT01106625,NCT01106625,b1,sex:age10:arm_f_2_uaa10570,0.004,0.243,0.015,9.880e-01
NCT01081834,NCT01081834,b1,(Intercept),9.03,0.466,19.388,1.079e-64
NCT01081834,NCT01081834,b1,sex,-0.814,0.76,-1.072,2.843e-01
NCT01081834,NCT01081834,b1,age10,-0.166,0.082,-2.012,4.470e-02
NCT01081834,NCT01081834,b1,arm_f_2_uaa10548,-0.141,0.698,-0.202,8.396e-01
NCT01081834,NCT01081834,b1,arm_f_2_uaa10549,-1.228,0.684,-1.795,7.320e-02
NCT01081834,NCT01081834,b1,sex:age10,0.108,0.134,0.804,4.215e-01
NCT01081834,NCT01081834,b1,sex:arm_f_2_uaa10548,1.074,1.052,1.021,3.077e-01
NCT01081834,NCT01081834,b1,sex:arm_f_2_uaa10549,0.272,1.097,0.248,8.040e-01
NCT01081834,NCT01081834,b1,age10:arm_f_2_uaa10548,0.009,0.124,0.076,9.391e-01
NCT01081834,NCT01081834,b1,age10:arm_f_2_uaa10549,0.196,0.122,1.608,1.085e-01
NCT01081834,NCT01081834,b1,sex:age10:arm_f_2_uaa10548,-0.148,0.187,-0.792,4.288e-01
NCT01081834,NCT01081834,b1,sex:age10:arm_f_2_uaa10549,0.007,0.195,0.037,9.708e-01
NCT01106651,NCT01106651,b1,(Intercept),9.536,0.837,11.39,1.081e-27
NCT01106651,NCT01106651,b1,sex,-0.773,1.054,-0.733,4.636e-01
NCT01106651,NCT01106651,b1,age10,-0.303,0.134,-2.273,2.334e-02
