nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT00968812,NCT00968812,b1,2.204e-02,1.453e-02,7.795e-01,2.935e+00,7.542e-04,11,-1.684e+03,3.395e+03,3.464e+03,8.708e+02,1433,1445
NCT01032629,NCT01032629,b1,1.788e-02,1.536e-02,9.117e-01,7.089e+00,4.774e-12,11,-5.690e+03,1.141e+04,1.149e+04,3.559e+03,4282,4294
NCT01106625,NCT01106625,b1,3.031e-02,6.709e-03,9.147e-01,1.284e+00,2.303e-01,11,-6.109e+02,1.248e+03,1.302e+03,3.782e+02,452,464
NCT01081834,NCT01081834,b1,2.888e-02,1.013e-02,9.792e-01,1.541e+00,1.129e-01,11,-8.075e+02,1.641e+03,1.698e+03,5.466e+02,570,582
NCT01106651,NCT01106651,b1,3.257e-02,1.736e-02,7.715e-01,2.142e+00,1.591e-02,11,-8.195e+02,1.665e+03,1.724e+03,4.166e+02,700,712
NCT01106677,NCT01106677,b1,2.552e-02,1.391e-02,8.869e-01,2.198e+00,5.142e-03,15,-1.648e+03,3.330e+03,3.418e+03,9.904e+02,1259,1275
NCT01106690,NCT01106690,b1,6.568e-02,3.453e-02,9.366e-01,2.109e+00,1.935e-02,11,-4.568e+02,9.395e+02,9.894e+02,2.895e+02,330,342
NCT01137812,NCT01137812,b1,3.062e-02,2.151e-02,9.028e-01,3.362e+00,1.545e-03,7,-9.874e+02,1.993e+03,2.034e+03,6.072e+02,745,753
NCT01381900,NCT01381900,b1,1.519e-02,-1.150e-03,8.691e-01,9.296e-01,5.110e-01,11,-8.571e+02,1.740e+03,1.799e+03,5.008e+02,663,675
NCT01809327,NCT01809327,b1,2.505e-02,9.054e-03,1.178e+00,1.566e+00,5.721e-02,19,-1.854e+03,3.750e+03,3.857e+03,1.606e+03,1158,1178
NCT01989754,NCT01989754,b1,2.104e-02,1.985e-02,9.383e-01,1.775e+01,1.844e-23,7,-7.842e+03,1.570e+04,1.576e+04,5.090e+03,5781,5789
NCT02025907,NCT02025907,b1,2.651e-02,-6.255e-03,8.367e-01,8.091e-01,5.806e-01,7,-2.639e+02,5.458e+02,5.762e+02,1.456e+02,208,216
NCT02065791,NCT02065791,b1,2.842e-02,2.685e-02,1.296e+00,1.813e+01,6.334e-24,7,-7.293e+03,1.460e+04,1.466e+04,7.288e+03,4340,4348
NCT00968812,NCT00968812,f1,1.950e-01,1.933e-01,7.167e-01,1.138e+02,5.553e-66,3,-1.532e+03,3.074e+03,3.101e+03,7.237e+02,1409,1413
NCT01032629,NCT01032629,f1,1.472e-01,1.466e-01,1.236e+00,2.390e+02,4.461e-143,3,-6.780e+03,1.357e+04,1.360e+04,6.349e+03,4154,4158
NCT01106625,NCT01106625,f1,3.315e-01,3.270e-01,8.079e-01,7.387e+01,8.077e-39,3,-5.417e+02,1.093e+03,1.114e+03,2.918e+02,447,451
NCT01081834,NCT01081834,f1,4.206e-01,4.176e-01,8.205e-01,1.372e+02,7.743e-67,3,-6.952e+02,1.400e+03,1.422e+03,3.817e+02,567,571
NCT01106651,NCT01106651,f1,3.500e-01,3.472e-01,7.178e-01,1.240e+02,2.895e-64,3,-7.537e+02,1.517e+03,1.540e+03,3.560e+02,691,695
NCT01106677,NCT01106677,f1,3.270e-01,3.249e-01,7.297e-01,1.514e+02,1.410e-105,4,-1.378e+03,2.769e+03,2.799e+03,6.634e+02,1246,1251
NCT01106690,NCT01106690,f1,3.831e-01,3.776e-01,6.928e-01,6.895e+01,1.055e-34,3,-3.525e+02,7.149e+02,7.340e+02,1.598e+02,333,337
NCT01137812,NCT01137812,f1,2.426e-01,2.405e-01,8.755e-01,1.170e+02,7.959e-45,2,-9.424e+02,1.893e+03,1.911e+03,5.604e+02,731,734
NCT01381900,NCT01381900,f1,3.728e-01,3.700e-01,7.485e-01,1.302e+02,3.481e-66,3,-7.444e+02,1.499e+03,1.521e+03,3.681e+02,657,661
NCT01809327,NCT01809327,f1,2.040e-01,2.005e-01,1.057e+00,5.868e+01,1.830e-54,5,-1.693e+03,3.401e+03,3.436e+03,1.278e+03,1145,1151
NCT01989754,NCT01989754,f1,1.951e-01,1.948e-01,1.129e+00,6.832e+02,2.027e-266,2,-8.688e+03,1.738e+04,1.741e+04,7.188e+03,5638,5641
NCT02025907,NCT02025907,f1,2.734e-01,2.662e-01,1.003e+00,3.763e+01,1.341e-14,2,-2.871e+02,5.822e+02,5.955e+02,2.011e+02,200,203
NCT02065791,NCT02065791,f1,1.830e-01,1.826e-01,1.384e+00,4.607e+02,2.799e-181,2,-7.176e+03,1.436e+04,1.438e+04,7.875e+03,4113,4116
NCT00968812,NCT00968812,f2,2.048e-01,2.014e-01,7.131e-01,6.034e+01,1.172e-66,6,-1.524e+03,3.063e+03,3.105e+03,7.149e+02,1406,1413
NCT01032629,NCT01032629,f2,1.544e-01,1.532e-01,1.232e+00,1.263e+02,3.619e-147,6,-6.762e+03,1.354e+04,1.359e+04,6.296e+03,4151,4158
NCT01106625,NCT01106625,f2,3.356e-01,3.266e-01,8.081e-01,3.737e+01,1.099e-36,6,-5.403e+02,1.097e+03,1.130e+03,2.900e+02,444,451
NCT01081834,NCT01081834,f2,4.235e-01,4.173e-01,8.207e-01,6.904e+01,2.612e-64,6,-6.938e+02,1.404e+03,1.438e+03,3.798e+02,564,571
NCT01106651,NCT01106651,f2,3.575e-01,3.519e-01,7.152e-01,6.382e+01,6.080e-63,6,-7.497e+02,1.515e+03,1.552e+03,3.519e+02,688,695
NCT01106677,NCT01106677,f2,3.338e-01,3.295e-01,7.272e-01,7.779e+01,4.312e-104,8,-1.372e+03,2.764e+03,2.815e+03,6.567e+02,1242,1251
NCT01106690,NCT01106690,f2,3.983e-01,3.874e-01,6.873e-01,3.641e+01,8.793e-34,6,-3.483e+02,7.125e+02,7.431e+02,1.559e+02,330,337
NCT01137812,NCT01137812,f2,2.528e-01,2.487e-01,8.708e-01,6.167e+01,6.749e-45,4,-9.374e+02,1.887e+03,1.914e+03,5.528e+02,729,734
NCT01381900,NCT01381900,f2,3.748e-01,3.690e-01,7.490e-01,6.533e+01,1.549e-63,6,-7.434e+02,1.503e+03,1.539e+03,3.669e+02,654,661
NCT01809327,NCT01809327,f2,2.104e-01,2.035e-01,1.055e+00,3.038e+01,3.004e-52,10,-1.689e+03,3.402e+03,3.462e+03,1.268e+03,1140,1151
NCT01989754,NCT01989754,f2,2.015e-01,2.009e-01,1.125e+00,3.555e+02,2.395e-273,4,-8.665e+03,1.734e+04,1.738e+04,7.131e+03,5636,5641
NCT02025907,NCT02025907,f2,2.805e-01,2.660e-01,1.003e+00,1.930e+01,2.011e-13,4,-2.861e+02,5.842e+02,6.041e+02,1.992e+02,198,203
NCT02065791,NCT02065791,f2,1.895e-01,1.887e-01,1.379e+00,2.403e+02,1.098e-185,4,-7.159e+03,1.433e+04,1.437e+04,7.813e+03,4111,4116
NCT00968812,NCT00968812,f3,1.975e-01,1.940e-01,7.164e-01,5.766e+01,6.721e-64,6,-1.530e+03,3.076e+03,3.118e+03,7.215e+02,1406,1413
NCT01032629,NCT01032629,f3,1.480e-01,1.467e-01,1.236e+00,1.202e+02,2.154e-140,6,-6.778e+03,1.357e+04,1.362e+04,6.343e+03,4151,4158
NCT01106625,NCT01106625,f3,3.360e-01,3.270e-01,8.079e-01,3.744e+01,9.674e-37,6,-5.402e+02,1.096e+03,1.129e+03,2.898e+02,444,451
NCT01081834,NCT01081834,f3,4.213e-01,4.151e-01,8.222e-01,6.842e+01,7.562e-64,6,-6.949e+02,1.406e+03,1.441e+03,3.813e+02,564,571
NCT01106651,NCT01106651,f3,3.516e-01,3.459e-01,7.185e-01,6.217e+01,1.431e-61,6,-7.529e+02,1.522e+03,1.558e+03,3.552e+02,688,695
NCT01106677,NCT01106677,f3,3.283e-01,3.240e-01,7.302e-01,7.588e+01,6.789e-102,8,-1.377e+03,2.774e+03,2.826e+03,6.622e+02,1242,1251
NCT01106690,NCT01106690,f3,3.895e-01,3.784e-01,6.923e-01,3.510e+01,9.201e-33,6,-3.507e+02,7.174e+02,7.480e+02,1.582e+02,330,337
NCT01137812,NCT01137812,f3,2.444e-01,2.402e-01,8.757e-01,5.894e+01,3.981e-43,4,-9.416e+02,1.895e+03,1.923e+03,5.590e+02,729,734
NCT01381900,NCT01381900,f3,3.774e-01,3.717e-01,7.475e-01,6.607e+01,3.997e-64,6,-7.420e+02,1.500e+03,1.536e+03,3.654e+02,654,661
NCT01809327,NCT01809327,f3,2.084e-01,2.014e-01,1.056e+00,3.001e+01,1.240e-51,10,-1.690e+03,3.405e+03,3.465e+03,1.271e+03,1140,1151
NCT01989754,NCT01989754,f3,1.971e-01,1.966e-01,1.128e+00,3.459e+02,1.124e-266,4,-8.681e+03,1.737e+04,1.741e+04,7.170e+03,5636,5641
NCT02025907,NCT02025907,f3,2.771e-01,2.625e-01,1.005e+00,1.897e+01,3.183e-13,4,-2.866e+02,5.852e+02,6.051e+02,2.001e+02,198,203
NCT02065791,NCT02065791,f3,1.846e-01,1.838e-01,1.383e+00,2.327e+02,2.287e-180,4,-7.172e+03,1.436e+04,1.439e+04,7.860e+03,4111,4116
NCT00968812,NCT00968812,f4,2.075e-01,2.024e-01,7.126e-01,4.081e+01,4.689e-65,9,-1.521e+03,3.064e+03,3.122e+03,7.125e+02,1403,1413
NCT01032629,NCT01032629,f4,1.552e-01,1.534e-01,1.231e+00,8.468e+01,6.256e-145,9,-6.760e+03,1.354e+04,1.361e+04,6.290e+03,4148,4158
NCT01106625,NCT01106625,f4,3.396e-01,3.261e-01,8.084e-01,2.520e+01,6.210e-35,9,-5.390e+02,1.100e+03,1.145e+03,2.882e+02,441,451
NCT01081834,NCT01081834,f4,4.240e-01,4.148e-01,8.225e-01,4.588e+01,1.036e-61,9,-6.936e+02,1.409e+03,1.457e+03,3.795e+02,561,571
NCT01106651,NCT01106651,f4,3.585e-01,3.501e-01,7.162e-01,4.254e+01,1.656e-60,9,-7.491e+02,1.520e+03,1.570e+03,3.513e+02,685,695
NCT01106677,NCT01106677,f4,3.350e-01,3.286e-01,7.277e-01,5.198e+01,6.887e-101,12,-1.371e+03,2.770e+03,2.842e+03,6.555e+02,1238,1251
NCT01106690,NCT01106690,f4,4.024e-01,3.859e-01,6.881e-01,2.446e+01,6.002e-32,9,-3.471e+02,7.163e+02,7.583e+02,1.548e+02,327,337
NCT01137812,NCT01137812,f4,2.548e-01,2.487e-01,8.708e-01,4.144e+01,1.613e-43,6,-9.365e+02,1.889e+03,1.926e+03,5.513e+02,727,734
NCT01381900,NCT01381900,f4,3.790e-01,3.705e-01,7.482e-01,4.415e+01,8.190e-62,9,-7.411e+02,1.504e+03,1.554e+03,3.644e+02,651,661
NCT01809327,NCT01809327,f4,2.142e-01,2.039e-01,1.054e+00,2.063e+01,7.830e-50,15,-1.686e+03,3.406e+03,3.492e+03,1.262e+03,1135,1151
NCT01989754,NCT01989754,f4,2.037e-01,2.028e-01,1.123e+00,2.402e+02,4.003e-274,6,-8.658e+03,1.733e+04,1.738e+04,7.111e+03,5634,5641
NCT02025907,NCT02025907,f4,2.851e-01,2.632e-01,1.005e+00,1.302e+01,2.214e-12,6,-2.855e+02,5.869e+02,6.135e+02,1.979e+02,196,203
NCT02065791,NCT02065791,f4,1.911e-01,1.899e-01,1.378e+00,1.618e+02,4.272e-185,6,-7.155e+03,1.433e+04,1.438e+04,7.797e+03,4109,4116
NCT00968812,NCT00968812,f5,1.968e-01,1.939e-01,7.164e-01,6.893e+01,1.419e-64,5,-1.531e+03,3.075e+03,3.112e+03,7.221e+02,1407,1413
NCT01032629,NCT01032629,f5,1.476e-01,1.465e-01,1.236e+00,1.438e+02,4.472e-141,5,-6.779e+03,1.357e+04,1.362e+04,6.346e+03,4152,4158
NCT01106625,NCT01106625,f5,3.361e-01,3.286e-01,8.069e-01,4.505e+01,1.313e-37,5,-5.402e+02,1.094e+03,1.123e+03,2.897e+02,445,451
NCT01081834,NCT01081834,f5,4.210e-01,4.159e-01,8.217e-01,8.217e+01,8.816e-65,5,-6.950e+02,1.404e+03,1.434e+03,3.814e+02,565,571
