nct_id,nct_id2,models,row,col,r
NCT00968812,NCT00968812,b1,(Intercept),sex,-0.759
NCT00968812,NCT00968812,b1,(Intercept),age10,-0.987
NCT00968812,NCT00968812,b1,sex,age10,0.749
NCT00968812,NCT00968812,b1,(Intercept),arm_f_2_uaa10456,-0.74
NCT00968812,NCT00968812,b1,sex,arm_f_2_uaa10456,0.561
NCT00968812,NCT00968812,b1,age10,arm_f_2_uaa10456,0.73
NCT00968812,NCT00968812,b1,(Intercept),arm_f_2_uaa10457,-0.746
NCT00968812,NCT00968812,b1,sex,arm_f_2_uaa10457,0.566
NCT00968812,NCT00968812,b1,age10,arm_f_2_uaa10457,0.736
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,arm_f_2_uaa10457,0.552
NCT00968812,NCT00968812,b1,(Intercept),sex:age10,0.745
NCT00968812,NCT00968812,b1,sex,sex:age10,-0.987
NCT00968812,NCT00968812,b1,age10,sex:age10,-0.754
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,sex:age10,-0.551
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,sex:age10,-0.556
NCT00968812,NCT00968812,b1,(Intercept),sex:arm_f_2_uaa10456,0.55
NCT00968812,NCT00968812,b1,sex,sex:arm_f_2_uaa10456,-0.725
NCT00968812,NCT00968812,b1,age10,sex:arm_f_2_uaa10456,-0.543
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,sex:arm_f_2_uaa10456,-0.744
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,sex:arm_f_2_uaa10456,-0.41
NCT00968812,NCT00968812,b1,sex:age10,sex:arm_f_2_uaa10456,0.715
NCT00968812,NCT00968812,b1,(Intercept),sex:arm_f_2_uaa10457,0.547
NCT00968812,NCT00968812,b1,sex,sex:arm_f_2_uaa10457,-0.721
NCT00968812,NCT00968812,b1,age10,sex:arm_f_2_uaa10457,-0.54
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,sex:arm_f_2_uaa10457,-0.405
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,sex:arm_f_2_uaa10457,-0.734
NCT00968812,NCT00968812,b1,sex:age10,sex:arm_f_2_uaa10457,0.712
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10456,sex:arm_f_2_uaa10457,0.523
NCT00968812,NCT00968812,b1,(Intercept),age10:arm_f_2_uaa10456,0.726
NCT00968812,NCT00968812,b1,sex,age10:arm_f_2_uaa10456,-0.551
NCT00968812,NCT00968812,b1,age10,age10:arm_f_2_uaa10456,-0.736
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,age10:arm_f_2_uaa10456,-0.986
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,age10:arm_f_2_uaa10456,-0.542
NCT00968812,NCT00968812,b1,sex:age10,age10:arm_f_2_uaa10456,0.555
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10456,age10:arm_f_2_uaa10456,0.733
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10457,age10:arm_f_2_uaa10456,0.398
NCT00968812,NCT00968812,b1,(Intercept),age10:arm_f_2_uaa10457,0.732
NCT00968812,NCT00968812,b1,sex,age10:arm_f_2_uaa10457,-0.555
NCT00968812,NCT00968812,b1,age10,age10:arm_f_2_uaa10457,-0.741
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,age10:arm_f_2_uaa10457,-0.541
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,age10:arm_f_2_uaa10457,-0.987
NCT00968812,NCT00968812,b1,sex:age10,age10:arm_f_2_uaa10457,0.559
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10456,age10:arm_f_2_uaa10457,0.403
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10457,age10:arm_f_2_uaa10457,0.724
NCT00968812,NCT00968812,b1,age10:arm_f_2_uaa10456,age10:arm_f_2_uaa10457,0.545
NCT00968812,NCT00968812,b1,(Intercept),sex:age10:arm_f_2_uaa10456,-0.54
NCT00968812,NCT00968812,b1,sex,sex:age10:arm_f_2_uaa10456,0.715
NCT00968812,NCT00968812,b1,age10,sex:age10:arm_f_2_uaa10456,0.547
NCT00968812,NCT00968812,b1,arm_f_2_uaa10456,sex:age10:arm_f_2_uaa10456,0.733
NCT00968812,NCT00968812,b1,arm_f_2_uaa10457,sex:age10:arm_f_2_uaa10456,0.403
NCT00968812,NCT00968812,b1,sex:age10,sex:age10:arm_f_2_uaa10456,-0.725
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10456,sex:age10:arm_f_2_uaa10456,-0.986
NCT00968812,NCT00968812,b1,sex:arm_f_2_uaa10457,sex:age10:arm_f_2_uaa10456,-0.516
NCT00968812,NCT00968812,b1,age10:arm_f_2_uaa10456,sex:age10:arm_f_2_uaa10456,-0.744
