nct_id,nct_id2,arm_id_unq,base,end,result,n,n_analysed,sd
NCT00968812,NCT00968812,uaa10456,7.78,6.96,-0.82,479,473,0.82
NCT00968812,NCT00968812,uaa10457,7.78,6.86,-0.93,485,469,0.8
NCT00968812,NCT00968812,uaa10458,7.82,6.95,-0.88,481,471,0.9
NCT01032629,NCT01032629,uaa10512,8.21,8,-0.21,1442,1402,1.28
NCT01032629,NCT01032629,uaa10514,8.16,7.96,-0.19,1427,1384,1.28
NCT01032629,NCT01032629,uaa10515,8.17,8.2,0.04,1425,1372,1.35
NCT01081834,NCT01081834,uaa10548,8.05,7.23,-0.84,195,189,0.88
NCT01081834,NCT01081834,uaa10549,8.01,6.97,-1.03,195,193,0.85
NCT01081834,NCT01081834,uaa10550,8.01,7.83,-0.17,192,189,0.98
NCT01106625,NCT01106625,uaa10569,8.09,7.2,-0.9,154,152,1
NCT01106625,NCT01106625,uaa10570,8.13,6.98,-1.16,155,151,0.9
NCT01106625,NCT01106625,uaa10571,8.14,7.81,-0.3,155,148,0.9
NCT01106651,NCT01106651,uaa10573,7.77,7.12,-0.65,240,238,0.74
NCT01106651,NCT01106651,uaa10574,7.68,6.91,-0.77,235,227,0.73
NCT01106651,NCT01106651,uaa10575,7.75,7.63,-0.13,237,230,0.91
NCT01106677,NCT01106677,uaa10577,7.95,7.1,-0.84,367,362,0.82
NCT01106677,NCT01106677,uaa10578,7.95,6.99,-0.97,365,356,0.87
NCT01106677,NCT01106677,uaa10579,7.97,7.56,-0.41,182,180,0.85
NCT01106677,NCT01106677,uaa10580,7.93,7.03,-0.9,361,353,0.83
NCT01106690,NCT01106690,uaa10582,7.87,6.84,-1.01,114,111,0.8
NCT01106690,NCT01106690,uaa10583,8,7.04,-0.94,113,112,0.81
NCT01106690,NCT01106690,uaa10584,7.99,7.54,-0.46,115,114,0.92
NCT01137812,NCT01137812,uaa10614,8.11,7.11,-1,376,372,0.95
NCT01137812,NCT01137812,uaa10615,8.14,7.49,-0.64,377,362,1.03
NCT01381900,NCT01381900,uaa10741,7.97,7.08,-0.88,222,220,0.85
NCT01381900,NCT01381900,uaa10742,7.95,6.98,-0.98,227,220,0.82
NCT01381900,NCT01381900,uaa10743,7.93,7.55,-0.38,226,221,0.82
NCT01809327,NCT01809327,uaa10933,8.78,7.45,-1.32,236,229,1.18
NCT01809327,NCT01809327,uaa10934,8.78,7.45,-1.35,237,229,1.3
NCT01809327,NCT01809327,uaa10935,8.81,7.03,-1.77,233,231,1.25
NCT01809327,NCT01809327,uaa10936,8.9,7.08,-1.81,235,231,1.27
NCT01809327,NCT01809327,uaa10937,8.81,7.58,-1.21,237,231,1.33
NCT01989754,NCT01989754,uaa10994,8.31,7.67,-0.64,2894,2817,1.13
NCT01989754,NCT01989754,uaa10995,8.29,8.15,-0.14,2895,2824,1.3
NCT02025907,NCT02025907,uaa11013,8.5,7.64,-0.88,108,102,1.07
NCT02025907,NCT02025907,uaa11014,8.4,8.36,-0.01,108,101,1.04
NCT02065791,NCT02065791,uaa11038,8.27,7.87,-0.4,2184,2070,1.47
NCT02065791,NCT02065791,uaa11039,8.26,7.99,-0.26,2164,2046,1.59
