nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT00819091,NCT00819091,b1,0.03804,0.008758,0.7978,1.299,0.2516,7,-279.9,577.8,609,146.4,230,238
NCT00800683,NCT00800683,b1,0.09012,0.03792,0.9501,1.726,0.1089,7,-173.7,365.4,391.2,110.1,122,130
NCT00740051,NCT00740051,b1,0.04658,0.01611,0.9169,1.528,0.1588,7,-298.3,614.7,645.5,184.1,219,227
NCT00996658,NCT00996658,b1,0.01517,-0.01095,0.8238,0.5808,0.7714,7,-329.2,676.4,708.8,179.2,264,272
NCT01084005,NCT01084005,b1,0.05332,0.02464,0.7433,1.859,0.07729,7,-264.2,546.3,577.6,127.6,231,239
NCT01087502,NCT01087502,b1,0.02088,-0.009314,0.9261,0.6915,0.6792,7,-311.3,640.7,671.8,194.7,227,235
NCT01194830,NCT01194830,b1,0.04929,0.01729,1.078,1.541,0.1552,7,-318.6,655.1,685.5,241.6,208,216
NCT02182830,NCT02182830,b1,0.05628,0.01394,0.9722,1.329,0.24,7,-224,466,493.9,147.4,156,164
NCT02453555,NCT02453555,b1,0.02103,-0.004641,0.6455,0.8192,0.572,7,-265.8,549.6,582.1,111.3,267,275
NCT00763451,NCT00763451,b1,0.01972,-0.003224,0.8439,0.8595,0.5805,11,-596,1218,1272,334.7,470,482
NCT00976937,NCT00976937,b1,0.006356,-0.01601,0.9524,0.2842,0.9599,7,-433,884.1,918,282.1,311,319
NCT00866658,NCT00866658,b1,0.02134,-0.001265,0.7505,0.944,0.4727,7,-348,713.9,747.6,170.6,303,311
NCT01169779,NCT01169779,b1,0.03905,0.02144,0.733,2.218,0.03215,7,-428.2,874.4,910.1,205.3,382,390
NCT01632163,NCT01632163,b1,0.03111,0.003202,0.8539,1.115,0.3543,7,-312.4,642.9,674.6,177.2,243,251
NCT01798706,NCT01798706,b1,0.04233,0.02118,0.7056,2.002,0.0545,7,-343.8,705.5,739.6,157.8,317,325
NCT00712673,NCT00712673,b1,0.03464,0.01874,0.8464,2.179,0.01403,11,-845.4,1717,1776,478.5,668,680
NCT00713830,NCT00713830,b1,0.02307,0.01503,0.8098,2.871,0.005744,7,-1034,2085,2128,558.1,851,859
NCT00715624,NCT00715624,b1,0.04982,0.03616,0.8077,3.648,7.543e-4,7,-592.6,1203,1241,317.7,487,495
NCT00763815,NCT00763815,b1,0.05042,0.03645,0.8061,3.61,8.392e-4,7,-578.4,1175,1212,309.3,476,484
NCT00688701,NCT00688701,b1,0.03741,0.007073,0.8738,1.233,0.2632,11,-457.4,940.8,991.4,266.4,349,361
NCT00707031,NCT00707031,b1,0.04008,0.02933,0.7776,3.728,5.778e-4,7,-734.9,1488,1528,377.9,625,633
NCT01648582,NCT01648582,b1,0.01687,0.00268,1.103,1.189,0.2905,11,-1168,2362,2422,926.2,762,774
NCT01558271,NCT01558271,b1,0.01765,-0.004864,0.8151,0.7839,0.6563,11,-591.5,1209,1264,318.9,480,492
NCT02750410,NCT02750410,b1,0.02958,-0.01541,0.7554,0.6575,0.7077,7,-176.9,371.8,399.4,86.16,151,159
NCT01768559,NCT01768559,b1,0.009171,0.001325,0.5817,1.169,0.3181,7,-778.4,1575,1618,299.1,884,892
NCT00975286,NCT00975286,b1,0.01629,5.714e-4,0.5474,1.036,0.4047,7,-360.1,738.1,775,131.2,438,446
NCT01632007,NCT01632007,b1,0.06573,0.02162,0.7972,1.49,0.1359,11,-286,597.9,643.4,148.1,233,245
NCT01619059,NCT01619059,b1,0.05835,0.03615,0.8692,2.629,0.01195,7,-386,790,823.4,224.4,297,305
NCT00819091,NCT00819091,f1,0.3574,0.352,0.8485,65.36,2.6989999999999997e-23,2,-297.1,602.2,616.1,169.2,235,238
NCT00800683,NCT00800683,f1,0.4127,0.4035,0.854,44.63,2.093e-15,2,-162.4,332.9,344.3,92.63,127,130
NCT00740051,NCT00740051,f1,0.07729,0.06905,1.154,9.382,1.222e-4,2,-353.1,714.1,727.8,298.2,224,227
NCT00996658,NCT00996658,f1,0.1701,0.1639,1.039,27.57,1.284e-11,2,-394.9,797.8,812.2,290.5,269,272
NCT01084005,NCT01084005,f1,0.4254,0.4206,0.5705,88.12,2.2959999999999998e-29,2,-205.2,418.4,432.4,77.47,238,241
NCT01087502,NCT01087502,f1,0.5787,0.575,0.7022,159.3,2.868e-44,2,-248.9,505.7,519.6,114.4,232,235
NCT01194830,NCT01194830,f1,0.1985,0.191,1.139,26.37,5.844e-11,2,-333.1,674.2,687.7,276.3,213,216
NCT02182830,NCT02182830,f1,0.2511,0.2418,1.16,26.99,7.762e-11,2,-255.6,519.1,531.5,216.7,161,164
NCT02453555,NCT02453555,f1,0.1305,0.1241,0.7569,20.42,5.485e-9,2,-312.1,632.2,646.7,155.8,272,275
NCT00763451,NCT00763451,f1,0.1138,0.1082,0.958,20.46,1.728e-12,3,-661.3,1333,1353,438.7,478,482
NCT00976937,NCT00976937,f1,0.2531,0.2482,1.059,51.68,4.6840000000000003e-20,2,-453.2,914.4,929.3,342.1,305,308
NCT00866658,NCT00866658,f1,0.2362,0.2313,1.097,47.48,1.084e-18,2,-467.1,942.2,957.2,369.6,307,310
NCT01169779,NCT01169779,f1,0.1843,0.1801,0.9173,43.73,7.523e-18,2,-518.2,1044,1060,325.6,387,390
NCT01632163,NCT01632163,f1,0.09527,0.08797,1.074,13.06,4.058e-6,2,-372.6,753.3,767.4,286.2,248,251
NCT01798706,NCT01798706,f1,0.3038,0.2995,0.8621,70.26,4.7640000000000004e-26,2,-411.4,830.9,846,239.3,322,325
NCT00712673,NCT00712673,f1,0.1177,0.1138,1.015,30.07,2.949e-18,3,-972.9,1956,1978,696.2,676,680
NCT00713830,NCT00713830,f1,0.1601,0.1581,0.9952,81.49,4.0519999999999996e-33,2,-1212,2432,2451,846.7,855,858
NCT00715624,NCT00715624,f1,0.2038,0.2005,1.183,62.82,5.082e-25,2,-782.6,1573,1590,687.6,491,494
NCT00763815,NCT00763815,f1,0.05154,0.04759,1.035,13.07,2.974e-6,2,-702.1,1412,1429,515.6,481,484
NCT00688701,NCT00688701,f1,0.2931,0.2872,1.009,49.34,1.0600000000000002e-26,3,-513.3,1037,1056,363.2,357,361
NCT00707031,NCT00707031,f1,0.1742,0.1715,0.9302,66.54,6.029e-27,2,-852.2,1712,1730,546,631,634
NCT01648582,NCT01648582,f1,0.2749,0.272,1.017,97.3,2.117e-53,3,-1109,2229,2252,796.6,770,774
NCT01558271,NCT01558271,f1,0.463,0.4597,0.7644,140.3,1.5439999999999998e-65,3,-563.9,1138,1159,285.2,488,492
NCT02750410,NCT02750410,f1,0.3271,0.3185,0.7163,37.91,3.808e-14,2,-171.1,350.1,362.4,80.05,156,159
NCT01768559,NCT01768559,f1,0.1096,0.1076,0.7295,54.69,3.964e-23,2,-982.8,1974,1993,473.1,889,892
NCT00975286,NCT00975286,f1,0.1906,0.1867,0.7647,49.44,5.217e-20,2,-485.3,978.5,994.7,245.6,420,423
NCT01632007,NCT01632007,f1,0.5017,0.4955,0.7111,80.89,3.0899999999999995e-36,3,-262.1,534.2,551.7,121.9,241,245
NCT01619059,NCT01619059,f1,0.4925,0.4891,0.6871,144.1,1.816e-44,2,-311.6,631.2,646,140.2,297,300
NCT00819091,NCT00819091,f2,0.3617,0.3508,0.8493,33.01,8.2979999999999995e-22,4,-296.3,604.6,625.4,168.1,233,238
NCT00800683,NCT00800683,f2,0.4229,0.4044,0.8534,22.9,3.282e-14,4,-161.3,334.6,351.8,91.03,125,130
NCT00740051,NCT00740051,f2,0.08467,0.06818,1.154,5.134,5.648e-4,4,-352.1,716.3,736.8,295.8,222,227
NCT00996658,NCT00996658,f2,0.176,0.1637,1.039,14.26,1.458e-10,4,-393.9,799.9,821.5,288.4,267,272
