nct_id,nct_id2,arm_id_unq,base,end,result,n,n_analysed,sd
NCT00688701,NCT00688701,_1_placebo,8.18,7.82,-0.35,122,122,1.22
NCT00688701,NCT00688701,_2_Lixisenatide 1-step titration,8.2,7.15,-1.05,119,119,0.84
NCT00688701,NCT00688701,_2_Lixisenatide 2-step titration,8.11,7.24,-0.87,120,120,1.05
NCT00707031,NCT00707031,_1_Exenatide BID,8.02,7.04,-0.98,316,316,0.97
NCT00707031,NCT00707031,_2_Lixisenatide QD,8.03,7.37,-0.66,318,318,1.05
NCT00712673,NCT00712673,_1_placebo,8.15,7.63,-0.52,170,170,1.22
NCT00712673,NCT00712673,_2_Lixisenatide evening,8.22,7.56,-0.66,255,255,1.1
NCT00712673,NCT00712673,_2_Lixisenatide morning,8.15,7.44,-0.71,255,255,1.09
NCT00713830,NCT00713830,_1_Placebo,8.32,8.03,-0.3,286,286,0.96
NCT00713830,NCT00713830,_2_Lixisenatide,8.37,7.6,-0.77,573,572,1.14
NCT00715624,NCT00715624,_1_Placebo,8.46,8.15,-0.31,167,167,1.21
NCT00715624,NCT00715624,_2_Lixisenatide,8.49,7.96,-0.53,328,327,1.2
NCT00740051,NCT00740051,_1_Placebo SLASH Glimepiride,8.07,7.51,-0.56,76,76,1.48
NCT00740051,NCT00740051,"_2_Linagliptin, 5mg tablet",8.12,7.65,-0.46,151,151,1.2
NCT00763451,NCT00763451,_1_placebo,8.15,7.56,-0.58,160,160,1.14
NCT00763451,NCT00763451,_2_Lixisenatide 1-step titration,8.13,7.42,-0.71,161,161,1.09
NCT00763451,NCT00763451,_2_Lixisenatide 2-step titration,8.2,7.32,-0.88,161,161,1.03
NCT00763815,NCT00763815,_1_Placebo,8.15,7.49,-0.65,161,161,1.31
NCT00763815,NCT00763815,_2_Lixisenatide,8.15,7.15,-1,323,323,1.17
NCT00800683,NCT00800683,_1_Linagliptin,8.19,7.69,-0.5,67,67,0.99
NCT00800683,NCT00800683,_2_Placebo,8.24,8.21,-0.03,63,63,0.8
NCT00819091,NCT00819091,_1_Placebo tablet,8.6,8.36,-0.24,81,81,0.8
NCT00819091,NCT00819091,"_2_Linagliptin, 5 mg tablet",8.6,8,-0.61,157,157,0.9
NCT00866658,NCT00866658,_1_Placebo 2-step titration,8.56,8.5,-0.06,157,157,0.93
NCT00866658,NCT00866658,_2_Lixisenatide 2-step titration,8.62,7.69,-0.93,154,153,1.32
NCT00975286,NCT00975286,_1_PLACEBO PLUS INSULIN BASAL,7.58,7.28,-0.3,223,216,0.8
NCT00975286,NCT00975286,_2_GLP1 PLUS INSULIN BASAL,7.55,6.95,-0.61,223,207,0.79
NCT00976937,NCT00976937,_1_Sitagliptin,8.07,7.36,-0.71,161,159,1.08
NCT00976937,NCT00976937,_2_Lixisenatide,8.14,7.47,-0.66,158,149,1.14
NCT00996658,NCT00996658,_1_Placebo Tablet,8.47,7.96,-0.51,89,89,1.02
NCT00996658,NCT00996658,_2_Linagliptin 5 mg tablet,8.39,7.46,-0.93,183,183,1.16
NCT01084005,NCT01084005,_1_Placebo,7.7,7.67,-0.03,79,79,0.63
NCT01084005,NCT01084005,"_2_Linagliptin, 5mg tablet",7.81,7.14,-0.67,162,162,0.67
NCT01087502,NCT01087502,_1_Placebo SLASH Glimepiride,8.04,7.97,-0.07,122,122,0.8
NCT01087502,NCT01087502,"_2_Linagliptin, 5mg tablet",8.08,7.58,-0.5,113,113,0.6
NCT01169779,NCT01169779,_1_Placebo,7.99,7.33,-0.66,194,194,0.9
NCT01169779,NCT01169779,_2_Lixisenatide,8.07,7.12,-0.94,196,196,1.03
NCT01194830,NCT01194830,_1_Placebo,8.8,8.35,-0.45,115,115,1.38
NCT01194830,NCT01194830,_2_Linagliptin,8.72,7.86,-0.86,101,101,1.14
NCT01558271,NCT01558271,_1_Placebo for 26 weeks of blinded followed by dulaglutide for 26 weeks open,8.2,8.3,0.1,70,70,0.78
