nct_id,arm_f
NCT00819091,_1_Placebo tablet
NCT00800683,_1_Linagliptin
NCT00740051,_1_Placebo SLASH Glimepiride
NCT00996658,_1_Placebo Tablet
NCT01084005,_1_Placebo
NCT01087502,_1_Placebo SLASH Glimepiride
NCT01194830,_1_Placebo
NCT02182830,_1_Plac SLASH Plac
NCT02453555,_1_Linagliptin
NCT00763451,_1_placebo
NCT00976937,_1_Sitagliptin
NCT00866658,_1_Placebo 2-step titration
NCT01169779,_1_Placebo
NCT01632163,_1_Placebo
NCT01798706,_1_Placebo
NCT00712673,_1_placebo
NCT00713830,_1_Placebo
NCT00715624,_1_Placebo
NCT00763815,_1_Placebo
NCT00688701,_1_placebo
NCT00707031,_1_Exenatide BID
NCT01648582,_1_Insulin glargine
NCT01558271,_1_Placebo for 26 weeks of blinded followed by dulaglutide for 26 weeks open
NCT02750410,_1_Plc
NCT01768559,_1_insulin
NCT00975286,_1_PLACEBO PLUS INSULIN BASAL
NCT01632007,_1_Placebo
NCT01619059,_1_PLA PLUS DAPA PLUS MET
