trials,nct_id,models,term,estimate,std.error,outcome,nct_id2,outcome_method
48,NCT00601250,glm,(Intercept),-9.205,4.343,ae_sae,,incident_event
48,NCT00601250,glm,age10,-0.041,0.669,ae_sae,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222,0.227,5.177,ae_sae,,incident_event
48,NCT00601250,glm,sex,1.499,2.196,ae_sae,,incident_event
48,NCT00601250,glm,age10:arm_f_2_uaa10222,0.176,0.819,ae_sae,,incident_event
48,NCT00601250,glm,arm_f_2_uaa10222:sex,-1.957,2.389,ae_sae,,incident_event
48,NCT00602472,glm,(Intercept),-11.41,4.458,ae_sae,,incident_event
48,NCT00602472,glm,age10,0.558,0.71,ae_sae,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225,3.191,4.886,ae_sae,,incident_event
48,NCT00602472,glm,sex,-0.483,1.223,ae_sae,,incident_event
48,NCT00602472,glm,age10:arm_f_2_uaa10225,-0.574,0.784,ae_sae,,incident_event
48,NCT00602472,glm,arm_f_2_uaa10225:sex,0.677,1.39,ae_sae,,incident_event
48,NCT00622284,glm,(Intercept),-9.658,2.326,ae_sae,,incident_event
48,NCT00622284,glm,age10,0.215,0.372,ae_sae,,incident_event
48,NCT00622284,glm,arm_f_2_uaa10247,0.1,3.461,ae_sae,,incident_event
48,NCT00622284,glm,sex,0.118,0.697,ae_sae,,incident_event
48,NCT00622284,glm,age10:arm_f_2_uaa10247,-0.003,0.548,ae_sae,,incident_event
48,NCT00622284,glm,arm_f_2_uaa10247:sex,-0.419,1.004,ae_sae,,incident_event
48,NCT00954447,glm,(Intercept),-13.105,4.045,ae_sae,,incident_event
48,NCT00954447,glm,age10,0.616,0.592,ae_sae,,incident_event
48,NCT00954447,glm,arm_f_2_uaa10443,4.37,5.206,ae_sae,,incident_event
48,NCT00954447,glm,sex,0.833,1.141,ae_sae,,incident_event
48,NCT00954447,glm,age10:arm_f_2_uaa10443,-0.626,0.796,ae_sae,,incident_event
48,NCT00954447,glm,arm_f_2_uaa10443:sex,-0.757,1.551,ae_sae,,incident_event
48,NCT00798161,glm,(Intercept),-1119.571,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,age10,142.948,26098.524,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10361,1111.117,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10362,1108.36,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10363,1108.318,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10364,1109.625,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10365,1112.745,203568.491,ae_sae,,incident_event
48,NCT00798161,glm,sex,85.224,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10361,-142.838,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10362,-142.498,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10363,-142.383,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10364,-142.591,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,age10:arm_f_2_uaa10365,-143.193,26098.525,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10361:sex,-85.458,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10362:sex,-84.152,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10363:sex,-85.594,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10364:sex,-84.781,15659.117,ae_sae,,incident_event
48,NCT00798161,glm,arm_f_2_uaa10365:sex,-85.278,15659.117,ae_sae,,incident_event
48,NCT00915772,glm,(Intercept),-11.027,2.736,ae_sae,,incident_event
48,NCT00915772,glm,age10,0.592,0.43,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10431,1.561,3.457,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10432,-0.277,3.6,ae_sae,,incident_event
48,NCT00915772,glm,sex,-0.962,0.938,ae_sae,,incident_event
48,NCT00915772,glm,age10:arm_f_2_uaa10431,-0.289,0.553,ae_sae,,incident_event
48,NCT00915772,glm,age10:arm_f_2_uaa10432,0.058,0.569,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10431:sex,0.753,1.173,ae_sae,,incident_event
48,NCT00915772,glm,arm_f_2_uaa10432:sex,0.873,1.175,ae_sae,,incident_event
48,NCT01204294,glm,(Intercept),-7.303,4.342,ae_sae,,incident_event
48,NCT01204294,glm,age10,-0.224,0.604,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10681,-1.68,6.595,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10682,3.753,6.431,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10683,-6.523,7.459,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10684,-1.247,5.699,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10685,-21.274,1573.79,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10686,-0.785,7.464,ae_sae,,incident_event
48,NCT01204294,glm,sex,1.094,2.176,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10681,0.355,0.954,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10682,-0.365,0.989,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10683,1.016,1.05,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10684,0.189,0.801,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10685,1.093,1.848,ae_sae,,incident_event
48,NCT01204294,glm,age10:arm_f_2_uaa10686,0.224,1.117,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10681:sex,-1.158,2.642,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10682:sex,-2.056,2.564,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10683:sex,0.286,2.778,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10684:sex,-0.413,2.684,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10685:sex,12.711,1573.743,ae_sae,,incident_event
48,NCT01204294,glm,arm_f_2_uaa10686:sex,-1.52,2.888,ae_sae,,incident_event
48,NCT01792518,glm,(Intercept),-10.295,7.897,ae_sae,,incident_event
48,NCT01792518,glm,age10,0.351,1.248,ae_sae,,incident_event
48,NCT01792518,glm,arm_f_2_uaa10927,5.205,8.911,ae_sae,,incident_event
48,NCT01792518,glm,sex,-0.115,2.228,ae_sae,,incident_event
48,NCT01792518,glm,age10:arm_f_2_uaa10927,-0.707,1.428,ae_sae,,incident_event
48,NCT01792518,glm,arm_f_2_uaa10927:sex,-0.331,2.672,ae_sae,,incident_event
48,NCT01210001,glm,(Intercept),-7.598,6.793,ae_sae,,incident_event
48,NCT01210001,glm,age10,-0.013,1.236,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10689,-3.572,10.848,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10690,-6.027,14.105,ae_sae,,incident_event
48,NCT01210001,glm,sex,-1.71,4.034,ae_sae,,incident_event
48,NCT01210001,glm,age10:arm_f_2_uaa10689,0.423,1.84,ae_sae,,incident_event
48,NCT01210001,glm,age10:arm_f_2_uaa10690,0.924,2.39,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10689:sex,2.674,5.118,ae_sae,,incident_event
48,NCT01210001,glm,arm_f_2_uaa10690:sex,1.658,5.08,ae_sae,,incident_event
48,NCT01177813,glm,(Intercept),-14.213,6.125,ae_sae,,incident_event
48,NCT01177813,glm,age10,0.963,0.887,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10644,5.262,7.409,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10645,2.695,8.373,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10647,2.996,9.092,ae_sae,,incident_event
48,NCT01177813,glm,sex,-0.706,2.049,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10644,-0.782,1.116,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10645,-0.481,1.273,ae_sae,,incident_event
48,NCT01177813,glm,age10:arm_f_2_uaa10647,-0.545,1.414,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10644:sex,-0.031,2.584,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10645:sex,0.854,2.886,ae_sae,,incident_event
48,NCT01177813,glm,arm_f_2_uaa10647:sex,0.599,2.962,ae_sae,,incident_event
48,NCT01159600,glm,(Intercept),-12.137,2.442,ae_sae,,incident_event
48,NCT01159600,glm,age10,0.685,0.388,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10627,4.377,3.264,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10628,1.951,4.768,ae_sae,,incident_event
48,NCT01159600,glm,sex,0.114,0.672,ae_sae,,incident_event
48,NCT01159600,glm,age10:arm_f_2_uaa10627,-0.75,0.543,ae_sae,,incident_event
48,NCT01159600,glm,age10:arm_f_2_uaa10628,-0.524,0.791,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10627:sex,-0.396,0.995,ae_sae,,incident_event
48,NCT01159600,glm,arm_f_2_uaa10628:sex,-0.34,1.467,ae_sae,,incident_event
48,NCT01167881,glm,(Intercept),-9.616,1.905,ae_sae,,incident_event
48,NCT01167881,glm,age10,0.125,0.327,ae_sae,,incident_event
48,NCT01167881,glm,arm_f_2_uaa10635,0.371,2.578,ae_sae,,incident_event
48,NCT01167881,glm,sex,-0.248,0.655,ae_sae,,incident_event
48,NCT01167881,glm,age10:arm_f_2_uaa10635,-0.055,0.441,ae_sae,,incident_event
48,NCT01167881,glm,arm_f_2_uaa10635:sex,0.324,0.879,ae_sae,,incident_event
48,NCT01164501,glm,(Intercept),-8.151,3.677,ae_sae,,incident_event
48,NCT01164501,glm,age10,0.002,0.565,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10631,-32.722,1786.123,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10632,-0.151,4.978,ae_sae,,incident_event
48,NCT01164501,glm,sex,-0.279,0.951,ae_sae,,incident_event
48,NCT01164501,glm,age10:arm_f_2_uaa10631,2.554,3.97,ae_sae,,incident_event
48,NCT01164501,glm,age10:arm_f_2_uaa10632,0.015,0.762,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10631:sex,13.78,1785.899,ae_sae,,incident_event
48,NCT01164501,glm,arm_f_2_uaa10632:sex,0.299,1.319,ae_sae,,incident_event
48,NCT01306214,glm,(Intercept),-14.779,7.937,ae_sae,,incident_event
48,NCT01306214,glm,age10,0.911,1.25,ae_sae,,incident_event
