nct_id,n,death,prcnt
NCT00286429,390,0,0
NCT00286442,527,0,0
NCT00286455,329,0,0
NCT00286468,500,0,0
NCT00306384,2795,0,0
NCT00601250,701,0,0
NCT00602472,1058,0,0
NCT00621140,503,0,0
NCT00641043,389,0,0
NCT00654381,561,0,0
NCT00707993,441,0,0
NCT00915772,567,<10,0.7
NCT00954447,1256,10,0.8
NCT00968708,5407,334,6.2
NCT01023581,784,<10,0.1
NCT01064687,978,<10,0.3
NCT01075282,829,<10,0.4
NCT01126580,807,0,0
NCT01159600,1322,<10,0.2
NCT01164501,741,<10,1.1
NCT01167881,1549,19,1.2
NCT01177813,898,<10,0.1
NCT01191268,884,<10,0.7
NCT01204294,574,<10,0.2
NCT01210001,499,<10,0.6
NCT01289119,506,0,0
NCT01306214,566,<10,0.2
NCT01368081,1099,<10,0.1
NCT01370005,825,<10,0.1
NCT01422876,1405,<10,0.5
NCT01606007,525,0,0
NCT01621178,577,18,3.1
NCT01624259,599,<10,0.2
NCT01708902,733,<10,0.3
NCT01719003,1365,<10,0.1
NCT01769378,300,0,0
NCT01778049,482,<10,1
NCT01792518,360,<10,0.8
NCT01890122,647,<10,0.2
NCT02152371,300,<10,0.3
NCT02284893,423,<10,0.2
NCT02471404,906,0,0
NCT02597049,424,<10,0.5
NCT02681094,890,<10,0.3
