trials,nct_id,models,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
48,NCT00601250,glm,224.3,700,,,,220.2,695,701,ae_sae,incident_event
48,NCT00602472,glm,377.4,1057,,,,373.8,1052,1058,ae_sae,incident_event
48,NCT00622284,glm,1482,1551,,,,1469,1546,1552,ae_sae,incident_event
48,NCT00954447,glm,762.2,1255,,,,744.2,1250,1256,ae_sae,incident_event
48,NCT00798161,glm,304.1,790,,,,272.6,773,791,ae_sae,incident_event
48,NCT00915772,glm,444.1,566,,,,414.7,558,567,ae_sae,incident_event
48,NCT01204294,glm,350.5,573,,,,326.7,553,574,ae_sae,incident_event
48,NCT01792518,glm,186.3,359,,,,179.1,354,360,ae_sae,incident_event
48,NCT01210001,glm,177.5,498,,,,167.6,490,499,ae_sae,incident_event
48,NCT01177813,glm,243.1,897,,,,230,886,898,ae_sae,incident_event
48,NCT01159600,glm,391.1,1321,,,,370.1,1313,1322,ae_sae,incident_event
48,NCT01167881,glm,1477,1548,,,,1470,1543,1549,ae_sae,incident_event
48,NCT01164501,glm,471.6,740,,,,457.3,732,741,ae_sae,incident_event
48,NCT01306214,glm,254.1,565,,,,246,557,566,ae_sae,incident_event
48,NCT01368081,glm,574.5,1098,,,,555.1,1093,1099,ae_sae,incident_event
48,NCT01422876,glm,437.2,1404,,,,422.9,1390,1405,ae_sae,incident_event
48,NCT01064687,glm,420.4,977,,,,402.6,966,978,ae_sae,incident_event
48,NCT01126580,glm,273.9,806,,,,272.1,798,807,ae_sae,incident_event
48,NCT02681094,glm,214.9,889,,,,203.6,881,890,ae_sae,incident_event
48,NCT02471404,glm,615.9,905,,,,602.9,897,906,ae_sae,incident_event
48,NCT00707993,glm,233.9,440,,,,227.3,435,441,ae_sae,incident_event
48,NCT00968708,glm,8466,5380,,,,8376,5375,5381,ae_sae,incident_event
48,NCT00286429,glm,170.8,389,,,,159.6,381,390,ae_sae,incident_event
48,NCT00306384,glm,2503,2792,,,,2470,2787,2793,ae_sae,incident_event
48,NCT00286468,glm,169.4,499,,,,157.3,491,500,ae_sae,incident_event
48,NCT01734785,glm,209.7,332,,,,204.1,324,333,ae_sae,incident_event
48,NCT01719003,glm,252.1,1364,,,,227.7,1341,1365,ae_sae,incident_event
48,NCT01075282,glm,547.5,828,,,,540.5,820,829,ae_sae,incident_event
48,NCT01191268,glm,639.2,883,,,,622.9,875,884,ae_sae,incident_event
48,NCT01621178,glm,650.5,576,,,,643.1,568,577,ae_sae,incident_event
48,NCT00641043,glm,244.3,388,,,,235.5,383,389,ae_gi,incident_event
48,NCT00621140,glm,205.8,502,,,,202.8,497,503,ae_gi,incident_event
48,NCT00601250,glm,491.4,700,,,,483,695,701,ae_gi,incident_event
48,NCT00602472,glm,937.9,1057,,,,912.1,1052,1058,ae_gi,incident_event
48,NCT00622284,glm,2244,1551,,,,2236,1546,1552,ae_gi,incident_event
48,NCT00654381,glm,956.4,560,,,,943.4,549,561,ae_gi,incident_event
48,NCT00954447,glm,1426,1255,,,,1417,1250,1256,ae_gi,incident_event
48,NCT00798161,glm,737.7,790,,,,722.2,773,791,ae_gi,incident_event
48,NCT01438814,glm,1386,688,,,,1381,683,689,ae_gi,incident_event
48,NCT01204294,glm,721.2,573,,,,696.8,553,574,ae_gi,incident_event
48,NCT01792518,glm,206.7,359,,,,196.9,354,360,ae_gi,incident_event
48,NCT01210001,glm,324.1,498,,,,310,490,499,ae_gi,incident_event
48,NCT01177813,glm,562.8,897,,,,553.8,886,898,ae_gi,incident_event
48,NCT01159600,glm,920.8,1321,,,,911.9,1313,1322,ae_gi,incident_event
48,NCT01167881,glm,2765,1548,,,,2751,1543,1549,ae_gi,incident_event
48,NCT01164501,glm,748.2,740,,,,741,732,741,ae_gi,incident_event
48,NCT01370005,glm,506.9,824,,,,498.1,816,825,ae_gi,incident_event
48,NCT01306214,glm,542,565,,,,539.4,557,566,ae_gi,incident_event
48,NCT01368081,glm,1332,1098,,,,1318,1093,1099,ae_gi,incident_event
48,NCT01422876,glm,1246,1404,,,,1227,1390,1405,ae_gi,incident_event
48,NCT01708902,glm,871.6,732,,,,839.1,718,733,ae_gi,incident_event
48,NCT01064687,glm,2791,977,,,,2718,966,978,ae_gi,incident_event
48,NCT01126580,glm,1856,806,,,,1835,798,807,ae_gi,incident_event
48,NCT01624259,glm,1455,598,,,,1442,593,599,ae_gi,incident_event
48,NCT01769378,glm,481,299,,,,469.9,294,300,ae_gi,incident_event
48,NCT02152371,glm,467.7,299,,,,450.1,294,300,ae_gi,incident_event
48,NCT02597049,glm,729.7,423,,,,696.1,415,424,ae_gi,incident_event
48,NCT01606007,glm,368.1,524,,,,357.1,516,525,ae_gi,incident_event
48,NCT02284893,glm,353.6,422,,,,348.2,417,423,ae_gi,incident_event
48,NCT02681094,glm,531.5,889,,,,522.7,881,890,ae_gi,incident_event
48,NCT02471404,glm,1043,905,,,,1031,897,906,ae_gi,incident_event
48,NCT00707993,glm,507.4,440,,,,501.8,435,441,ae_gi,incident_event
48,NCT00968708,glm,6014,5380,,,,6000,5375,5381,ae_gi,incident_event
48,NCT00286429,glm,413.8,389,,,,382,381,390,ae_gi,incident_event
48,NCT01023581,glm,786.2,783,,,,754.1,763,784,ae_gi,incident_event
48,NCT01890122,glm,395.7,644,,,,382.6,633,645,ae_gi,incident_event
48,NCT00286442,glm,417.5,525,,,,411.9,517,526,ae_gi,incident_event
48,NCT00306384,glm,4196,2792,,,,4178,2787,2793,ae_gi,incident_event
48,NCT00286455,glm,283.2,328,,,,274.3,320,329,ae_gi,incident_event
48,NCT00286468,glm,462.5,499,,,,447.4,491,500,ae_gi,incident_event
48,NCT01778049,glm,322.3,255,,,,305.1,250,256,ae_gi,incident_event
48,NCT01778049,glm,199.1,225,,,,195.5,220,226,ae_gi,incident_event
48,NCT02489968,glm,545.2,446,,,,526.7,435,447,ae_gi,incident_event
48,NCT01734785,glm,457.4,332,,,,438.2,324,333,ae_gi,incident_event
48,NCT01719003,glm,1312,1364,,,,1263,1341,1365,ae_gi,incident_event
48,NCT01075282,glm,1655,828,,,,1604,820,829,ae_gi,incident_event
48,NCT01191268,glm,2096,883,,,,1996,875,884,ae_gi,incident_event
48,NCT01621178,glm,1239,576,,,,1187,568,577,ae_gi,incident_event
48,NCT00602472,glm,1475,1057,,,,1453,1052,1058,ae_hypog,incident_event
48,NCT00622284,glm,2270,1551,,,,2045,1546,1552,ae_hypog,incident_event
48,NCT00954447,glm,2157,1255,,,,2152,1250,1256,ae_hypog,incident_event
48,NCT01204294,glm,308.9,573,,,,253.5,553,574,ae_hypog,incident_event
48,NCT01792518,glm,241.3,359,,,,224.8,354,360,ae_hypog,incident_event
48,NCT01159600,glm,729,1321,,,,710.7,1313,1322,ae_hypog,incident_event
48,NCT01167881,glm,1957,1548,,,,1784,1543,1549,ae_hypog,incident_event
48,NCT01164501,glm,1174,740,,,,1157,732,741,ae_hypog,incident_event
48,NCT01370005,glm,442.7,824,,,,438.7,816,825,ae_hypog,incident_event
48,NCT01306214,glm,1423,565,,,,1415,557,566,ae_hypog,incident_event
48,NCT01368081,glm,396.4,1098,,,,395.1,1093,1099,ae_hypog,incident_event
48,NCT01422876,glm,237.6,1404,,,,225.2,1390,1405,ae_hypog,incident_event
48,NCT00968708,glm,2957,5380,,,,2943,5375,5381,ae_hypog,incident_event
48,NCT01191268,glm,259.5,883,,,,242.7,875,884,ae_hypog,incident_event
48,NCT00622284,glm,333.6,1551,,,,306.7,1546,1552,ae_uti,incident_event
48,NCT01167881,glm,632.3,1548,,,,592.8,1543,1549,ae_uti,incident_event
48,NCT01368081,glm,364.2,1098,,,,307.5,1093,1099,ae_uti,incident_event
48,NCT01422876,glm,376.3,1404,,,,333.7,1390,1405,ae_uti,incident_event
48,NCT02471404,glm,274.9,905,,,,251.4,897,906,ae_uti,incident_event
48,NCT00968708,glm,814.3,5380,,,,796.6,5375,5381,ae_uti,incident_event
48,NCT00306384,glm,734.4,2792,,,,683.9,2787,2793,ae_uti,incident_event
48,NCT01719003,glm,222.7,1364,,,,203,1341,1365,ae_uti,incident_event
48,NCT00601250,glmnb,136.4,700,-135.8,285.6,317.5,132.7,695,701,ae_sae,incident_event
48,NCT00602472,glmnb,272.8,1057,-232.8,479.5,514.3,269.3,1052,1058,ae_sae,incident_event
48,NCT00622284,glmnb,639.5,1551,-898.5,1811,1848,631.6,1546,1552,ae_sae,incident_event
48,NCT00954447,glmnb,264.6,1255,-420,854,890,248.1,1250,1256,ae_sae,incident_event
48,NCT00915772,glmnb,442.4,566,-284.4,588.7,632.1,413,558,567,ae_sae,incident_event
48,NCT01204294,glmnb,348.8,573,-218.4,480.7,576.5,325,553,574,ae_sae,incident_event
48,NCT01792518,glmnb,1.3,359,-209.4,432.7,459.9,1.3,354,360,ae_sae,incident_event
48,NCT01177813,glmnb,133,897,-140.4,306.7,369.1,119.6,886,898,ae_sae,incident_event
48,NCT01159600,glmnb,390.2,1321,-233.1,486.1,538,369.3,1313,1322,ae_sae,incident_event
48,NCT01167881,glmnb,676.6,1548,-912,1838,1875,668.5,1543,1549,ae_sae,incident_event
48,NCT01164501,glmnb,178.1,740,-269.8,559.5,605.6,165,732,741,ae_sae,incident_event
48,NCT01306214,glmnb,90.1,565,-141.4,302.8,346.2,83,557,566,ae_sae,incident_event
