nct_id,arm_id_unq,trial_lbl
NCT00286429,uaa10055,Placebo
NCT00286442,uaa10059,Placebo
NCT00286455,uaa10063,Placebo
NCT00286468,uaa10067,Placebo
NCT00286494,uaa10071,Placebo
NCT00306384,uaa10089,25 mg SYR110322 (Completed Double-blind Study)
NCT00601250,uaa10223,PLACEBO
NCT00602472,uaa10226,PLACEBO
NCT00621140,uaa10244,PLACEBO
NCT00622284,uaa10246,GLIME
NCT00641043,uaa10254,PIO + PLACEBO
NCT00654381,uaa10265,PLACEBO - LINA 5MG - LINA 5MG
NCT00707993,uaa10321,Glipizide
NCT00798161,uaa10366,PLACEBO
NCT00856284,uaa10405,Glipizide
NCT00915772,uaa10430,MET 1000MG
NCT00954447,uaa10444,PLACEBO
NCT00968708,uaa10454,placebo
NCT00968708,uaa10454,Placebo
NCT01023581,uaa10497,PLACEBO
NCT01064687,uaa10531,Placebo
NCT01064687,uaa10531,Placebo/LY2189265 0.75 mg
NCT01064687,uaa10531,Placebo/LY2189265 1.5 mg
NCT01075282,uaa10536,Insulin Glargine
NCT01126580,uaa10596,Metformin
NCT01159600,uaa10629,PLACEBO
NCT01164501,uaa10633,PLACEBO
NCT01167881,uaa10636,GLIME
NCT01177813,uaa10646,PLACEBO
NCT01191268,uaa10669,Glargine
NCT01204294,uaa10687,SU + MET
NCT01210001,uaa10691,PLACEBO
NCT01214239,uaa10694,PLACEBO
NCT01215097,uaa10697,PLACEBO
NCT01217892,uaa10702,Placebo + Metformin
NCT01289119,uaa10716,Placebo
NCT01306214,uaa10727,PLACEBO
NCT01368081,uaa10733,EMPA 10MG
NCT01370005,uaa10739,PLACEBO
NCT01422876,uaa10772,AL005
NCT01438814,uaa10775,MET
NCT01606007,uaa10814,SAXA + MET
NCT01621178,uaa10827,Glargine
NCT01624259,uaa10829,Dula 1.5
NCT01708902,uaa10877,MET 500MG
NCT01719003,uaa10889,MET 500MG
NCT01734785,uaa10907,(OL) LINA 5MG + (DB) PLACEBO
NCT01769378,uaa10920,Placebo
NCT01778049,ipd00004,(DB) PLACEBO 10MG
NCT01778049,ipd00002,(DB) PLACEBO 25MG
NCT01792518,uaa10928,PLACEBO
NCT01890122,uaa10960,Placebo BID
NCT02152371,uaa11061,TR2_PLACEBO
NCT02284893,uaa11105,SITA + MET
NCT02471404,uaa11143,Glimepiride 1mg/2mg/4mg
NCT02489968,uaa11145,(DB) EMPA 10MG + PLACEBO
NCT02597049,uaa11177,TR3_PLACEBO
NCT02681094,uaa11199,Saxagliptin 5mg + dapagliflozin placebo + metformin
