trials,nct_id,models,outcome,row,col,r,nct_id2,outcome_method
48,NCT00601250,glm,ae_sae,(Intercept),age10,-0.885,,incident_event
48,NCT00601250,glm,ae_sae,(Intercept),arm_f_2_uaa10222,-0.839,,incident_event
48,NCT00601250,glm,ae_sae,age10,arm_f_2_uaa10222,0.742,,incident_event
48,NCT00601250,glm,ae_sae,(Intercept),sex,-0.511,,incident_event
48,NCT00601250,glm,ae_sae,age10,sex,0.092,,incident_event
48,NCT00601250,glm,ae_sae,arm_f_2_uaa10222,sex,0.429,,incident_event
48,NCT00601250,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10222,0.722,,incident_event
48,NCT00601250,glm,ae_sae,age10,age10:arm_f_2_uaa10222,-0.816,,incident_event
48,NCT00601250,glm,ae_sae,arm_f_2_uaa10222,age10:arm_f_2_uaa10222,-0.913,,incident_event
48,NCT00601250,glm,ae_sae,sex,age10:arm_f_2_uaa10222,-0.075,,incident_event
48,NCT00601250,glm,ae_sae,(Intercept),arm_f_2_uaa10222:sex,0.47,,incident_event
48,NCT00601250,glm,ae_sae,age10,arm_f_2_uaa10222:sex,-0.085,,incident_event
48,NCT00601250,glm,ae_sae,arm_f_2_uaa10222,arm_f_2_uaa10222:sex,-0.429,,incident_event
48,NCT00601250,glm,ae_sae,sex,arm_f_2_uaa10222:sex,-0.919,,incident_event
48,NCT00601250,glm,ae_sae,age10:arm_f_2_uaa10222,arm_f_2_uaa10222:sex,0.074,,incident_event
48,NCT00602472,glm,ae_sae,(Intercept),age10,-0.986,,incident_event
48,NCT00602472,glm,ae_sae,(Intercept),arm_f_2_uaa10225,-0.912,,incident_event
48,NCT00602472,glm,ae_sae,age10,arm_f_2_uaa10225,0.9,,incident_event
48,NCT00602472,glm,ae_sae,(Intercept),sex,-0.104,,incident_event
48,NCT00602472,glm,ae_sae,age10,sex,0.004,,incident_event
48,NCT00602472,glm,ae_sae,arm_f_2_uaa10225,sex,0.095,,incident_event
48,NCT00602472,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10225,0.893,,incident_event
48,NCT00602472,glm,ae_sae,age10,age10:arm_f_2_uaa10225,-0.906,,incident_event
48,NCT00602472,glm,ae_sae,arm_f_2_uaa10225,age10:arm_f_2_uaa10225,-0.984,,incident_event
48,NCT00602472,glm,ae_sae,sex,age10:arm_f_2_uaa10225,-0.004,,incident_event
48,NCT00602472,glm,ae_sae,(Intercept),arm_f_2_uaa10225:sex,0.091,,incident_event
48,NCT00602472,glm,ae_sae,age10,arm_f_2_uaa10225:sex,-0.004,,incident_event
48,NCT00602472,glm,ae_sae,arm_f_2_uaa10225,arm_f_2_uaa10225:sex,-0.123,,incident_event
48,NCT00602472,glm,ae_sae,sex,arm_f_2_uaa10225:sex,-0.88,,incident_event
48,NCT00602472,glm,ae_sae,age10:arm_f_2_uaa10225,arm_f_2_uaa10225:sex,0.01,,incident_event
48,NCT00622284,glm,ae_sae,(Intercept),age10,-0.971,,incident_event
48,NCT00622284,glm,ae_sae,(Intercept),arm_f_2_uaa10247,-0.672,,incident_event
48,NCT00622284,glm,ae_sae,age10,arm_f_2_uaa10247,0.652,,incident_event
48,NCT00622284,glm,ae_sae,(Intercept),sex,-0.138,,incident_event
48,NCT00622284,glm,ae_sae,age10,sex,-0.057,,incident_event
48,NCT00622284,glm,ae_sae,arm_f_2_uaa10247,sex,0.092,,incident_event
48,NCT00622284,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10247,0.659,,incident_event
48,NCT00622284,glm,ae_sae,age10,age10:arm_f_2_uaa10247,-0.679,,incident_event
48,NCT00622284,glm,ae_sae,arm_f_2_uaa10247,age10:arm_f_2_uaa10247,-0.975,,incident_event
48,NCT00622284,glm,ae_sae,sex,age10:arm_f_2_uaa10247,0.039,,incident_event
48,NCT00622284,glm,ae_sae,(Intercept),arm_f_2_uaa10247:sex,0.096,,incident_event
48,NCT00622284,glm,ae_sae,age10,arm_f_2_uaa10247:sex,0.04,,incident_event
48,NCT00622284,glm,ae_sae,arm_f_2_uaa10247,arm_f_2_uaa10247:sex,-0.19,,incident_event
48,NCT00622284,glm,ae_sae,sex,arm_f_2_uaa10247:sex,-0.695,,incident_event
48,NCT00622284,glm,ae_sae,age10:arm_f_2_uaa10247,arm_f_2_uaa10247:sex,0.023,,incident_event
48,NCT00954447,glm,ae_sae,(Intercept),age10,-0.973,,incident_event
48,NCT00954447,glm,ae_sae,(Intercept),arm_f_2_uaa10443,-0.777,,incident_event
48,NCT00954447,glm,ae_sae,age10,arm_f_2_uaa10443,0.756,,incident_event
48,NCT00954447,glm,ae_sae,(Intercept),sex,-0.282,,incident_event
48,NCT00954447,glm,ae_sae,age10,sex,0.093,,incident_event
48,NCT00954447,glm,ae_sae,arm_f_2_uaa10443,sex,0.219,,incident_event
48,NCT00954447,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10443,0.723,,incident_event
48,NCT00954447,glm,ae_sae,age10,age10:arm_f_2_uaa10443,-0.743,,incident_event
48,NCT00954447,glm,ae_sae,arm_f_2_uaa10443,age10:arm_f_2_uaa10443,-0.971,,incident_event
48,NCT00954447,glm,ae_sae,sex,age10:arm_f_2_uaa10443,-0.069,,incident_event
48,NCT00954447,glm,ae_sae,(Intercept),arm_f_2_uaa10443:sex,0.207,,incident_event
48,NCT00954447,glm,ae_sae,age10,arm_f_2_uaa10443:sex,-0.069,,incident_event
48,NCT00954447,glm,ae_sae,arm_f_2_uaa10443,arm_f_2_uaa10443:sex,-0.233,,incident_event
48,NCT00954447,glm,ae_sae,sex,arm_f_2_uaa10443:sex,-0.736,,incident_event
48,NCT00954447,glm,ae_sae,age10:arm_f_2_uaa10443,arm_f_2_uaa10443:sex,0.048,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10,-1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10361,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10364,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10364,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),arm_f_2_uaa10365,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,arm_f_2_uaa10365,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),sex,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,sex,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10361,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10361,-1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10365,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,sex,age10:arm_f_2_uaa10362,-1,,incident_event
48,NCT00798161,glm,ae_sae,age10:arm_f_2_uaa10361,age10:arm_f_2_uaa10362,1,,incident_event
48,NCT00798161,glm,ae_sae,(Intercept),age10:arm_f_2_uaa10363,1,,incident_event
48,NCT00798161,glm,ae_sae,age10,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10361,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10362,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10363,age10:arm_f_2_uaa10363,-1,,incident_event
48,NCT00798161,glm,ae_sae,arm_f_2_uaa10364,age10:arm_f_2_uaa10363,-1,,incident_event
