trials,outcome,nct_id,models,term,estimate,std.error,outcome_method
39,ae_sae,NCT00968812,pois,(Intercept),-9.669,2.899,incident_event
39,ae_sae,NCT00968812,pois,age10,0.301,0.499,incident_event
39,ae_sae,NCT00968812,pois,arm_f_2_uaa10456,0.718,4.46,incident_event
39,ae_sae,NCT00968812,pois,arm_f_2_uaa10457,1.254,4.496,incident_event
39,ae_sae,NCT00968812,pois,sex,-0.559,0.883,incident_event
39,ae_sae,NCT00968812,pois,age10:arm_f_2_uaa10456,-0.243,0.784,incident_event
39,ae_sae,NCT00968812,pois,age10:arm_f_2_uaa10457,-0.35,0.799,incident_event
39,ae_sae,NCT00968812,pois,arm_f_2_uaa10456:sex,0.162,1.443,incident_event
39,ae_sae,NCT00968812,pois,arm_f_2_uaa10457:sex,0.211,1.467,incident_event
39,ae_sae,NCT01032629,pois,(Intercept),-10.585,0.916,incident_event
39,ae_sae,NCT01032629,pois,age10,0.404,0.142,incident_event
39,ae_sae,NCT01032629,pois,arm_f_2_uaa10512,0.57,1.263,incident_event
39,ae_sae,NCT01032629,pois,arm_f_2_uaa10514,0.873,1.283,incident_event
39,ae_sae,NCT01032629,pois,sex,0.211,0.237,incident_event
39,ae_sae,NCT01032629,pois,age10:arm_f_2_uaa10512,-0.089,0.197,incident_event
39,ae_sae,NCT01032629,pois,age10:arm_f_2_uaa10514,-0.147,0.199,incident_event
39,ae_sae,NCT01032629,pois,arm_f_2_uaa10512:sex,-0.146,0.333,incident_event
39,ae_sae,NCT01032629,pois,arm_f_2_uaa10514:sex,-0.05,0.332,incident_event
39,ae_sae,NCT01106651,pois,(Intercept),-17.147,6.87,incident_event
39,ae_sae,NCT01106651,pois,age10,1.054,0.982,incident_event
39,ae_sae,NCT01106651,pois,arm_f_2_uaa10573,0.201,9.645,incident_event
39,ae_sae,NCT01106651,pois,arm_f_2_uaa10574,11.961,10.509,incident_event
39,ae_sae,NCT01106651,pois,sex,1.784,2.344,incident_event
39,ae_sae,NCT01106651,pois,age10:arm_f_2_uaa10573,0.068,1.38,incident_event
39,ae_sae,NCT01106651,pois,age10:arm_f_2_uaa10574,-1.683,1.614,incident_event
39,ae_sae,NCT01106651,pois,arm_f_2_uaa10573:sex,-1.031,2.791,incident_event
39,ae_sae,NCT01106651,pois,arm_f_2_uaa10574:sex,-1.469,2.728,incident_event
39,ae_sae,NCT01106677,pois,(Intercept),-27.349,2551.697,incident_event
39,ae_sae,NCT01106677,pois,age10,0.457,1.59,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10577,16.609,2551.703,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10578,16.684,2551.704,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10580,18.302,2551.703,incident_event
39,ae_sae,NCT01106677,pois,sex,16.132,2551.681,incident_event
