sponsor,studyid,nct_id,pop,deaths,prcnt,note
astrazeneca,CV181168,NCT01619059,311,<10,0.6,
boehringer,1218_0035,NCT00819091,238,<10,0.4,Deaths from CSR
boehringer,1218_0043,NCT00800683,130,<10,4.6,Deaths from CSR
boehringer,1218_0050,NCT00740051,227,<10,0.9,Deaths from CSR
boehringer,1218_0061,NCT00996658,273,<10,0.7,
boehringer,1218_0063,NCT01084005,241,0,0,
boehringer,1218_0064,NCT01087502,237,<10,1.7,
boehringer,1218_0075,NCT01194830,216,0,0,
boehringer,1245_0029,NCT02182830,166,0,0,
boehringer,1275_0019,NCT02453555,276,<10,0.7,
eli lilly,GBDK,NCT01648582,775,<10,0.3,
eli lilly,GBDP,NCT01558271,492,0,0,
eli lilly,H9X-JE-GBGF,NCT02750410,159,0,0,
sanofi,1843721,NCT01117350,965,<10,0.1,
sanofi,EFC10743,NCT00763451,486,10,2.1,
sanofi,EFC10780,NCT00976937,319,0,0,
sanofi,EFC10887,NCT00866658,312,<10,0.6,
sanofi,EFC11321,NCT01169779,390,0,0,
sanofi,EFC12382,NCT01632163,251,0,0,
sanofi,EFC12703,NCT01798706,351,<10,0.6,
sanofi,EFC6014,NCT00712673,683,<10,0.9,
sanofi,EFC6015,NCT00713830,862,<10,0.8,
sanofi,EFC6016,NCT00715624,499,<10,1.8,
sanofi,EFC6017,NCT00763815,486,<10,0.8,
sanofi,EFC6018,NCT00688701,361,0,0,
sanofi,EFC6019,NCT00707031,641,15,2.3,
sanofi,HYPO9901,NCT01768559,896,<10,0.7,
sanofi,HYPO9908,NCT00975286,449,<10,1.3,
takeda,SYR-472/CCT-002,NCT01632007,245,0,0,
jj,28431754DIA3002,NCT01106625,469,0,0,
jj,28431754DIA3005,NCT01081834,587,0,0,
jj,28431754DIA3006,NCT01106677,1284,<10,0.2,
jj,28431754DIA3008,NCT01032629,4330,255,5.9,
jj,28431754DIA3009,NCT00968812,1452,<10,0.2,
jj,28431754DIA3010,NCT01106651,716,0,0,
jj,28431754DIA3011,NCT01809327,1186,<10,0.1,
jj,28431754DIA3012,NCT01106690,344,0,0,
jj,28431754DIA3014,NCT01381900,678,0,0,
jj,28431754DIA3015,NCT01137812,756,0,0,
jj,28431754DIA4003,NCT01989754,5813,167,2.9,
jj,28431754DIA4004,NCT02025907,218,0,0,
jj,28431754DNE3001,NCT02065791,4401,187,4.2,
