trials,outcome,nct_id,nct_id2,models,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,outcome_method
39,ae_sae,NCT00968812,NCT00968812,pois,705,1451,,,,690,1443,1452,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,6255.6,4329,,,,6130,4321,4330,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,291.9,715,,,,270,707,716,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,367.2,1283,,,,357.4,1272,1284,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,358.4,755,,,,348.9,750,756,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,253.7,1185,,,,244.6,1171,1186,incident_event
39,ae_sae,NCT01989754,NCT01989754,pois,6848.3,5812,,,,6732,5807,5813,incident_event
39,ae_sae,NCT02065791,NCT02065791,pois,5987.6,4400,,,,5952,4395,4401,incident_event
39,ae_sae,NCT00763451,NCT00763451,pois,334.7,481,,,,316,473,482,incident_event
39,ae_sae,NCT00712673,NCT00712673,pois,344,679,,,,331.9,671,680,incident_event
39,ae_sae,NCT00713830,NCT00713830,pois,565.7,857,,,,553.5,852,858,incident_event
39,ae_sae,NCT00715624,NCT00715624,pois,327.8,493,,,,317.6,488,494,incident_event
39,ae_sae,NCT00763815,NCT00763815,pois,238.5,483,,,,223.4,478,484,incident_event
39,ae_sae,NCT00707031,NCT00707031,pois,316.3,632,,,,302.1,627,633,incident_event
39,ae_sae,NCT01648582,NCT01648582,pois,363.5,773,,,,347.3,765,774,incident_event
39,ae_sae,NCT01768559,NCT01768559,pois,272.1,891,,,,264.9,886,892,incident_event
39,ae_sae,NCT00975286,NCT00975286,pois,198,445,,,,192,440,446,incident_event
39,ae_hypog,NCT00713830,NCT00713830,pois,391.7,857,,,,389.6,852,858,incident_event
39,ae_hypog,NCT00715624,NCT00715624,pois,232,493,,,,224.9,488,494,incident_event
39,ae_hypog,NCT01768559,NCT01768559,pois,1139.5,891,,,,1132,886,892,incident_event
39,ae_uti,NCT00968812,NCT00968812,pois,943.3,1451,,,,889.4,1443,1452,incident_event
39,ae_uti,NCT01032629,NCT01032629,pois,4417.2,4329,,,,4181,4321,4330,incident_event
39,ae_uti,NCT01106625,NCT01106625,pois,295.6,468,,,,268,460,469,incident_event
39,ae_uti,NCT01081834,NCT01081834,pois,430.8,586,,,,403.2,578,587,incident_event
39,ae_uti,NCT01106651,NCT01106651,pois,481.1,715,,,,450.8,707,716,incident_event
39,ae_uti,NCT01106677,NCT01106677,pois,696.8,1283,,,,630.8,1272,1284,incident_event
39,ae_uti,NCT01106690,NCT01106690,pois,201.1,343,,,,161.2,335,344,incident_event
39,ae_uti,NCT01137812,NCT01137812,pois,394.1,755,,,,360.3,750,756,incident_event
39,ae_uti,NCT01381900,NCT01381900,pois,293.8,677,,,,274.5,669,678,incident_event
39,ae_uti,NCT01809327,NCT01809327,pois,284.9,1185,,,,268.8,1171,1186,incident_event
39,ae_uti,NCT01989754,NCT01989754,pois,1572.2,5812,,,,1552,5807,5813,incident_event
39,ae_uti,NCT02065791,NCT02065791,pois,3464.8,4400,,,,3255,4395,4401,incident_event
39,ae_uti,NCT01087502,NCT01087502,pois,166.3,234,,,,151,229,235,incident_event
39,ae_uti,NCT00763451,NCT00763451,pois,249.7,481,,,,233.7,473,482,incident_event
39,ae_uti,NCT00712673,NCT00712673,pois,321.5,679,,,,288.6,671,680,incident_event
39,ae_uti,NCT00713830,NCT00713830,pois,341.5,857,,,,318,852,858,incident_event
39,ae_uti,NCT00715624,NCT00715624,pois,257.1,493,,,,243.1,488,494,incident_event
39,ae_uti,NCT00763815,NCT00763815,pois,312.7,483,,,,284.6,478,484,incident_event
39,ae_uti,NCT00707031,NCT00707031,pois,247.1,632,,,,237.6,627,633,incident_event
39,ae_uti,NCT01648582,NCT01648582,pois,340.9,773,,,,319.6,765,774,incident_event
39,ae_uti,NCT01768559,NCT01768559,pois,258.2,891,,,,239,886,892,incident_event
39,ae_gi,NCT00968812,NCT00968812,pois,2304.8,1451,,,,2288,1443,1452,incident_event
39,ae_gi,NCT01032629,NCT01032629,pois,9353,4329,,,,9347,4321,4330,incident_event
39,ae_gi,NCT01106625,NCT01106625,pois,627.4,468,,,,621.3,460,469,incident_event
39,ae_gi,NCT01081834,NCT01081834,pois,736.1,586,,,,724.9,578,587,incident_event
39,ae_gi,NCT01106651,NCT01106651,pois,1117.3,715,,,,1110,707,716,incident_event
39,ae_gi,NCT01106677,NCT01106677,pois,1763.6,1283,,,,1755,1272,1284,incident_event
39,ae_gi,NCT01106690,NCT01106690,pois,485,343,,,,472,335,344,incident_event
39,ae_gi,NCT01137812,NCT01137812,pois,1113.4,755,,,,1107,750,756,incident_event
39,ae_gi,NCT01381900,NCT01381900,pois,447.2,677,,,,439.6,669,678,incident_event
39,ae_gi,NCT01809327,NCT01809327,pois,1033.6,1185,,,,1016,1171,1186,incident_event
39,ae_gi,NCT01989754,NCT01989754,pois,2301.3,5812,,,,2280,5807,5813,incident_event
39,ae_gi,NCT02025907,NCT02025907,pois,171.2,217,,,,162.1,212,218,incident_event
39,ae_gi,NCT02065791,NCT02065791,pois,5860.8,4400,,,,5841,4395,4401,incident_event
39,ae_gi,NCT00800683,NCT00800683,pois,213.2,129,,,,209.7,124,130,incident_event
39,ae_gi,NCT00740051,NCT00740051,pois,234.5,226,,,,232.6,221,227,incident_event
39,ae_gi,NCT00996658,NCT00996658,pois,179.7,271,,,,158.8,266,272,incident_event
39,ae_gi,NCT01084005,NCT01084005,pois,295.6,238,,,,290.2,233,239,incident_event
39,ae_gi,NCT01087502,NCT01087502,pois,346.8,234,,,,341.7,229,235,incident_event
39,ae_gi,NCT01194830,NCT01194830,pois,204.4,215,,,,196,210,216,incident_event
39,ae_gi,NCT02182830,NCT02182830,pois,132.1,163,,,,126.6,158,164,incident_event
39,ae_gi,NCT02453555,NCT02453555,pois,300.9,274,,,,295.5,269,275,incident_event
39,ae_gi,NCT00763451,NCT00763451,pois,1362.5,481,,,,1305,473,482,incident_event
39,ae_gi,NCT00976937,NCT00976937,pois,558.4,318,,,,549.5,313,319,incident_event
39,ae_gi,NCT00866658,NCT00866658,pois,692.8,309,,,,575.8,304,310,incident_event
39,ae_gi,NCT01169779,NCT01169779,pois,582.5,389,,,,534.3,384,390,incident_event
39,ae_gi,NCT01632163,NCT01632163,pois,488.3,250,,,,445.5,245,251,incident_event
39,ae_gi,NCT01798706,NCT01798706,pois,675.3,324,,,,640.2,319,325,incident_event
39,ae_gi,NCT00712673,NCT00712673,pois,1998.8,679,,,,1959,671,680,incident_event
39,ae_gi,NCT00713830,NCT00713830,pois,2379.1,857,,,,2335,852,858,incident_event
39,ae_gi,NCT00715624,NCT00715624,pois,1399.8,493,,,,1352,488,494,incident_event
39,ae_gi,NCT00763815,NCT00763815,pois,1385.2,483,,,,1375,478,484,incident_event
39,ae_gi,NCT00688701,NCT00688701,pois,554.9,359,,,,534.3,351,360,incident_event
39,ae_gi,NCT00707031,NCT00707031,pois,2394.4,632,,,,2360,627,633,incident_event
39,ae_gi,NCT01648582,NCT01648582,pois,1665.7,773,,,,1580,765,774,incident_event
39,ae_gi,NCT01558271,NCT01558271,pois,1071.6,491,,,,1043,483,492,incident_event
39,ae_gi,NCT02750410,NCT02750410,pois,394.2,158,,,,368.3,153,159,incident_event
39,ae_gi,NCT01768559,NCT01768559,pois,1275.9,891,,,,1190,886,892,incident_event
39,ae_gi,NCT00975286,NCT00975286,pois,856.5,445,,,,817,440,446,incident_event
39,ae_gi,NCT01632007,NCT01632007,pois,223.4,244,,,,211.1,236,245,incident_event
39,ae_sae,NCT01032629,NCT01032629,nb,5102.3,4329,-4802,9624,9688,4988,4321,4330,incident_event
39,ae_sae,NCT01106651,NCT01106651,nb,142,715,-163.1,346.1,391.9,119.5,707,716,incident_event
39,ae_sae,NCT01137812,NCT01137812,nb,199.1,755,-216.7,447.4,479.8,187.9,750,756,incident_event
39,ae_sae,NCT01809327,NCT01809327,nb,240.7,1185,-149.3,330.6,411.8,231.6,1171,1186,incident_event
39,ae_sae,NCT01989754,NCT01989754,nb,5618.6,5812,-4802,9617,9664,5507,5807,5813,incident_event
39,ae_sae,NCT02065791,NCT02065791,nb,5195.4,4400,-4457,8928,8973,5160,4395,4401,incident_event
39,ae_sae,NCT00712673,NCT00712673,nb,240.4,679,-212.4,444.7,490,229.2,671,680,incident_event
39,ae_sae,NCT00713830,NCT00713830,nb,286.1,857,-345.3,704.5,737.8,274.4,852,858,incident_event
39,ae_sae,NCT00715624,NCT00715624,nb,192.4,493,-201.8,417.6,447,182.8,488,494,incident_event
39,ae_sae,NCT00763815,NCT00763815,nb,134.8,483,-140.1,294.1,323.4,119.5,478,484,incident_event
39,ae_sae,NCT00707031,NCT00707031,nb,235.2,632,-193.7,401.4,432.6,221.8,627,633,incident_event
39,ae_sae,NCT01648582,NCT01648582,nb,221.8,773,-220.2,460.3,506.9,203.2,765,774,incident_event
39,ae_sae,NCT01768559,NCT01768559,nb,271.5,891,-166.4,346.9,380.5,264.3,886,892,incident_event
39,ae_sae,NCT00975286,NCT00975286,nb,128.3,445,-120.7,255.3,284,122.2,440,446,incident_event
39,ae_hypog,NCT00713830,NCT00713830,nb,99.2,857,-207.2,428.4,461.7,97.35,852,858,incident_event
39,ae_hypog,NCT00715624,NCT00715624,nb,120.4,493,-137.9,289.8,319.3,111.9,488,494,incident_event
39,ae_hypog,NCT01768559,NCT01768559,nb,626.5,891,-757.2,1528,1562,618.2,886,892,incident_event
39,ae_uti,NCT01106625,NCT01106625,nb,130.2,468,-156.9,333.8,375.3,101,460,469,incident_event
39,ae_uti,NCT01106651,NCT01106651,nb,211.1,715,-266.2,552.4,598.2,182.2,707,716,incident_event
39,ae_uti,NCT01106690,NCT01106690,nb,117.3,343,-101.4,222.9,261.3,77.77,335,344,incident_event
39,ae_uti,NCT01137812,NCT01137812,nb,261.5,755,-230.9,475.9,508.3,226.6,750,756,incident_event
39,ae_uti,NCT01381900,NCT01381900,nb,2.2,677,-277,574.1,619.2,2.004,669,678,incident_event
39,ae_uti,NCT02065791,NCT02065791,nb,2179.5,4400,-2091,4197,4242,1965,4395,4401,incident_event
39,ae_uti,NCT00763451,NCT00763451,nb,170.4,481,-149.3,318.7,360.5,155.3,473,482,incident_event
39,ae_uti,NCT00712673,NCT00712673,nb,162.7,679,-175.7,371.5,416.7,127.3,671,680,incident_event
39,ae_uti,NCT00713830,NCT00713830,nb,128.9,857,-177.9,369.9,403.2,101.2,852,858,incident_event
39,ae_uti,NCT00715624,NCT00715624,nb,103.4,493,-142.3,298.5,328,92.31,488,494,incident_event
39,ae_uti,NCT00763815,NCT00763815,nb,170.4,483,-175.3,364.6,393.9,141.8,478,484,incident_event
39,ae_uti,NCT00707031,NCT00707031,nb,135.9,632,-148.1,310.2,341.3,125.2,627,633,incident_event
39,ae_uti,NCT01768559,NCT01768559,nb,138.2,891,-146.6,307.1,340.7,118.3,886,892,incident_event
39,ae_gi,NCT00968812,NCT00968812,nb,934.3,1451,-1391,2802,2855,909.8,1443,1452,incident_event
39,ae_gi,NCT01032629,NCT01032629,nb,4050.5,4329,-5782,11580,11650,4046,4321,4330,incident_event
39,ae_gi,NCT01106625,NCT01106625,nb,266.5,468,-380.6,781.2,822.7,261.5,460,469,incident_event
39,ae_gi,NCT01106651,NCT01106651,nb,400.6,715,-634.6,1289,1335,391.4,707,716,incident_event
39,ae_gi,NCT01106677,NCT01106677,nb,631.9,1283,-1008,2041,2108,618.6,1272,1284,incident_event
39,ae_gi,NCT01106690,NCT01106690,nb,199.7,343,-281.2,582.4,620.8,186.8,335,344,incident_event
39,ae_gi,NCT01137812,NCT01137812,nb,537.1,755,-713.3,1441,1473,534.4,750,756,incident_event
39,ae_gi,NCT01381900,NCT01381900,nb,182.3,677,-266.6,553.2,598.4,178.5,669,678,incident_event
39,ae_gi,NCT01809327,NCT01809327,nb,430.9,1185,-621.8,1276,1357,422,1171,1186,incident_event
39,ae_gi,NCT02025907,NCT02025907,nb,90.7,217,-101.9,217.8,241.5,80.17,212,218,incident_event
39,ae_gi,NCT02065791,NCT02065791,nb,3384.9,4400,-3907,7828,7873,3365,4395,4401,incident_event
39,ae_gi,NCT00800683,NCT00800683,nb,112.9,129,-141.3,296.7,316.7,110.1,124,130,incident_event
39,ae_gi,NCT00996658,NCT00996658,nb,121.8,271,-104.6,223.2,248.5,100.8,266,272,incident_event
39,ae_gi,NCT01084005,NCT01084005,nb,137.6,238,-184.7,383.4,407.7,131.7,233,239,incident_event
39,ae_gi,NCT01087502,NCT01087502,nb,198.9,234,-234,482,506.2,194.5,229,235,incident_event
39,ae_gi,NCT01194830,NCT01194830,nb,104.5,215,-124.7,263.5,287.1,97.57,210,216,incident_event
39,ae_gi,NCT02182830,NCT02182830,nb,75.9,163,-81.89,177.8,199.5,69.88,158,164,incident_event
39,ae_gi,NCT02453555,NCT02453555,nb,209.9,274,-203.3,420.7,446,205.5,269,275,incident_event
39,ae_gi,NCT00763451,NCT00763451,nb,516.8,481,-735.8,1492,1533,470.1,473,482,incident_event
39,ae_gi,NCT00976937,NCT00976937,nb,216.9,318,-328.7,671.3,697.7,210.6,313,319,incident_event
39,ae_gi,NCT00866658,NCT00866658,nb,391.4,309,-358.2,730.4,756.5,279.9,304,310,incident_event
39,ae_gi,NCT01169779,NCT01169779,nb,236.1,389,-299.8,613.6,641.3,194.8,384,390,incident_event
39,ae_gi,NCT01632163,NCT01632163,nb,206.5,250,-253.3,520.6,545.2,176.9,245,251,incident_event
39,ae_gi,NCT01798706,NCT01798706,nb,278.7,324,-378.5,771,797.5,249.8,319,325,incident_event
39,ae_gi,NCT00712673,NCT00712673,nb,686.9,679,-1049,2118,2164,639.9,671,680,incident_event
39,ae_gi,NCT00713830,NCT00713830,nb,786.7,857,-1233,2479,2512,747.4,852,858,incident_event
39,ae_gi,NCT00715624,NCT00715624,nb,466,493,-716.8,1448,1477,444.8,488,494,incident_event
39,ae_gi,NCT00763815,NCT00763815,nb,430.2,483,-712.1,1438,1467,420.5,478,484,incident_event
39,ae_gi,NCT00688701,NCT00688701,nb,306.4,359,-361.9,743.7,782.6,286.6,351,360,incident_event
39,ae_gi,NCT00707031,NCT00707031,nb,634.3,632,-1107,2228,2259,617.3,627,633,incident_event
39,ae_gi,NCT01648582,NCT01648582,nb,500.1,773,-750.5,1521,1567,416,765,774,incident_event
39,ae_gi,NCT02750410,NCT02750410,nb,156.2,158,-210.1,434.3,455.8,136,153,159,incident_event
39,ae_gi,NCT01768559,NCT01768559,nb,600.6,891,-693.4,1401,1434,473,886,892,incident_event
39,ae_gi,NCT00975286,NCT00975286,nb,360.6,445,-474.5,963,991.7,314.5,440,446,incident_event
39,ae_gi,NCT01632007,NCT01632007,nb,171.5,244,-140.9,301.9,336.9,158.4,236,245,incident_event
