trials,nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome,outcome_method
41,NCT00968812,NCT00968812,b1,0,0,0.8,2.9,0.001,11,-1684,3395,3464,870.8,1433,1445,hba1c,baseline
41,NCT01032629,NCT01032629,b1,0,0,0.9,7.1,0,11,-5690,11410,11490,3559,4282,4294,hba1c,baseline
41,NCT01106625,NCT01106625,b1,0,0,0.9,1.3,0.23,11,-610.9,1248,1302,378.2,452,464,hba1c,baseline
41,NCT01081834,NCT01081834,b1,0,0,1,1.5,0.113,11,-807.5,1641,1698,546.6,570,582,hba1c,baseline
41,NCT01106651,NCT01106651,b1,0,0,0.8,2.1,0.016,11,-819.5,1665,1724,416.6,700,712,hba1c,baseline
41,NCT01106677,NCT01106677,b1,0,0,0.9,2.2,0.005,15,-1648,3330,3418,990.4,1259,1275,hba1c,baseline
41,NCT01106690,NCT01106690,b1,0.1,0,0.9,2.1,0.019,11,-456.8,939.5,989.4,289.5,330,342,hba1c,baseline
41,NCT01137812,NCT01137812,b1,0,0,0.9,3.4,0.002,7,-987.4,1993,2034,607.2,745,753,hba1c,baseline
41,NCT01381900,NCT01381900,b1,0,-0,0.9,0.9,0.511,11,-857.1,1740,1799,500.8,663,675,hba1c,baseline
41,NCT01809327,NCT01809327,b1,0,0,1.2,1.6,0.057,19,-1854,3750,3857,1606,1158,1178,hba1c,baseline
41,NCT01989754,NCT01989754,b1,0,0,0.9,17.8,0,7,-7842,15700,15760,5090,5781,5789,hba1c,baseline
41,NCT02025907,NCT02025907,b1,0,-0,0.8,0.8,0.581,7,-263.9,545.8,576.2,145.6,208,216,hba1c,baseline
41,NCT02065791,NCT02065791,b1,0,0,1.3,18.1,0,7,-7293,14600,14660,7288,4340,4348,hba1c,baseline
41,NCT00819091,NCT00819091,b1,0,0,0.8,1.3,0.252,7,-279.9,577.8,609,146.4,230,238,hba1c,baseline
41,NCT00800683,NCT00800683,b1,0.1,0,1,1.7,0.109,7,-173.7,365.4,391.2,110.1,122,130,hba1c,baseline
41,NCT00740051,NCT00740051,b1,0,0,0.9,1.5,0.159,7,-298.3,614.7,645.5,184.1,219,227,hba1c,baseline
41,NCT00996658,NCT00996658,b1,0,-0,0.8,0.6,0.771,7,-329.2,676.4,708.8,179.2,264,272,hba1c,baseline
41,NCT01084005,NCT01084005,b1,0.1,0,0.7,1.9,0.077,7,-264.2,546.3,577.6,127.6,231,239,hba1c,baseline
41,NCT01087502,NCT01087502,b1,0,-0,0.9,0.7,0.679,7,-311.3,640.7,671.8,194.7,227,235,hba1c,baseline
41,NCT01194830,NCT01194830,b1,0,0,1.1,1.5,0.155,7,-318.6,655.1,685.5,241.6,208,216,hba1c,baseline
41,NCT02182830,NCT02182830,b1,0,0,1,1.1,0.374,7,-230,478,505.9,158.7,156,164,hba1c,baseline
41,NCT02453555,NCT02453555,b1,0,0,0.7,1.8,0.084,7,-278.6,575.3,607.8,122.2,267,275,hba1c,baseline
41,NCT00763451,NCT00763451,b1,0,-0,0.9,0.9,0.563,11,-607.7,1241,1296,351.2,470,482,hba1c,baseline
41,NCT00976937,NCT00976937,b1,0,-0,0.9,0.3,0.938,7,-429,876.1,910,275.1,311,319,hba1c,baseline
41,NCT00866658,NCT00866658,b1,0,-0,0.8,0.7,0.66,7,-352.6,723.2,756.8,176.5,302,310,hba1c,baseline
41,NCT01169779,NCT01169779,b1,0.1,0,0.8,3.1,0.003,7,-437.2,892.5,928.2,215,382,390,hba1c,baseline
41,NCT01632163,NCT01632163,b1,0,0,0.7,1.4,0.224,7,-255.7,529.5,561.2,112.8,243,251,hba1c,baseline
41,NCT01798706,NCT01798706,b1,0,0,0.7,2,0.054,7,-343.8,705.5,739.6,157.8,317,325,hba1c,baseline
41,NCT00712673,NCT00712673,b1,0,0,0.9,1.3,0.248,11,-907.7,1841,1900,574.7,668,680,hba1c,baseline
41,NCT00713830,NCT00713830,b1,0,0,0.9,2.7,0.009,7,-1079,2176,2219,621.6,850,858,hba1c,baseline
41,NCT00715624,NCT00715624,b1,0,0,0.9,2.3,0.028,7,-624.2,1266,1304,362,486,494,hba1c,baseline
41,NCT00763815,NCT00763815,b1,0.1,0,0.8,3.9,0,7,-600.7,1219,1257,339.1,476,484,hba1c,baseline
41,NCT00688701,NCT00688701,b1,0,-0,0.9,0.8,0.66,11,-467.6,961.2,1012,283.1,348,360,hba1c,baseline
41,NCT00707031,NCT00707031,b1,0,0,0.8,3.2,0.002,7,-754,1526,1566,401.4,625,633,hba1c,baseline
41,NCT01648582,NCT01648582,b1,0,0,1.1,1.2,0.29,11,-1168,2362,2422,926.2,762,774,hba1c,baseline
41,NCT01558271,NCT01558271,b1,0,-0,0.8,0.8,0.656,11,-591.5,1209,1264,318.9,480,492,hba1c,baseline
41,NCT02750410,NCT02750410,b1,0,-0,0.7,0.6,0.728,7,-166.5,350.9,378.5,75.6,151,159,hba1c,baseline
41,NCT01768559,NCT01768559,b1,0,0,0.6,1.2,0.329,7,-779.3,1577,1620,299.5,885,893,hba1c,baseline
41,NCT00975286,NCT00975286,b1,0,-0,0.5,1,0.458,7,-357.5,733.1,770,129.8,438,446,hba1c,baseline
41,NCT01632007,NCT01632007,b1,0.1,0,0.9,1.8,0.063,11,-307.9,641.8,687.4,177.2,233,245,hba1c,baseline
41,NCT01619059,NCT01619059,b1,0.1,0,0.9,2.3,0.024,7,-382.3,782.5,816,219,297,305,hba1c,baseline
41,NCT00968812,NCT00968812,f1,0.2,0.2,0.7,113.8,0,3,-1532,3074,3101,723.7,1409,1413,hba1c,locf
41,NCT01032629,NCT01032629,f1,0.1,0.1,1.2,239,0,3,-6780,13570,13600,6349,4154,4158,hba1c,locf
41,NCT01106625,NCT01106625,f1,0.3,0.3,0.8,73.9,0,3,-541.7,1093,1114,291.8,447,451,hba1c,locf
41,NCT01081834,NCT01081834,f1,0.4,0.4,0.8,137.2,0,3,-695.2,1400,1422,381.7,567,571,hba1c,locf
41,NCT01106651,NCT01106651,f1,0.3,0.3,0.7,124,0,3,-753.7,1517,1540,356,691,695,hba1c,locf
41,NCT01106677,NCT01106677,f1,0.3,0.3,0.7,151.4,0,4,-1378,2769,2799,663.4,1246,1251,hba1c,locf
41,NCT01106690,NCT01106690,f1,0.4,0.4,0.7,69,0,3,-352.5,714.9,734,159.8,333,337,hba1c,locf
41,NCT01137812,NCT01137812,f1,0.2,0.2,0.9,117,0,2,-942.4,1893,1911,560.4,731,734,hba1c,locf
41,NCT01381900,NCT01381900,f1,0.4,0.4,0.7,130.2,0,3,-744.4,1499,1521,368.1,657,661,hba1c,locf
41,NCT01809327,NCT01809327,f1,0.2,0.2,1.1,58.7,0,5,-1693,3401,3436,1278,1145,1151,hba1c,locf
