trials,outcome,nct_id,nct_id2,models,row,col,r,outcome_method
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),age10,-0.98,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),arm_f_2_uaa10456,-0.65,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,arm_f_2_uaa10456,0.637,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),arm_f_2_uaa10457,-0.645,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,arm_f_2_uaa10457,0.632,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,arm_f_2_uaa10457,0.419,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),sex,-0.135,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,sex,0.005,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,sex,0.088,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10457,sex,0.087,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),age10:arm_f_2_uaa10456,0.624,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,age10:arm_f_2_uaa10456,-0.637,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,age10:arm_f_2_uaa10456,-0.977,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10457,age10:arm_f_2_uaa10456,-0.402,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,sex,age10:arm_f_2_uaa10456,-0.003,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),age10:arm_f_2_uaa10457,0.612,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,age10:arm_f_2_uaa10457,-0.625,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,age10:arm_f_2_uaa10457,-0.398,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10457,age10:arm_f_2_uaa10457,-0.977,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,sex,age10:arm_f_2_uaa10457,-0.003,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10:arm_f_2_uaa10456,age10:arm_f_2_uaa10457,0.398,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),arm_f_2_uaa10456:sex,0.083,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,arm_f_2_uaa10456:sex,-0.003,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,arm_f_2_uaa10456:sex,-0.115,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10457,arm_f_2_uaa10456:sex,-0.053,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,sex,arm_f_2_uaa10456:sex,-0.612,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10:arm_f_2_uaa10456,arm_f_2_uaa10456:sex,-0.027,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10:arm_f_2_uaa10457,arm_f_2_uaa10456:sex,0.002,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,(Intercept),arm_f_2_uaa10457:sex,0.081,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10,arm_f_2_uaa10457:sex,-0.003,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456,arm_f_2_uaa10457:sex,-0.053,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10457,arm_f_2_uaa10457:sex,-0.145,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,sex,arm_f_2_uaa10457:sex,-0.602,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10:arm_f_2_uaa10456,arm_f_2_uaa10457:sex,0.002,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,age10:arm_f_2_uaa10457,arm_f_2_uaa10457:sex,0.007,incident_event
39,ae_sae,NCT00968812,NCT00968812,pois,arm_f_2_uaa10456:sex,arm_f_2_uaa10457:sex,0.368,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),age10,-0.976,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),arm_f_2_uaa10512,-0.725,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,arm_f_2_uaa10512,0.708,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),arm_f_2_uaa10514,-0.714,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,arm_f_2_uaa10514,0.697,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,arm_f_2_uaa10514,0.518,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),sex,-0.235,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,sex,0.057,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,sex,0.17,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10514,sex,0.168,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),age10:arm_f_2_uaa10512,0.701,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,age10:arm_f_2_uaa10512,-0.718,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,age10:arm_f_2_uaa10512,-0.976,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10514,age10:arm_f_2_uaa10512,-0.501,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,sex,age10:arm_f_2_uaa10512,-0.041,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),age10:arm_f_2_uaa10514,0.694,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,age10:arm_f_2_uaa10514,-0.711,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,age10:arm_f_2_uaa10514,-0.503,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10514,age10:arm_f_2_uaa10514,-0.977,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,sex,age10:arm_f_2_uaa10514,-0.04,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10:arm_f_2_uaa10512,age10:arm_f_2_uaa10514,0.511,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),arm_f_2_uaa10512:sex,0.167,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,arm_f_2_uaa10512:sex,-0.04,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,arm_f_2_uaa10512:sex,-0.206,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10514,arm_f_2_uaa10512:sex,-0.12,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,sex,arm_f_2_uaa10512:sex,-0.712,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10:arm_f_2_uaa10512,arm_f_2_uaa10512:sex,0.025,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10:arm_f_2_uaa10514,arm_f_2_uaa10512:sex,0.029,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,(Intercept),arm_f_2_uaa10514:sex,0.168,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10,arm_f_2_uaa10514:sex,-0.041,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512,arm_f_2_uaa10514:sex,-0.122,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10514,arm_f_2_uaa10514:sex,-0.215,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,sex,arm_f_2_uaa10514:sex,-0.715,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10:arm_f_2_uaa10512,arm_f_2_uaa10514:sex,0.029,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,age10:arm_f_2_uaa10514,arm_f_2_uaa10514:sex,0.039,incident_event
39,ae_sae,NCT01032629,NCT01032629,pois,arm_f_2_uaa10512:sex,arm_f_2_uaa10514:sex,0.51,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),age10,-0.946,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),arm_f_2_uaa10573,-0.712,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,arm_f_2_uaa10573,0.674,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),arm_f_2_uaa10574,-0.654,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,arm_f_2_uaa10574,0.618,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,arm_f_2_uaa10574,0.466,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),sex,-0.224,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,sex,-0.088,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,sex,0.16,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10574,sex,0.147,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),age10:arm_f_2_uaa10573,0.673,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,age10:arm_f_2_uaa10573,-0.712,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,age10:arm_f_2_uaa10573,-0.964,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10574,age10:arm_f_2_uaa10573,-0.44,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,sex,age10:arm_f_2_uaa10573,0.063,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),age10:arm_f_2_uaa10574,0.576,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,age10:arm_f_2_uaa10574,-0.608,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,age10:arm_f_2_uaa10574,-0.41,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10574,age10:arm_f_2_uaa10574,-0.971,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,sex,age10:arm_f_2_uaa10574,0.054,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10:arm_f_2_uaa10573,age10:arm_f_2_uaa10574,0.433,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),arm_f_2_uaa10573:sex,0.189,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,arm_f_2_uaa10573:sex,0.074,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,arm_f_2_uaa10573:sex,-0.16,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10574,arm_f_2_uaa10573:sex,-0.123,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,sex,arm_f_2_uaa10573:sex,-0.84,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10:arm_f_2_uaa10573,arm_f_2_uaa10573:sex,-0.089,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10:arm_f_2_uaa10574,arm_f_2_uaa10573:sex,-0.045,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,(Intercept),arm_f_2_uaa10574:sex,0.193,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10,arm_f_2_uaa10574:sex,0.076,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573,arm_f_2_uaa10574:sex,-0.137,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10574,arm_f_2_uaa10574:sex,-0.176,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,sex,arm_f_2_uaa10574:sex,-0.859,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10:arm_f_2_uaa10573,arm_f_2_uaa10574:sex,-0.054,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,age10:arm_f_2_uaa10574,arm_f_2_uaa10574:sex,-0.039,incident_event
39,ae_sae,NCT01106651,NCT01106651,pois,arm_f_2_uaa10573:sex,arm_f_2_uaa10574:sex,0.722,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),age10,-0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10577,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10577,0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10578,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10578,0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,arm_f_2_uaa10578,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10580,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10580,0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,arm_f_2_uaa10580,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,arm_f_2_uaa10580,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),age10:arm_f_2_uaa10577,0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,age10:arm_f_2_uaa10577,-0.862,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,age10:arm_f_2_uaa10577,-0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,age10:arm_f_2_uaa10577,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,age10:arm_f_2_uaa10577,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,age10:arm_f_2_uaa10577,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),age10:arm_f_2_uaa10578,0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,age10:arm_f_2_uaa10578,-0.828,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,age10:arm_f_2_uaa10578,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,age10:arm_f_2_uaa10578,-0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,age10:arm_f_2_uaa10578,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,age10:arm_f_2_uaa10578,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10577,age10:arm_f_2_uaa10578,0.714,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),age10:arm_f_2_uaa10580,0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,age10:arm_f_2_uaa10580,-0.846,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,age10:arm_f_2_uaa10580,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,age10:arm_f_2_uaa10580,-0.003,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,age10:arm_f_2_uaa10580,-0.004,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,age10:arm_f_2_uaa10580,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10577,age10:arm_f_2_uaa10580,0.73,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10578,age10:arm_f_2_uaa10580,0.7,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10577:sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10577:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,arm_f_2_uaa10577:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,arm_f_2_uaa10577:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,arm_f_2_uaa10577:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,arm_f_2_uaa10577:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10577,arm_f_2_uaa10577:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10578,arm_f_2_uaa10577:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10580,arm_f_2_uaa10577:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10578:sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10578:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,arm_f_2_uaa10578:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,arm_f_2_uaa10578:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,arm_f_2_uaa10578:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,arm_f_2_uaa10578:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10577,arm_f_2_uaa10578:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10578,arm_f_2_uaa10578:sex,0,incident_event
