trials,nct_id,nct_id2,models,term,estimate,std.error,outcome,outcome_method
53,NCT00641043,NCT00641043,rcs,Intercept,2.67,1.591,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,0.616,0.061,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,-0.103,0.341,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',-0.23,1.394,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'',1.876,3.782,hba1c,locf
53,NCT00641043,NCT00641043,rcs,arm_f=_2_uaa10253,-1.191,1.84,hba1c,locf
53,NCT00641043,NCT00641043,rcs,sex,0.336,0.181,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10 * arm_f=_2_uaa10253,0.195,0.412,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10' * arm_f=_2_uaa10253,0.227,1.681,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'' * arm_f=_2_uaa10253,-2.451,4.584,hba1c,locf
53,NCT00641043,NCT00641043,rcs,arm_f=_2_uaa10253 * sex,-0.167,0.22,hba1c,locf
53,NCT00621140,NCT00621140,rcs,Intercept,4.327,0.968,hba1c,locf
53,NCT00621140,NCT00621140,rcs,value_1,0.552,0.046,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10,-0.148,0.21,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10',-0.211,1.02,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10'',1.325,3.069,hba1c,locf
53,NCT00621140,NCT00621140,rcs,arm_f=_2_uaa10243,-0.809,1.211,hba1c,locf
53,NCT00621140,NCT00621140,rcs,sex,0.06,0.14,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10 * arm_f=_2_uaa10243,0.067,0.277,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10' * arm_f=_2_uaa10243,0.052,1.267,hba1c,locf
53,NCT00621140,NCT00621140,rcs,age10'' * arm_f=_2_uaa10243,-0.666,3.715,hba1c,locf
53,NCT00621140,NCT00621140,rcs,arm_f=_2_uaa10243 * sex,-0.028,0.171,hba1c,locf
53,NCT00601250,NCT00601250,rcs,Intercept,3.683,0.87,hba1c,locf
53,NCT00601250,NCT00601250,rcs,value_1,0.603,0.035,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10,-0.126,0.192,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10',0.215,0.86,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10'',-0.256,2.379,hba1c,locf
53,NCT00601250,NCT00601250,rcs,arm_f=_2_uaa10222,-0.845,1.019,hba1c,locf
53,NCT00601250,NCT00601250,rcs,sex,0.033,0.123,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10 * arm_f=_2_uaa10222,0.099,0.232,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10' * arm_f=_2_uaa10222,-0.506,1.019,hba1c,locf
53,NCT00601250,NCT00601250,rcs,age10'' * arm_f=_2_uaa10222,1.152,2.818,hba1c,locf
53,NCT00601250,NCT00601250,rcs,arm_f=_2_uaa10222 * sex,-0.037,0.141,hba1c,locf
53,NCT00602472,NCT00602472,rcs,Intercept,3.542,0.863,hba1c,locf
53,NCT00602472,NCT00602472,rcs,value_1,0.614,0.03,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10,-0.111,0.186,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10',0.337,0.748,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10'',-0.899,2.064,hba1c,locf
53,NCT00602472,NCT00602472,rcs,arm_f=_2_uaa10225,-1.002,0.987,hba1c,locf
53,NCT00602472,NCT00602472,rcs,sex,-0.059,0.098,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10 * arm_f=_2_uaa10225,0.113,0.222,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10' * arm_f=_2_uaa10225,-0.663,0.881,hba1c,locf
53,NCT00602472,NCT00602472,rcs,age10'' * arm_f=_2_uaa10225,1.681,2.412,hba1c,locf
53,NCT00602472,NCT00602472,rcs,arm_f=_2_uaa10225 * sex,0.098,0.113,hba1c,locf
53,NCT00622284,NCT00622284,rcs,Intercept,3.395,0.563,hba1c,locf
53,NCT00622284,NCT00622284,rcs,value_1,0.715,0.019,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10,-0.344,0.119,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10',1.061,0.428,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10'',-2.54,1.118,hba1c,locf
53,NCT00622284,NCT00622284,rcs,arm_f=_2_uaa10247,-1.067,0.764,hba1c,locf
53,NCT00622284,NCT00622284,rcs,sex,-0.125,0.049,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10 * arm_f=_2_uaa10247,0.235,0.168,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10' * arm_f=_2_uaa10247,-0.925,0.609,hba1c,locf
53,NCT00622284,NCT00622284,rcs,age10'' * arm_f=_2_uaa10247,2.371,1.59,hba1c,locf
53,NCT00622284,NCT00622284,rcs,arm_f=_2_uaa10247 * sex,0.201,0.069,hba1c,locf
53,NCT00654381,NCT00654381,rcs,Intercept,-0.136,2.901,hba1c,locf
53,NCT00654381,NCT00654381,rcs,value_1,1.064,0.051,hba1c,locf
