trials,nct_id,nct_id2,models,row,col,r,outcome,outcome_method
53,NCT00641043,NCT00641043,rcs,Intercept,value_1,-0.3,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,age10,-0.939,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,age10,-0.022,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,age10',0.824,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,age10',0.007,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,age10',-0.906,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,age10'',-0.757,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,age10'',-0.002,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,age10'',0.838,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',age10'',-0.987,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,arm_f=_2_uaa10253,-0.785,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,arm_f=_2_uaa10253,-0.006,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,arm_f=_2_uaa10253,0.818,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',arm_f=_2_uaa10253,-0.715,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'',arm_f=_2_uaa10253,0.655,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,sex,-0.123,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,sex,-0.05,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,sex,0.072,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',sex,-0.089,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'',sex,0.094,hba1c,locf
53,NCT00641043,NCT00641043,rcs,arm_f=_2_uaa10253,sex,0.12,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,age10 * arm_f=_2_uaa10253,0.784,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,age10 * arm_f=_2_uaa10253,-0.004,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,age10 * arm_f=_2_uaa10253,-0.827,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',age10 * arm_f=_2_uaa10253,0.749,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'',age10 * arm_f=_2_uaa10253,-0.694,hba1c,locf
53,NCT00641043,NCT00641043,rcs,arm_f=_2_uaa10253,age10 * arm_f=_2_uaa10253,-0.991,hba1c,locf
53,NCT00641043,NCT00641043,rcs,sex,age10 * arm_f=_2_uaa10253,-0.058,hba1c,locf
53,NCT00641043,NCT00641043,rcs,Intercept,age10' * arm_f=_2_uaa10253,-0.692,hba1c,locf
53,NCT00641043,NCT00641043,rcs,value_1,age10' * arm_f=_2_uaa10253,0.023,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10,age10' * arm_f=_2_uaa10253,0.75,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10',age10' * arm_f=_2_uaa10253,-0.829,hba1c,locf
53,NCT00641043,NCT00641043,rcs,age10'',age10' * arm_f=_2_uaa10253,0.818,hba1c,locf
53,NCT00641043,NCT00641043,rcs,arm_f=_2_uaa10253,age10' * arm_f=_2_uaa10253,0.856,hba1c,locf
