trials,nct_id,models,term,estimate,std.error,outcome,outcome_method
34,NCT00968812,rcs,Intercept,4.839,0.578,hba1c,locf
34,NCT00968812,rcs,value_1,0.444,0.025,hba1c,locf
34,NCT00968812,rcs,age10,-0.262,0.121,hba1c,locf
34,NCT00968812,rcs,age10',0.546,0.524,hba1c,locf
34,NCT00968812,rcs,age10'',-1.486,1.501,hba1c,locf
34,NCT00968812,rcs,arm_f=_2_uaa10456,-1.592,0.706,hba1c,locf
34,NCT00968812,rcs,arm_f=_2_uaa10457,-1.447,0.708,hba1c,locf
34,NCT00968812,rcs,sex,-0.144,0.067,hba1c,locf
34,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,0.303,0.159,hba1c,locf
34,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,-0.381,0.702,hba1c,locf
34,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,0.852,2.025,hba1c,locf
34,NCT00968812,rcs,age10 * arm_f=_2_uaa10457,0.268,0.16,hba1c,locf
34,NCT00968812,rcs,age10' * arm_f=_2_uaa10457,-0.47,0.708,hba1c,locf
34,NCT00968812,rcs,age10'' * arm_f=_2_uaa10457,1.043,2.055,hba1c,locf
34,NCT00968812,rcs,arm_f=_2_uaa10456 * sex,0.165,0.094,hba1c,locf
34,NCT00968812,rcs,arm_f=_2_uaa10457 * sex,0.101,0.094,hba1c,locf
34,NCT01032629,rcs,Intercept,3.193,1.423,hba1c,locf
34,NCT01032629,rcs,value_1,0.534,0.021,hba1c,locf
34,NCT01032629,rcs,age10,0.203,0.3,hba1c,locf
34,NCT01032629,rcs,age10',-1.164,0.885,hba1c,locf
34,NCT01032629,rcs,age10'',2.822,2.13,hba1c,locf
34,NCT01032629,rcs,arm_f=_2_uaa10512,1.078,1.889,hba1c,locf
34,NCT01032629,rcs,arm_f=_2_uaa10514,1.106,1.939,hba1c,locf
34,NCT01032629,rcs,sex,-0.06,0.07,hba1c,locf
34,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,-0.251,0.401,hba1c,locf
34,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,0.23,1.193,hba1c,locf
34,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,0.032,2.888,hba1c,locf
34,NCT01032629,rcs,age10 * arm_f=_2_uaa10514,-0.312,0.412,hba1c,locf
34,NCT01032629,rcs,age10' * arm_f=_2_uaa10514,1.192,1.227,hba1c,locf
34,NCT01032629,rcs,age10'' * arm_f=_2_uaa10514,-2.757,2.963,hba1c,locf
34,NCT01032629,rcs,arm_f=_2_uaa10512 * sex,-0.022,0.099,hba1c,locf
34,NCT01032629,rcs,arm_f=_2_uaa10514 * sex,-0.036,0.099,hba1c,locf
34,NCT01106625,rcs,Intercept,4.955,1.628,hba1c,locf
34,NCT01106625,rcs,value_1,0.488,0.042,hba1c,locf
34,NCT01106625,rcs,age10,-0.239,0.346,hba1c,locf
34,NCT01106625,rcs,age10',0.545,1.269,hba1c,locf
34,NCT01106625,rcs,age10'',-0.901,3.443,hba1c,locf
34,NCT01106625,rcs,arm_f=_2_uaa10569,-0.067,1.85,hba1c,locf
34,NCT01106625,rcs,arm_f=_2_uaa10570,-3.203,2.037,hba1c,locf
34,NCT01106625,rcs,sex,0.034,0.134,hba1c,locf
34,NCT01106625,rcs,age10 * arm_f=_2_uaa10569,-0.09,0.409,hba1c,locf
34,NCT01106625,rcs,age10' * arm_f=_2_uaa10569,0.326,1.564,hba1c,locf
34,NCT01106625,rcs,age10'' * arm_f=_2_uaa10569,-1.15,4.261,hba1c,locf
34,NCT01106625,rcs,age10 * arm_f=_2_uaa10570,0.498,0.448,hba1c,locf
34,NCT01106625,rcs,age10' * arm_f=_2_uaa10570,-0.973,1.674,hba1c,locf
34,NCT01106625,rcs,age10'' * arm_f=_2_uaa10570,1.376,4.579,hba1c,locf
34,NCT01106625,rcs,arm_f=_2_uaa10569 * sex,-0.24,0.188,hba1c,locf
34,NCT01106625,rcs,arm_f=_2_uaa10570 * sex,-0.024,0.19,hba1c,locf
34,NCT01081834,rcs,Intercept,4.619,0.832,hba1c,locf
34,NCT01081834,rcs,value_1,0.601,0.036,hba1c,locf
34,NCT01081834,rcs,age10,-0.367,0.182,hba1c,locf
34,NCT01081834,rcs,age10',1.174,0.856,hba1c,locf
34,NCT01081834,rcs,age10'',-2.743,2.446,hba1c,locf
34,NCT01081834,rcs,arm_f=_2_uaa10548,0.137,1.11,hba1c,locf
34,NCT01081834,rcs,arm_f=_2_uaa10549,-2.92,1.139,hba1c,locf
34,NCT01081834,rcs,sex,0.072,0.121,hba1c,locf
34,NCT01081834,rcs,age10 * arm_f=_2_uaa10548,-0.182,0.256,hba1c,locf
34,NCT01081834,rcs,age10' * arm_f=_2_uaa10548,0.963,1.185,hba1c,locf
34,NCT01081834,rcs,age10'' * arm_f=_2_uaa10548,-2.65,3.382,hba1c,locf
34,NCT01081834,rcs,age10 * arm_f=_2_uaa10549,0.444,0.264,hba1c,locf
34,NCT01081834,rcs,age10' * arm_f=_2_uaa10549,-0.927,1.227,hba1c,locf
34,NCT01081834,rcs,age10'' * arm_f=_2_uaa10549,1.577,3.5,hba1c,locf
34,NCT01081834,rcs,arm_f=_2_uaa10548 * sex,-0.086,0.171,hba1c,locf
34,NCT01081834,rcs,arm_f=_2_uaa10549 * sex,-0.012,0.169,hba1c,locf
34,NCT01106677,rcs,Intercept,3.789,0.735,hba1c,locf
34,NCT01106677,rcs,value_1,0.524,0.023,hba1c,locf
34,NCT01106677,rcs,age10,-0.086,0.162,hba1c,locf
34,NCT01106677,rcs,age10',-0.103,0.789,hba1c,locf
34,NCT01106677,rcs,age10'',0.453,2.506,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10577,-1.208,0.879,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10578,-0.641,0.923,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10580,-0.456,0.904,hba1c,locf
34,NCT01106677,rcs,sex,0.136,0.109,hba1c,locf
34,NCT01106677,rcs,age10 * arm_f=_2_uaa10577,0.168,0.201,hba1c,locf
34,NCT01106677,rcs,age10' * arm_f=_2_uaa10577,-0.373,0.97,hba1c,locf
34,NCT01106677,rcs,age10'' * arm_f=_2_uaa10577,1.236,3.016,hba1c,locf
34,NCT01106677,rcs,age10 * arm_f=_2_uaa10578,-0.004,0.21,hba1c,locf
34,NCT01106677,rcs,age10' * arm_f=_2_uaa10578,0.722,0.993,hba1c,locf
34,NCT01106677,rcs,age10'' * arm_f=_2_uaa10578,-1.954,3.074,hba1c,locf
34,NCT01106677,rcs,age10 * arm_f=_2_uaa10580,-0.002,0.207,hba1c,locf
34,NCT01106677,rcs,age10' * arm_f=_2_uaa10580,0.169,0.983,hba1c,locf
34,NCT01106677,rcs,age10'' * arm_f=_2_uaa10580,-0.833,3.027,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10577 * sex,-0.125,0.134,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10578 * sex,-0.167,0.134,hba1c,locf
34,NCT01106677,rcs,arm_f=_2_uaa10580 * sex,-0.079,0.134,hba1c,locf
34,NCT01106690,rcs,Intercept,6.731,1.972,hba1c,locf
34,NCT01106690,rcs,value_1,0.485,0.041,hba1c,locf
34,NCT01106690,rcs,age10,-0.671,0.424,hba1c,locf
34,NCT01106690,rcs,age10',2.148,1.449,hba1c,locf
34,NCT01106690,rcs,age10'',-5.579,3.673,hba1c,locf
34,NCT01106690,rcs,arm_f=_2_uaa10582,-2.906,2.268,hba1c,locf
34,NCT01106690,rcs,arm_f=_2_uaa10583,-4.969,2.23,hba1c,locf
34,NCT01106690,rcs,sex,0.087,0.14,hba1c,locf
34,NCT01106690,rcs,age10 * arm_f=_2_uaa10582,0.455,0.5,hba1c,locf
34,NCT01106690,rcs,age10' * arm_f=_2_uaa10582,-1.248,1.812,hba1c,locf
34,NCT01106690,rcs,age10'' * arm_f=_2_uaa10582,3.584,4.743,hba1c,locf
34,NCT01106690,rcs,age10 * arm_f=_2_uaa10583,0.953,0.49,hba1c,locf
34,NCT01106690,rcs,age10' * arm_f=_2_uaa10583,-3.054,1.783,hba1c,locf
34,NCT01106690,rcs,age10'' * arm_f=_2_uaa10583,8.189,4.678,hba1c,locf
34,NCT01106690,rcs,arm_f=_2_uaa10582 * sex,0.049,0.197,hba1c,locf
34,NCT01106690,rcs,arm_f=_2_uaa10583 * sex,0.005,0.201,hba1c,locf
34,NCT01137812,rcs,Intercept,4.793,0.874,hba1c,locf
34,NCT01137812,rcs,value_1,0.493,0.036,hba1c,locf
34,NCT01137812,rcs,age10,-0.23,0.185,hba1c,locf
34,NCT01137812,rcs,age10',0.121,0.722,hba1c,locf
34,NCT01137812,rcs,age10'',-0.11,1.958,hba1c,locf
34,NCT01137812,rcs,arm_f=_2_uaa10614,-2.461,1.164,hba1c,locf
34,NCT01137812,rcs,sex,-0.128,0.093,hba1c,locf
34,NCT01137812,rcs,age10 * arm_f=_2_uaa10614,0.402,0.258,hba1c,locf
34,NCT01137812,rcs,age10' * arm_f=_2_uaa10614,-0.458,1.01,hba1c,locf
34,NCT01137812,rcs,age10'' * arm_f=_2_uaa10614,0.521,2.733,hba1c,locf
34,NCT01137812,rcs,arm_f=_2_uaa10614 * sex,0.088,0.13,hba1c,locf
34,NCT01809327,rcs,Intercept,4.639,0.81,hba1c,locf
34,NCT01809327,rcs,value_1,0.422,0.027,hba1c,locf
34,NCT01809327,rcs,age10,-0.172,0.181,hba1c,locf
34,NCT01809327,rcs,age10',0.773,0.969,hba1c,locf
34,NCT01809327,rcs,age10'',-1.788,3.176,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10933,-1.647,1.021,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10934,-0.437,1.179,hba1c,locf
