trials,nct_id,nct_id2,models,row,col,r,outcome,outcome_method
34,NCT00968812,NCT00968812,rcs,Intercept,value_1,-0.369,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10,-0.936,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10,0.04,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10',0.795,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10',-0.024,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10',-0.889,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10'',-0.714,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10'',0.026,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10'',0.806,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10'',-0.981,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,arm_f=_2_uaa10456,-0.72,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,arm_f=_2_uaa10456,0.034,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,arm_f=_2_uaa10456,0.756,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',arm_f=_2_uaa10456,-0.645,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',arm_f=_2_uaa10456,0.578,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,arm_f=_2_uaa10457,-0.713,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,arm_f=_2_uaa10457,0.02,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,arm_f=_2_uaa10457,0.754,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',arm_f=_2_uaa10457,-0.643,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',arm_f=_2_uaa10457,0.576,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,arm_f=_2_uaa10457,0.579,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,sex,-0.122,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,sex,-0.065,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,sex,0.09,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',sex,-0.098,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',sex,0.1,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,sex,0.118,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,sex,0.118,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10 * arm_f=_2_uaa10456,0.71,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10 * arm_f=_2_uaa10456,-0.031,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10 * arm_f=_2_uaa10456,-0.759,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10 * arm_f=_2_uaa10456,0.674,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10 * arm_f=_2_uaa10456,-0.611,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10 * arm_f=_2_uaa10456,-0.991,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10 * arm_f=_2_uaa10456,-0.572,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10 * arm_f=_2_uaa10456,-0.068,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10' * arm_f=_2_uaa10456,-0.594,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10' * arm_f=_2_uaa10456,0.019,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10' * arm_f=_2_uaa10456,0.664,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10' * arm_f=_2_uaa10456,-0.747,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10' * arm_f=_2_uaa10456,0.733,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10456,0.829,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10' * arm_f=_2_uaa10456,0.48,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10' * arm_f=_2_uaa10456,0.073,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10456,-0.878,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10'' * arm_f=_2_uaa10456,0.528,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10'' * arm_f=_2_uaa10456,-0.015,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10'' * arm_f=_2_uaa10456,-0.597,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10'' * arm_f=_2_uaa10456,0.727,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10'' * arm_f=_2_uaa10456,-0.741,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10456,-0.735,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10'' * arm_f=_2_uaa10456,-0.427,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10'' * arm_f=_2_uaa10456,-0.075,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10456,0.789,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10456,-0.98,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10 * arm_f=_2_uaa10457,0.703,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10 * arm_f=_2_uaa10457,-0.018,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10 * arm_f=_2_uaa10457,-0.755,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10 * arm_f=_2_uaa10457,0.671,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10 * arm_f=_2_uaa10457,-0.608,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10 * arm_f=_2_uaa10457,-0.571,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10 * arm_f=_2_uaa10457,-0.991,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10 * arm_f=_2_uaa10457,-0.069,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,age10 * arm_f=_2_uaa10457,0.573,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,age10 * arm_f=_2_uaa10457,-0.501,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,age10 * arm_f=_2_uaa10457,0.451,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10' * arm_f=_2_uaa10457,-0.584,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10' * arm_f=_2_uaa10457,0.009,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10' * arm_f=_2_uaa10457,0.657,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10' * arm_f=_2_uaa10457,-0.739,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10' * arm_f=_2_uaa10457,0.725,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10457,0.476,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10' * arm_f=_2_uaa10457,0.831,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10' * arm_f=_2_uaa10457,0.073,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10457,-0.498,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10457,0.552,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,age10' * arm_f=_2_uaa10457,-0.538,hba1c,locf
