nct_id,min_age,max_age,age_unit
NCT00035984,16,75,Years
NCT00039013,16,75,Years
NCT00039026,16,75,Years
NCT00082381,30,75,Years
NCT00082407,30,75,Years
NCT00086502,18,150,Years
NCT00086515,18,78,Years
NCT00087516,18,75,Years
NCT00094757,18,75,Years
NCT00094770,18,78,Years
NCT00097500,30,75,Years
NCT00099320,21,75,Years
NCT00099619,30,150,Years
NCT00099853,18,80,Years
NCT00099866,18,75,Years
NCT00099892,18,78,Years
NCT00099905,18,80,Years
NCT00099918,18,80,Years
NCT00099931,18,80,Years
NCT00099944,18,80,Years
NCT00101673,18,150,Years
NCT00101712,18,150,Years
NCT00101803,18,80,Years
NCT00102388,18,150,Years
NCT00102466,18,78,Years
NCT00103857,18,78,Years
NCT00106340,18,73,Years
NCT00106704,18,75,Years
NCT00110240,18,150,Years
NCT00120536,18,80,Years
NCT00121641,18,77,Years
NCT00121667,18,77,Years
NCT00135330,18,75,Years
NCT00138541,18,80,Years
NCT00138567,18,78,Years
NCT00138606,18,80,Years
NCT00138619,18,80,Years
NCT00237237,18,77,Years
NCT00286429,18,80,Years
NCT00286442,18,80,Years
NCT00286455,18,80,Years
NCT00286468,18,80,Years
NCT00286494,18,80,Years
NCT00289848,18,150,Years
NCT00294723,18,80,Years
NCT00295633,18,77,Years
NCT00300287,19,150,Years
NCT00305604,65,150,Years
NCT00306384,18,80,Years
NCT00308139,16,150,Years
NCT00313001,18,80,Years
NCT00313313,18,77,Years
NCT00316082,18,77,Years
NCT00318422,18,80,Years
NCT00318461,18,80,Years
NCT00324363,21,75,Years
NCT00325117,20,150,Years
NCT00327015,18,77,Years
NCT00328627,18,80,Years
NCT00331851,18,80,Years
NCT00333151,18,80,Years
NCT00337610,18,78,Years
NCT00350779,18,78,Years
NCT00351832,20,150,Years
NCT00351884,18,78,Years
NCT00359762,18,85,Years
NCT00360334,30,150,Years
NCT00363519,20,150,Years
NCT00363948,20,74,Years
NCT00368134,20,150,Years
NCT00372060,20,150,Years
NCT00375492,18,75,Years
NCT00381342,18,150,Years
NCT00382096,18,78,Years
NCT00383578,65,150,Years
NCT00390520,18,150,Years
NCT00393718,20,150,Years
NCT00395343,21,150,Years
NCT00395512,18,80,Years
NCT00395746,20,150,Years
NCT00396227,18,80,Years
NCT00396357,18,78,Years
NCT00397631,18,150,Years
NCT00411411,18,80,Years
NCT00411554,20,150,Years
NCT00425490,18,65,Years
NCT00432276,18,80,Years
NCT00434954,18,90,Years
NCT00449930,18,78,Years
NCT00482729,18,78,Years
NCT00494884,18,85,Years
NCT00509236,30,150,Years
NCT00509262,30,150,Years
NCT00516074,18,75,Years
NCT00518882,18,80,Years
NCT00528372,18,77,Years
NCT00528879,18,77,Years
NCT00541775,18,75,Years
NCT00575588,18,150,Years
NCT00577824,20,75,Years
NCT00601250,18,80,Years
NCT00602472,18,80,Years
NCT00603239,18,150,Years
NCT00614120,18,80,Years
NCT00614939,18,150,Years
NCT00616811,18,85,Years
NCT00620282,40,70,Years
NCT00621140,18,80,Years
NCT00622284,18,80,Years
NCT00637273,18,150,Years
NCT00641043,18,80,Years
NCT00641056,18,150,Years
NCT00643851,18,77,Years
NCT00654381,20,80,Years
NCT00655863,18,70,Years
NCT00660907,18,150,Years
NCT00661362,18,150,Years
NCT00666458,18,150,Years
NCT00667732,30,70,Years
NCT00673231,18,80,Years
NCT00676338,18,150,Years
NCT00680745,18,150,Years
NCT00683878,18,150,Years
NCT00688701,18,150,Years
NCT00690638,18,85,Years
NCT00698932,18,150,Years
NCT00700817,18,80,Years
NCT00701090,18,150,Years
NCT00707031,18,150,Years
NCT00707993,65,90,Years
NCT00712673,18,150,Years
NCT00713830,18,150,Years
NCT00715624,18,150,Years
NCT00717457,18,75,Years
NCT00722371,18,78,Years
NCT00728351,18,78,Years
NCT00740051,18,80,Years
NCT00744367,18,75,Years
NCT00744926,18,80,Years
NCT00751114,35,70,Years
NCT00754988,18,75,Years
NCT00755287,18,75,Years
NCT00757588,18,78,Years
NCT00763451,18,150,Years
NCT00763815,18,150,Years
NCT00765817,18,150,Years
NCT00765830,18,85,Years
NCT00770081,18,85,Years
NCT00790205,50,150,Years
NCT00798161,18,80,Years
NCT00800683,18,80,Years
NCT00813995,18,78,Years
NCT00819091,18,80,Years
NCT00822211,18,78,Years
NCT00823992,18,75,Years
NCT00837577,20,150,Years
NCT00838903,18,150,Years
NCT00838916,18,150,Years
NCT00839527,18,150,Years
NCT00849017,18,150,Years
NCT00849056,18,150,Years
NCT00854035,20,150,Years
NCT00855166,30,75,Years
NCT00856284,18,80,Years
NCT00859898,18,77,Years
NCT00866658,19,150,Years
NCT00870194,18,75,Years
NCT00875394,30,78,Years
NCT00877890,18,150,Years
NCT00885352,18,78,Years
NCT00885378,18,78,Years
NCT00894868,18,85,Years
NCT00909597,18,75,Years
NCT00915772,18,80,Years
NCT00917267,20,150,Years
NCT00918879,18,150,Years
NCT00935532,20,150,Years
NCT00954447,18,150,Years
NCT00957060,18,70,Years
NCT00960076,18,78,Years
NCT00960661,18,150,Years
NCT00968708,18,150,Years
NCT00968812,18,80,Years
NCT00974090,20,75,Years
NCT00975065,18,80,Years
NCT00975286,18,150,Years
NCT00976391,18,75,Years
NCT00976937,18,49,Years
NCT00984867,18,150,Years
NCT00996658,18,79,Years
NCT00998881,20,75,Years
NCT01003184,18,150,Years
NCT01006590,18,150,Years
NCT01006603,65,150,Years
NCT01018173,18,150,Years
NCT01023581,18,80,Years
NCT01026194,20,75,Years
NCT01028391,18,150,Years
NCT01029886,18,150,Years
NCT01031680,45,150,Years
NCT01032629,30,150,Years
NCT01042977,45,150,Years
NCT01046110,18,150,Years
NCT01057628,20,150,Years
NCT01064414,25,150,Years
NCT01064687,18,150,Years
NCT01075282,18,150,Years
NCT01076075,18,78,Years
NCT01076088,18,78,Years
NCT01076842,18,90,Years
NCT01081834,18,80,Years
NCT01084005,70,150,Years
NCT01087502,18,150,Years
NCT01095653,18,150,Years
NCT01095666,18,150,Years
NCT01098539,18,150,Years
NCT01099137,18,90,Years
NCT01100125,18,90,Years
NCT01106625,18,80,Years
NCT01106651,55,80,Years
NCT01106677,18,80,Years
NCT01106690,18,80,Years
NCT01107886,40,150,Years
NCT01117350,35,75,Years
NCT01126580,18,150,Years
NCT01128153,18,150,Years
NCT01128894,18,150,Years
NCT01131676,18,150,Years
NCT01135433,20,150,Years
NCT01137474,18,89,Years
NCT01137812,18,150,Years
NCT01144338,18,130,Years
NCT01147250,30,150,Years
NCT01147627,30,70,Years
NCT01159600,18,150,Years
NCT01164501,18,150,Years
NCT01167881,18,150,Years
NCT01169779,18,150,Years
NCT01177384,18,150,Years
NCT01177813,18,150,Years
NCT01179048,50,150,Years
NCT01183013,18,80,Years
NCT01183104,60,150,Years
NCT01189890,65,85,Years
NCT01191268,18,150,Years
NCT01193296,18,79,Years
NCT01194830,18,80,Years
NCT01195090,20,80,Years
NCT01195662,18,89,Years
NCT01204294,20,150,Years
NCT01210001,18,150,Years
NCT01214239,18,80,Years
NCT01215097,18,80,Years
NCT01217892,18,77,Years
NCT01224366,18,80,Years
NCT01225081,20,150,Years
NCT01233622,18,80,Years
NCT01242215,20,150,Years
NCT01243424,40,85,Years
NCT01257451,70,150,Years
NCT01270789,30,75,Years
NCT01272232,18,150,Years
NCT01289119,18,75,Years
NCT01294423,20,150,Years
NCT01296412,18,79,Years
NCT01306214,18,150,Years
NCT01316094,20,74,Years
NCT01336023,18,150,Years
NCT01341717,25,60,Years
NCT01357252,18,80,Years
NCT01368081,20,150,Years
NCT01370005,18,150,Years
NCT01381900,18,80,Years
NCT01387737,20,150,Years
NCT01388361,18,150,Years
NCT01392573,18,150,Years
NCT01392677,18,150,Years
NCT01392898,18,75,Years
NCT01394341,18,85,Years
NCT01394952,50,150,Years
NCT01406717,20,150,Years
NCT01413204,20,150,Years
NCT01422876,18,150,Years
NCT01438814,18,80,Years
NCT01455857,18,80,Years
NCT01455870,18,80,Years
NCT01455896,40,150,Years
NCT01462266,18,80,Years
NCT01497522,20,150,Years
NCT01505426,20,150,Years
NCT01505673,18,150,Years
NCT01512108,20,150,Years
NCT01517321,20,150,Years
NCT01518101,40,80,Years
NCT01519674,18,150,Years
NCT01521962,20,150,Years
NCT01528254,18,70,Years
NCT01529528,19,75,Years
NCT01529541,19,75,Years
NCT01541215,10,17,Years
NCT01541956,18,150,Years
NCT01547104,45,75,Years
NCT01558271,20,150,Years
NCT01572740,20,150,Years
NCT01582230,18,80,Years
NCT01584232,20,150,Years
NCT01590771,18,79,Years
NCT01590797,18,79,Years
NCT01595789,18,85,Years
NCT01601990,18,75,Years
NCT01602003,18,75,Years
NCT01606007,18,150,Years
NCT01617434,18,80,Years
NCT01619059,18,150,Years
NCT01620489,18,80,Years
NCT01621178,18,150,Years
NCT01624259,18,150,Years
NCT01632007,20,150,Years
NCT01632163,18,150,Years
NCT01644500,18,150,Years
NCT01646320,18,150,Years
NCT01648582,18,150,Years
NCT01649466,18,85,Years
NCT01652716,18,150,Years
NCT01652729,18,150,Years
NCT01654120,18,80,Years
NCT01676116,18,150,Years
NCT01682759,18,150,Years
NCT01697592,20,150,Years
NCT01698775,30,150,Years
NCT01703208,40,150,Years
NCT01703221,20,150,Years
NCT01704261,18,150,Years
NCT01708902,18,80,Years
NCT01717313,18,150,Years
NCT01719003,18,150,Years
NCT01720446,50,150,Years
NCT01730534,40,130,Years
NCT01733758,20,150,Years
NCT01734785,18,150,Years
NCT01744236,35,75,Years
NCT01755156,18,150,Years
NCT01755572,30,70,Years
NCT01757587,18,150,Years
NCT01761318,18,69,Years
NCT01766778,18,150,Years
NCT01768559,18,150,Years
NCT01769378,18,150,Years
NCT01778049,18,150,Years
NCT01787396,20,150,Years
NCT01792518,18,80,Years
NCT01794143,30,150,Years
NCT01798238,18,150,Years
NCT01798706,70,150,Years
NCT01805830,18,150,Years
NCT01809327,18,75,Years
NCT01814748,18,44,Years
NCT01822548,35,150,Years
NCT01841697,18,150,Years
NCT01847144,19,79,Years
NCT01871558,18,150,Years
NCT01882907,18,80,Years
NCT01885208,18,150,Years
NCT01890122,18,75,Years
NCT01897532,18,150,Years
NCT01907854,18,150,Years
NCT01919489,18,80,Years
NCT01930188,18,150,Years
NCT01939496,18,75,Years
NCT01952145,18,150,Years
NCT01958671,18,150,Years
NCT01966978,18,80,Years
NCT01968044,19,75,Years
NCT01973231,18,150,Years
NCT01986855,25,150,Years
NCT01986881,40,150,Years
