ancillary_id,trial_id,drug_regime,mandatory_yn,mandatory_ancillary1,manadatory_and_or,mandatory_ancillary2,mandatory_ancillary3,mandatory_ancillary4,mandatory_ancillary5,mandatory_ancillary6,min_oad_number,optional_yn,optional_ancillary1,optional_and_or,optional_ancillary2,optional_ancillary3,optional_ancillary4,optional_ancillary5,optional_ancillary6,optional_ancillary7,any_oad_exceptions,max_oad_number,notes,mandatory_and_or2,ancillary_notes
ana293,NCT02240680,dual|triple+,y,insulin_basal,NA,NA,NA,NA,NA,NA,NA,y,metformin,and_or,alpha_any,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana312,NCT02512068,mono|dual,n,NA,NA,NA,NA,NA,NA,NA,NA,y,insulin_any,or,alpha_any,repaglinide,mitiglinide,miglitol,NA,NA,NA,NA,all other oads and glp1a not allowed,NA,NA
anc0070,NCT01455896,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_basal,NA,NA,NA,NA,NA,dpp4i| sglt2i,NA,no GLP1a or rapid insulin or dpp4 or sglt2i,NA,NA
anc0202,UMIN000012224,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,metformin,and_or,glimepiride,glinide_any,alpha_any,tzd_any,NA,NA,NA,NA,"optional metformin, glimpeiride, glinides, alpha-glucosidase inhibitors, or thiazolidinediones.",NA,NA
ana157,NCT01117350,dual|triple+,y,metformin,NA,NA,NA,NA,NA,NA,NA,y,sulphonylurea_any,or,glinide_any,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana287,NCT02207374,mono|dual,n,NA,NA,NA,NA,NA,NA,NA,NA,y,sulphonylurea_any,or,glinide_any,alpha_any,tzd_any,NA,NA,NA,NA,NA,NA,NA,NA
ana259,NCT01939496,dual|triple+,y,metformin,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,sglt2i,3,NA,NA,NA
anc0172,NCT01761318,dual|triple+,y,metformin,NA,NA,NA,NA,NA,NA,NA,y,sulphonylurea_any,and_or,insulin_any,NA,NA,NA,NA,NA,NA,NA,"mand metformin, optional su and optional insulin",NA,NA
anc0184,NCT01968044,mono|dual,n,NA,NA,NA,NA,NA,NA,NA,NA,y,sulphonylurea_any,or,insulin_any,NA,NA,NA,NA,NA,NA,NA,"nil mand, insulin or su allowed, all else washed out",NA,NA
ana138,NCT01032629,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,metformin,and_or,insulin_any,sulfonylurea_any,dpp4i_any,glp1ra_any,NA,NA,NA,NA,could be on either insulin or multiple oads or combination,NA,NA
