trial_id,arm_id_unq,arm_id_subgroup,arm_id,ctgov_group_code,arm_label,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,result_group_id,design_group_id,note,n_rand,subgroup_name,subgroup_name2,source
100-IRMI/PRI 16/6/2 (007/2017),updac0091,NA,updac0091,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100-IRMI/PRI 16/6/2 (007/2017),updac0092,NA,updac0092,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-004559-21,ac0001,NA,ac0001,NA,glimepiride,glimepiride,6,mg,od,NA,NA,NA,NA,NA,NA,NA,1556,NA,NA,NA
2004-004559-21,ac0002,NA,ac0002,NA,vildagliptin,vildagliptin,50,mg,bd,NA,NA,NA,NA,NA,NA,NA,1562,NA,NA,NA
2008-008367-95,updac0222,NA,updac0222,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,uptitration to 10microram bd allowed if tolerated,NA,NA,NA,NA
2008-008367-95,updac0223,NA,updac0223,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-001941-42,updac0121,NA,updac0121,NA,liraglutide,liraglutide,1.8,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
2012-001941-42,updac0122,NA,updac0122,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-002348-99,ac0003,NA,ac0003,NA,liraglutide,liraglutide,1.2,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration,31,NA,NA,NA
2013-002348-99,ac0004,NA,ac0004,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA
2014-003923-23,ac0005,NA,ac0005,NA,liraglutide,liraglutide,1.8,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration,53,NA,NA,NA
2014-003923-23,ac0006,NA,ac0006,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA
2016-000172-19,updac0123,NA,updac0123,NA,empagliflozin,empagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-000172-19,updac0124,NA,updac0124,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-000574-38,updac0119,NA,updac0119,NA,exenatide,exenatide,2,mg,weekly,NA,NA,NA,NA,NA,NA,"looks like error in baseline table arms names, all else in paper says exe +dapa vs placebo+ dapa therefore exentide vs placebo comparisons",NA,NA,NA,NA
2016-000574-38,updac0120,NA,updac0120,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"looks like error in baseline table arms names, all else in paper says exe +dapa vs placebo+ dapa therefore exentide vs placebo comparisons",NA,NA,NA,NA
2016-002225-10,updac0087,NA,updac0087,NA,empagliflozin,empagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-002225-10,updac0088,NA,updac0088,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-001,454-33",updac0125,NA,updac0125,NA,exenatide_dapagliflozin,exenatide,2,mg,od,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA
"2017-001,454-33",updac0126,NA,updac0126,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-001779-22,updac0114,NA,updac0114,NA,empagliflozin,empagliflozin,25,mg,od,NA,NA,NA,NA,NA,NA,crossover phase a 4 weeks only,NA,NA,NA,NA
2017-001779-22,updac0115,NA,updac0115,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crossover phase a 4 weeks only,NA,NA,NA,NA
2017-001779-22,updac0116,NA,updac0116,NA,total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crossover phase a 4 weeks only,NA,NA,NA,NA
2017-003370-13,updac0117,NA,updac0117,NA,lixisenatide_insulin_glargine,lixisenatide,10,microgram,od,insulin_glargine,as per bm,units,od,NA,NA,"combo injection starting at 20 steps depending on prev basla insulin doage, uptitrated as needed",NA,NA,NA,NA
