nct_id,old_term,new_term
NCT01632163,arm_f_2_Lixisenatide,arm_f_2_ab0173
NCT01632007,arm_f_2_Alogliptin,arm_f_2_ab0170
NCT01632007,arm_f_2_Trelagliptin,arm_f_2_ab0172
NCT01632163,arm_f=_2_Lixisenatide,arm_f=_2_ab0173
NCT01632007,arm_f=_2_Alogliptin,arm_f=_2_ab0170
NCT01632007,arm_f=_2_Trelagliptin,arm_f=_2_ab0172
NCT00819091,arm_f_2_Linagliptin,arm_f_2_uaa10374
NCT00800683,arm_f_2_Placebo,arm_f_2_uaa10369
NCT00740051,arm_f_2_Linagliptin,arm_f_2_uaa10340
NCT00996658,arm_f_2_Linagliptin,arm_f_2_uaa10476
NCT01084005,arm_f_2_Linagliptin,arm_f_2_uaa10552
NCT01087502,arm_f_2_Linagliptin,arm_f_2_uaa10555
NCT01194830,arm_f_2_Linagliptin,arm_f_2_uaa10671
NCT02182830,arm_f_2_Empagliflozin 10-25mg,arm_f_2_uaa11066
NCT00976937,arm_f_2_Lixisenatide,arm_f_2_uaa10470
NCT00866658,arm_f_2_Lixisenatide 2-step titration,arm_f_2_uaa10411
NCT01169779,arm_f_2_Lixisenatide,arm_f_2_uaa10638
NCT01798706,arm_f_2_Lixisenatide,arm_f_2_uaa10930
NCT00713830,arm_f_2_Lixisenatide,arm_f_2_uaa10326
NCT00715624,arm_f_2_Lixisenatide,arm_f_2_uaa10329
NCT00763815,arm_f_2_Lixisenatide,arm_f_2_uaa10352
NCT00707031,arm_f_2_Lixisenatide QD,arm_f_2_uaa10318
NCT01648582,arm_f_2_Dulaglutide 0.75,arm_f_2_uaa10839
NCT01648582,arm_f_2_Dulaglutide 1.5,arm_f_2_uaa10840
NCT01558271,arm_f_2_Dulaglutide 0.75mg,arm_f_2_uaa10796
NCT01558271,arm_f_2_Liraglutide 0.3/0.6/0.9mg,arm_f_2_uaa10797
NCT02750410,arm_f_2_Dula 0.75mg,arm_f_2_uaa11218
NCT01768559,arm_f_2_Lixisenatide,arm_f_2_uaa10917
NCT00975286,arm_f_2_GLP1 PLUS INSULIN BASAL,arm_f_2_uaa10464
NCT01619059,arm_f_2_SAXA PLUS DAPA PLUS MET,arm_f_2_uaa10820
NCT00819091,arm_f=_2_Linagliptin,arm_f=_2_uaa10374
NCT00800683,arm_f=_2_Placebo,arm_f=_2_uaa10369
NCT00740051,arm_f=_2_Linagliptin,arm_f=_2_uaa10340
NCT00996658,arm_f=_2_Linagliptin,arm_f=_2_uaa10476
NCT01084005,arm_f=_2_Linagliptin,arm_f=_2_uaa10552
NCT01087502,arm_f=_2_Linagliptin,arm_f=_2_uaa10555
NCT01194830,arm_f=_2_Linagliptin,arm_f=_2_uaa10671
NCT02182830,arm_f=_2_Empagliflozin 10-25mg,arm_f=_2_uaa11066
NCT00763451,arm_f_2_Lixisenatide 1-step titration,arm_f_2_uaa10349a
NCT00763451,arm_f_2_Lixisenatide 2-step titration,arm_f_2_uaa10349b
NCT00976937,arm_f=_2_Lixisenatide,arm_f=_2_uaa10470
NCT00866658,arm_f=_2_Lixisenatide 2-step titration,arm_f=_2_uaa10411
NCT01169779,arm_f=_2_Lixisenatide,arm_f=_2_uaa10638
NCT01798706,arm_f=_2_Lixisenatide,arm_f=_2_uaa10930
NCT00712673,arm_f_2_Lixisenatide evening,arm_f_2_uaa10323b
NCT00712673,arm_f_2_Lixisenatide morning,arm_f_2_uaa10323a
NCT00713830,arm_f=_2_Lixisenatide,arm_f=_2_uaa10326
NCT00715624,arm_f=_2_Lixisenatide,arm_f=_2_uaa10329
NCT00763815,arm_f=_2_Lixisenatide,arm_f=_2_uaa10352
NCT00688701,arm_f_2_Lixisenatide 1-step titration,arm_f_2_uaa10304a
NCT00688701,arm_f_2_Lixisenatide 2-step titration,arm_f_2_uaa10304b
NCT00707031,arm_f=_2_Lixisenatide QD,arm_f=_2_uaa10318
NCT01648582,arm_f=_2_Dulaglutide 0.75,arm_f=_2_uaa10839
NCT01648582,arm_f=_2_Dulaglutide 1.5,arm_f=_2_uaa10840
NCT01558271,arm_f=_2_Dulaglutide 0.75mg,arm_f=_2_uaa10796
NCT01558271,arm_f=_2_Liraglutide 0.3/0.6/0.9mg,arm_f=_2_uaa10797
NCT02750410,arm_f=_2_Dula 0.75mg,arm_f=_2_uaa11218
NCT01768559,arm_f=_2_Lixisenatide,arm_f=_2_uaa10917
NCT00975286,arm_f=_2_GLP1 PLUS INSULIN BASAL,arm_f=_2_uaa10464
NCT01619059,arm_f=_2_SAXA PLUS DAPA PLUS MET,arm_f=_2_uaa10820
NCT00763451,arm_f=_2_Lixisenatide 1-step titration,arm_f=_2_uaa10349a
NCT00763451,arm_f=_2_Lixisenatide 2-step titration,arm_f=_2_uaa10349b
NCT01632163,sex:arm_f_2_Lixisenatide,sex:arm_f_2_ab0173
NCT01632163,arm_f_2_Lixisenatide:sex,arm_f_2_ab0173:sex
NCT00712673,arm_f=_2_Lixisenatide evening,arm_f=_2_uaa10323b
NCT00712673,arm_f=_2_Lixisenatide morning,arm_f=_2_uaa10323a
NCT00688701,arm_f=_2_Lixisenatide 1-step titration,arm_f=_2_uaa10304a
NCT00688701,arm_f=_2_Lixisenatide 2-step titration,arm_f=_2_uaa10304b
NCT01632007,sex:arm_f_2_Alogliptin,sex:arm_f_2_ab0170
