unique_id,comp_id,trial_id,comparison_label,arm_id,arm_label,treat_or_ref
1,updcompb0001,2016-000574-38,exenatide_placebo,updac0119,exenatide,treatment
2,updcompb0001,2016-000574-38,exenatide_placebo,updac0120,placebo,reference
3,updcompb0002,ACTRN12616001059459,lixisenatide_placebo,updac0093,lixisenatide,treatment
4,updcompb0002,ACTRN12616001059459,lixisenatide_placebo,updac0094,placebo,reference
5,updcompb0003,CTRI/2017/07/009121,remogliflozin_100_dapagliflozin,updac0111,remogliflozin,treatment
6,updcompb0003,CTRI/2017/07/009121,remogliflozin_100_dapagliflozin,updac0113,dapagliflozin,reference
7,updcompb0004,CTRI/2017/07/009121,remogliflozin_250_dapagliflozin,updac0112,remogliflozin,treatment
8,updcompb0004,CTRI/2017/07/009121,remogliflozin_250_dapagliflozin,updac0113,dapagliflozin,reference
9,updcompb0005,IRCT20190412043247N2,empagliflozin_placebo,updac0132,empagliflozin,treatment
10,updcompb0005,IRCT20190412043247N2,empagliflozin_placebo,updac0133,placebo,reference
11,updcompb0006,JapicCTI-111507,luseogliflozin_placebo,updac0138,luseogliflozin,treatment
12,updcompb0006,JapicCTI-111507,luseogliflozin_placebo,updac0139,placebo,reference
13,updcompb0007,UMIN000028293,anagliptin_metformin,updac0202,anagliptin,treatment
14,updcompb0007,UMIN000028293,anagliptin_metformin,updac0203,metformin,reference
15,updcompb0008,UMIN000028014,dapagliflozin_placebo,updac0200,dapagliflozin,treatment
16,updcompb0008,UMIN000028014,dapagliflozin_placebo,updac0201,sitagliptin,reference
17,updcompb0009,UMIN000027095,ipragliflozin_placebo,updac0089,ipragliflozin,treatment
18,updcompb0009,UMIN000027095,ipragliflozin_placebo,updac0090,placebo,reference
19,updcompb0010,UMIN000024502,empagliflozin_placebo,updac0188,empagliflozin,treatment
20,updcompb0010,UMIN000024502,empagliflozin_placebo,updac0189,placebo,reference
21,updcompb0011,UMIN000024284,omarigliptin_linagliptin,updac0183,omarigliptin,treatment
22,updcompb0011,UMIN000024284,omarigliptin_linagliptin,updac0184,linagliptin,reference
23,updcompb0012,UMIN000020239,dapagliflozin_placebo,updac0174,dapagliflozin,treatment
24,updcompb0012,UMIN000020239,dapagliflozin_placebo,updac0175,placebo,reference
25,updcompb0013,KCT0005169,teneligliptin_placebo,updac0220,teneligliptin,treatment
26,updcompb0013,KCT0005169,teneligliptin_placebo,updac0221,placebo,reference
27,updcompb0014,UMIN000016563,ipragliflozin_placebo,updac0166,ipragliflozin,treatment
28,updcompb0014,UMIN000016563,ipragliflozin_placebo,updac0167,placebo,reference
29,updcompb0015,Netherlands Trial Register NTR6709,dapagliflozin_placebo,updac0150,dapagliflozin,treatment
30,updcompb0015,Netherlands Trial Register NTR6709,dapagliflozin_placebo,updac0151,placebo,reference
31,updcompb0016,Netherlands Trial Register (NTR 4439),dapagliflozin_placebo,updac0148,dapagliflozin,treatment
32,updcompb0016,Netherlands Trial Register (NTR 4439),dapagliflozin_placebo,updac0149,placebo,reference
33,updcompb0017,NCT02106104,linagliptin_glimepiride,updab0003,glimepiride,reference
34,updcompb0017,NCT02106104,linagliptin_glimepiride,updab0004,linagliptin,treatment
35,updcompb0018,NCT02433678,dapagliflozin_placebo,unq_updaa10018,dapagliflozin,treatment
36,updcompb0018,NCT02433678,dapagliflozin_placebo,unq_updaa10019,placebo,reference
37,updcompb0019,NCT02655770,liraglutide_placebo,updab0024,liraglutide,treatment
38,updcompb0019,NCT02655770,liraglutide_placebo,updab0025,placebo,reference
39,updcompb0020,NCT02690883,exenatide_insulin_lispro,updab0026,insulin_lispro,reference
40,updcompb0020,NCT02690883,exenatide_insulin_lispro,updab0027,exenatide,treatment
41,updcompb0021,NCT02751398,dapagliflozin_placebo,updab0028,dapagliflozin,treatment
42,updcompb0021,NCT02751398,dapagliflozin_placebo,updab0029,placebo,reference
43,updcompb0022,NCT02798744,empagliflozin_placebo,updab0033,empagliflozin,treatment
44,updcompb0022,NCT02798744,empagliflozin_placebo,updab0035,placebo,reference
45,updcompb0023,NCT02889510,liraglutide_placebo,unq_updaa10036,liraglutide,treatment
46,updcompb0023,NCT02889510,liraglutide_placebo,unq_updaa10037,placebo,reference
47,updcompb0024,NCT02914691,dapagliflozin_placebo,updab0042,dapagliflozin,treatment
48,updcompb0024,NCT02914691,dapagliflozin_placebo,updab0043,placebo,reference
49,updcompb0025,NCT02932436,empagliflozin_placebo,updac0062,empagliflozin,treatment
50,updcompb0025,NCT02932436,empagliflozin_placebo,updac0063,placebo,reference
51,updcompb0026,NCT02973477,dapagliflozin_glimepiride,unq_updaa10042,dapagliflozin,treatment
52,updcompb0026,NCT02973477,dapagliflozin_glimepiride,unq_updaa10043,glimepiride,reference
53,updcompb0027,NCT02998970,empagliflozin_placebo,updab0044,empagliflozin,treatment
54,updcompb0027,NCT02998970,empagliflozin_placebo,updab0045,placebo,reference
55,updcompb0028,NCT03159052,henagliflozin_10_placebo,updab0050,henagliflozin,treatment
56,updcompb0028,NCT03159052,henagliflozin_10_placebo,updab0052,placebo,reference
57,updcompb0029,NCT03159052,henagliflozin_5_placebo,updab0051,henagliflozin,treatment
58,updcompb0029,NCT03159052,henagliflozin_5_placebo,updab0052,placebo,reference
59,updcompb0030,NCT03315143,sotagliflozin_placebo,unq_updaa10052,placebo,reference
60,updcompb0030,NCT03315143,sotagliflozin_placebo,unq_updaa10053,sotagliflozin,treatment
61,updcompb0031,NCT03338855,dapagliflozin_placebo,unq_updaa10055,dapagliflozin,treatment
62,updcompb0031,NCT03338855,dapagliflozin_placebo,unq_updaa10057,placebo,reference
63,updcompb0032,NCT03387683,dapagliflozin_placebo,unq_updaa10064,dapagliflozin,treatment
64,updcompb0032,NCT03387683,dapagliflozin_placebo,unq_updaa10065,placebo,reference
65,updcompb0033,NCT03436693,canagliflozin_placebo,updab0059,canagliflozin,treatment
66,updcompb0033,NCT03436693,canagliflozin_placebo,updab0060,placebo,reference
67,updcompb0034,NCT03449654,liraglutide_placebo,updab0061,liraglutide,treatment
68,updcompb0034,NCT03449654,liraglutide_placebo,updab0062,placebo,reference
69,updcompb0035,NCT03458715,empagliflozin_linagliptin,updab0063,linagliptin,reference
70,updcompb0035,NCT03458715,empagliflozin_linagliptin,updab0064,empagliflozin,treatment
71,updcompb0036,NCT03508323,teneligliptin_placebo,updab0065,teneligliptin,treatment
72,updcompb0036,NCT03508323,teneligliptin_placebo,updab0066,placebo,reference
73,updcompb0037,NCT03590626,dulaglutide_placebo,updab0067,dulaglutide,treatment
74,updcompb0037,NCT03590626,dulaglutide_placebo,updab0068,placebo,reference
75,updcompb0038,NCT03794336,alogliptin_acarbose,updab0069,acarbose,reference
76,updcompb0038,NCT03794336,alogliptin_acarbose,updab0070,alogliptin,treatment
77,updcompb0039,NCT03798054,lixisenatide_placebo,updab0071,insulin_glargine,reference
78,updcompb0039,NCT03798054,lixisenatide_placebo,updab0073,lixisenatide_insulin_glargine,treatment
79,updcompb0040,NCT03798080,lixisenatide_placebo,updab0074,insulin_glargine,reference
80,updcompb0040,NCT03798080,lixisenatide_placebo,updab0075,lixisenatide_insulin_glargine,treatment
81,updcompb0041,NCT04233801,empagliflozin_10_placebo,updac0035,empagliflozin,treatment
82,updcompb0041,NCT04233801,empagliflozin_10_placebo,updac0037,placebo,reference
