unique_id,comp_id,trial_id,comparison_label,arm_id,arm_label,treat_or_ref
0001,updcompb0001,2016-000574-38,exenatide_placebo,updac0119,exenatide,treatment
0002,updcompb0001,2016-000574-38,exenatide_placebo,updac0120,placebo,reference
0003,updcompb0002,ACTRN12616001059459,lixisenatide_placebo,updac0093,lixisenatide,treatment
0004,updcompb0002,ACTRN12616001059459,lixisenatide_placebo,updac0094,placebo,reference
0005,updcompb0003,CTRI/2017/07/009121,remogliflozin_100_dapagliflozin,updac0111,remogliflozin,treatment
0006,updcompb0003,CTRI/2017/07/009121,remogliflozin_100_dapagliflozin,updac0113,dapagliflozin,reference
0007,updcompb0004,CTRI/2017/07/009121,remogliflozin_250_dapagliflozin,updac0112,remogliflozin,treatment
0008,updcompb0004,CTRI/2017/07/009121,remogliflozin_250_dapagliflozin,updac0113,dapagliflozin,reference
0009,updcompb0005,IRCT20190412043247N2,empagliflozin_placebo,updac0132,empagliflozin,treatment
0010,updcompb0005,IRCT20190412043247N2,empagliflozin_placebo,updac0133,placebo,reference
0011,updcompb0006,JapicCTI-111507,luseogliflozin_placebo,updac0138,luseogliflozin,treatment
0012,updcompb0006,JapicCTI-111507,luseogliflozin_placebo,updac0139,placebo,reference
0013,updcompb0007,UMIN000028293,anagliptin_metformin,updac0202,anagliptin,treatment
0014,updcompb0007,UMIN000028293,anagliptin_metformin,updac0203,metformin,reference
0015,updcompb0008,UMIN000028014,dapagliflozin_placebo,updac0200,dapagliflozin,treatment
0016,updcompb0008,UMIN000028014,dapagliflozin_placebo,updac0201,sitagliptin,reference
0017,updcompb0009,UMIN000027095,ipragliflozin_placebo,updac0089,ipragliflozin,treatment
0018,updcompb0009,UMIN000027095,ipragliflozin_placebo,updac0090,placebo,reference
0019,updcompb0010,UMIN000024502,empagliflozin_placebo,updac0188,empagliflozin,treatment
0020,updcompb0010,UMIN000024502,empagliflozin_placebo,updac0189,placebo,reference
0021,updcompb0011,UMIN000024284,omarigliptin_linagliptin,updac0183,omarigliptin,treatment
0022,updcompb0011,UMIN000024284,omarigliptin_linagliptin,updac0184,linagliptin,reference
0023,updcompb0012,UMIN000020239,dapagliflozin_placebo,updac0174,dapagliflozin,treatment
0024,updcompb0012,UMIN000020239,dapagliflozin_placebo,updac0175,placebo,reference
0025,updcompb0013,KCT0005169,teneligliptin_placebo,updac0220,teneligliptin,treatment
0026,updcompb0013,KCT0005169,teneligliptin_placebo,updac0221,placebo,reference
0027,updcompb0014,UMIN000016563,ipragliflozin_placebo,updac0166,ipragliflozin,treatment
0028,updcompb0014,UMIN000016563,ipragliflozin_placebo,updac0167,placebo,reference
0029,updcompb0015,Netherlands Trial Register NTR6709,dapagliflozin_placebo,updac0150,dapagliflozin,treatment
0030,updcompb0015,Netherlands Trial Register NTR6709,dapagliflozin_placebo,updac0151,placebo,reference
0031,updcompb0016,Netherlands Trial Register (NTR 4439),dapagliflozin_placebo,updac0148,dapagliflozin,treatment
0032,updcompb0016,Netherlands Trial Register (NTR 4439),dapagliflozin_placebo,updac0149,placebo,reference
0033,updcompb0017,NCT02106104,linagliptin_glimepiride,updab0003,glimepiride,reference
0034,updcompb0017,NCT02106104,linagliptin_glimepiride,updab0004,linagliptin,treatment
0035,updcompb0018,NCT02433678,dapagliflozin_placebo,unq_updaa10018,dapagliflozin,treatment
0036,updcompb0018,NCT02433678,dapagliflozin_placebo,unq_updaa10019,placebo,reference
0037,updcompb0019,NCT02655770,liraglutide_placebo,updab0024,liraglutide,treatment
0038,updcompb0019,NCT02655770,liraglutide_placebo,updab0025,placebo,reference
0039,updcompb0020,NCT02690883,exenatide_insulin_lispro,updab0026,insulin_lispro,reference
0040,updcompb0020,NCT02690883,exenatide_insulin_lispro,updab0027,exenatide,treatment
0041,updcompb0021,NCT02751398,dapagliflozin_placebo,updab0028,dapagliflozin,treatment
0042,updcompb0021,NCT02751398,dapagliflozin_placebo,updab0029,placebo,reference
0043,updcompb0022,NCT02798744,empagliflozin_placebo,updab0033,empagliflozin,treatment
0044,updcompb0022,NCT02798744,empagliflozin_placebo,updab0035,placebo,reference
0045,updcompb0023,NCT02889510,liraglutide_placebo,unq_updaa10036,liraglutide,treatment
0046,updcompb0023,NCT02889510,liraglutide_placebo,unq_updaa10037,placebo,reference
