result_id,trial_id,analysis_population,arm_id_unq,comp_id,outcome_harm_label,result_description,result_type,ancova,result,dispersion_type,dispersion,units_label,timepoint,timepoint_units,source,arm_id_subgroup
resb0232,NCT00390520,completers,ac0093,NA,hba1c,change from baseline,mean change,n,-0.2,sd,0.1,percentage,4,weeks,manual,NA
resb0233,NCT00390520,completers,ac0092,NA,hba1c,change from baseline,mean change,n,0.1,sd,0.1,percentage,4,weeks,manual,NA
resb0065,NCT00101673,primary itt,ac0048,NA,hba1c,change from baseline,adjusted mean change,y,-1.13,se,NA,percentage,12,weeks,manual,NA
resb0066,NCT00101673,primary itt,ac0049,NA,hba1c,change from baseline,adjusted mean change,y,-1.56,se,NA,percentage,12,weeks,manual,NA
resb0170,NCT00325117,fas,ac0079,NA,hba1c,change from baseline,adjusted mean change,y,-1,se,0.06,percentage,12,weeks,manual,NA
resb0171,NCT00325117,fas,ac0078,NA,hba1c,change from baseline,adjusted mean change,y,-0.06,se,0.06,percentage,12,weeks,manual,NA
resb0202,NCT00363519,fas,ab0039,NA,hba1c,change from baseline,LS mean change,y,-0.5,95%ci,"-0.7,-0.3",percentage,12,weeks,manual,NA
resb0203,NCT00363519,fas,ab0038,NA,hba1c,change from baseline,LS mean change,y,0.3,95%ci,"0.1,0.5",percentage,12,weeks,manual,NA
resb0205,NCT00363948,fas,ab0041,NA,hba1c,change from baseline,LS mean change,y,-0.4,95%ci,"-0.6,-0.2",percentage,12,weeks,manual,NA
resb0206,NCT00363948,fas,ab0040,NA,hba1c,change from baseline,LS mean change,y,0.3,95%ci,"0.1,0.5",percentage,12,weeks,manual,NA
resb0210,NCT00368134,fas,ac0090,NA,hba1c,change from baseline,adjusted mean change,y,-0.95,se,0.04,percentage,12,weeks,manual,NA
resb0211,NCT00368134,fas,ac0091,NA,hba1c,change from baseline,adjusted mean change,y,-0.38,se,0.04,percentage,12,weeks,manual,NA
resb0234,NCT00396227,itt,ab0052,NA,hba1c,change from baseline,adjusted mean change,y,-0.68,se,0.02,percentage,12,weeks,manual,NA
resb0235,NCT00396227,itt,ab0051,NA,hba1c,change from baseline,adjusted mean change,y,-0.57,se,0.03,percentage,12,weeks,manual,NA
resb0426,NCT01497522,fas,ab0145,NA,hba1c,change from baseline,adjusted mean change,y,-1.1,se,0.06,percentage,12,weeks,manual,NA
resb0427,NCT01497522,fas,ab0144,NA,hba1c,change from baseline,adjusted mean change,y,-0.1,se,0.06,percentage,12,weeks,manual,NA
resb0437,NCT01517321,fas,ab0149,NA,hba1c,change from baseline,LS mean change,n,-0.7,95%ci,"-0.9,-0.5",percentage,12,weeks,manual,NA
resb0438,NCT01517321,fas,ab0148,NA,hba1c,change from baseline,LS mean change,n,0.4,95%ci,"0.1,0.6",percentage,12,weeks,manual,NA
resb0442,NCT01518101,fas,ab0150,NA,hba1c,change from baseline,mean change,n,-0.5,sd,0.61,percentage,12,weeks,manual,NA
resb0443,NCT01518101,fas,ab0151,NA,hba1c,change from baseline,mean change,n,-0.3,sd,0.65,percentage,12,weeks,manual,NA
resb0448,NCT01521962,fas,ab0152,NA,hba1c,change from baseline,LS mean change,y,-0.96,NA,NA,percentage,12,weeks,manual,NA
resb0449,NCT01521962,fas,ab0153,NA,hba1c,change from baseline,LS mean change,y,-0.29,NA,NA,percentage,12,weeks,manual,NA
resb0459,NCT01547104,fas,ab0162,NA,hba1c,change from baseline,mean change,n,-6,sd,6,mmol/mol,12,weeks,manual,NA
resb0460,NCT01547104,fas,ab0161,NA,hba1c,change from baseline,mean change,n,-8.2,sd,5.1,mmol/mol,12,weeks,manual,NA
resb0521,NCT01968044,fas,ab0201,NA,hba1c,change from baseline,adjusted mean change,y,-0.82,se,0.4,percentage,12,weeks,manual,NA
resb0522,NCT01968044,fas,ab0202,NA,hba1c,change from baseline,adjusted mean change,y,0.38,se,0.14,percentage,12,weeks,manual,NA
