result_id,trial_id,analysis_population,arm_id_unq,comp_id,outcome_harm_label,result_description,result_type,ancova,result,dispersion_type,dispersion,units_label,timepoint,timepoint_units,source,arm_id_subgroup
updresb00303,100-IRMI/PRI 16/6/2 (007/2017),NA,updac0092,NA,hba1c,change from baseline,mean change,n,-0.16,sd,1.26,percentage,12,weeks,manual_extraction,NA
updresb00686,100-IRMI/PRI 16/6/2 (007/2017),NA,updac0091,NA,hba1c,change from baseline,mean change,NA,-0.83,sd,1.47,percentage,12,weeks,manual_extraction,NA
updresb00556,2008-008367-95,itt,updac0222,NA,hba1c,baseline,mean,n,63.5,sd,12.5,mmol/mol,0,weeks,manual_extraction,NA
updresb00557,2008-008367-95,itt,updac0222,NA,hba1c,endpoint,mean,n,60.7,sd,14.2,mmol/mol,12,weeks,manual_extraction,NA
updresb00558,2008-008367-95,itt,updac0222,NA,hba1c,change from baseline,mean change,n,-2.8,not reported,NA,mmol/mol,12,weeks,manual_extraction,NA
updresb00559,2008-008367-95,itt,updac0223,NA,hba1c,baseline,mean,n,60.2,sd,9.3,mmol/mol,0,weeks,manual_extraction,NA
updresb00560,2008-008367-95,itt,updac0223,NA,hba1c,endpoint,mean,n,59.9,sd,14,mmol/mol,12,weeks,manual_extraction,NA
updresb00561,2008-008367-95,itt,updac0223,NA,hba1c,change from baseline,mean change,n,-0.3,not reported,NA,mmol/mol,12,weeks,manual_extraction,NA
updresb00336,2012-001941-42,itt,updac0121,NA,hba1c,baseline,mean,n,8.98,sd,0.99,percentage,0,weeks,manual_extraction,NA
updresb00337,2012-001941-42,itt,updac0121,NA,hba1c,endpoint,mean,n,8.89,sd,1,percentage,24,weeks,manual_extraction,NA
updresb00338,2012-001941-42,itt,updac0122,NA,hba1c,baseline,mean,n,8.96,sd,1.1,percentage,0,weeks,manual_extraction,NA
updresb00339,2012-001941-42,itt,updac0122,NA,hba1c,endpoint,mean,n,8.97,sd,1.11,percentage,24,weeks,manual_extraction,NA
updresb00654,2016-000172-19,NA,updac0123,NA,hba1c,baseline,mean,n,7.5,sd,0.9,percentage,0,months,manual_extraction,NA
updresb00655,2016-000172-19,NA,updac0123,NA,hba1c,endpoint,mean,n,7.1,sd,0.7,percentage,3,months,manual_extraction,NA
updresb00656,2016-000172-19,NA,updac0124,NA,hba1c,baseline,mean,n,7.9,sd,1.3,percentage,0,months,manual_extraction,NA
updresb00657,2016-000172-19,NA,updac0124,NA,hba1c,endpoint,mean,n,7.8,sd,1.5,percentage,3,months,manual_extraction,NA
updresb00329,2016-000574-38,itt,updac0119,NA,hba1c,change from baseline,mean change,n,-1.63,95%ci,"-2.27,-0.98",percentage,24,weeks,manual_extraction,NA
updresb00330,2016-000574-38,itt,updac0120,NA,hba1c,change from baseline,mean change,n,-0.63,95%ci,"-0.96,-0.3",percentage,24,weeks,manual_extraction,NA
updresb00333,2016-000574-38,itt,NA,updcompb0001,hba1c,between treatment difference in adjusted mean change,adjusted mean difference,y,-0.55,95%ci,"-0.88,-0.2",percentage,24,weeks,manual_extraction,NA
updresb00634,2016-002225-10,NA,updac0087,NA,hba1c,change from baseline,mean change,n,-4.6,95%ci,"-7.4,-1.8",mmol/mol,6,months,manual_extraction,NA
updresb00635,2016-002225-10,NA,updac0088,NA,hba1c,change from baseline,mean change,n,-4.9,95%ci,"-8.8,-0.9",mmol/mol,6,months,manual_extraction,NA
updresb00665,"2017-001,454-33",per protocol,updac0125,NA,hba1c,change from baseline,mean change,n,-1.6,95%ci,"-2,-1.3",percentage,24,weeks,manual_extraction,NA
updresb00666,"2017-001,454-33",per protocol,updac0126,NA,hba1c,change from baseline,mean change,n,-1.5,95%ci,"-1.9,-1",percentage,24,weeks,manual_extraction,NA
updresb00667,"2017-001,454-33",per protocol,NA,updcompb0047,hba1c,between treatment difference in mean change,mean difference,n,-0.1,95%ci,"-0.7,0.4",percentage,24,weeks,manual_extraction,NA
updresb00304,ACTRN12616001059459,per protocol,updac0093,NA,hba1c,change from baseline,mean change,y,-0.58,sd,0.25,percentage,56,days,manual_extraction,NA
updresb00306,ACTRN12616001059459,per protocol,NA,updcompb0002,hba1c,between treatment difference in adjusted mean change,adjsuted mean difference,y,-0.48,95%ci,"-0.7,-0.26",percentage,56,days,manual_extraction,NA
updresb00308,ACTRN12616001059459,per protocol,updac0094,NA,hba1c,change from baseline,mean change,y,-0.13,sd,0.29,percentage,56,days,manual_extraction,NA
updresb00313,ChiCTR1800015296,NA,updac0096,NA,hba1c,change from baseline,mean change,n,-0.82,sd,0.73,percentage,12,weeks,manual_extraction,NA
updresb00624,ChiCTR-1800015658,fas,updac0078,NA,hba1c,change from baseline,mean change,n,-1.31,sd,1.42,percentage,52,weeks,manual_extraction,NA
updresb00625,ChiCTR-1800015658,fas,updac0079,NA,hba1c,change from baseline,mean change,n,-1.09,sd,1.42,percentage,52,weeks,manual_extraction,NA
updresb00292,ChiCTR2000035091,NA,updac0080,NA,hba1c,change from baseline,adjusted mean change,y,-0.7,sd,1.1,percentage,26,weeks,manual_extraction,NA
updresb00293,ChiCTR2000035091,NA,updac0081,NA,hba1c,change from baseline,adjusted mean change,y,-0.5,sd,1,percentage,26,weeks,manual_extraction,NA
updresb00294,ChiCTR2000035091,NA,updac0082,NA,hba1c,change from baseline,adjusted mean change,y,-0.1,sd,0.6,percentage,26,weeks,manual_extraction,NA
updresb00295,ChiCTR2000037951,NA,updac0083,NA,hba1c,change from baseline,mean change,n,-1.4,95%ci,"-2.28,-1.05",percentage,24,weeks,manual_extraction,NA
updresb00296,ChiCTR2000037951,NA,updac0084,NA,hba1c,change from baseline,mean change,n,-1.81,sd,0.89,percentage,24,weeks,manual_extraction,NA
updresb00636,ChiCTR2100054678,NA,updac0103,NA,hba1c,change from baseline,adjusted mean change,y,-0.5,se,0.09,percentage,12,weeks,manual_extraction,NA
updresb00637,ChiCTR2100054678,NA,updac0104,NA,hba1c,change from baseline,adjusted mean change,y,0.1,se,0.09,percentage,12,weeks,manual_extraction,NA
updresb00638,ChiCTR2100054678,NA,NA,updcompb0046,hba1c,between treatment difference in adjusted mean change,adjusted mean difference,y,-0.6,95%ci,"-0.83,-0.42",percentage,12,weeks,manual_extraction,NA
updresb00646,ChiCTR-IPR-14005568,NA,updac0105,NA,hba1c,baseline,mean,n,8.43,sd,1.06,percentage,0,weeks,manual_extraction,NA
updresb00647,ChiCTR-IPR-14005568,NA,updac0105,NA,hba1c,endpoint,mean,n,7.05,sd,1.04,percentage,24,weeks,manual_extraction,NA
updresb00648,ChiCTR-IPR-14005568,NA,updac0106,NA,hba1c,baseline,mean,n,8.41,sd,0.91,percentage,0,weeks,manual_extraction,NA
updresb00649,ChiCTR-IPR-14005568,NA,updac0106,NA,hba1c,endpoint,mean,n,7.42,sd,0.83,percentage,24,weeks,manual_extraction,NA
updresb00630,ChiCTR-IPR-17010825,itt,updac0085,NA,hba1c,change from baseline,mean change,n,-2.574,sd,2.02,percentage,24,weeks,manual_extraction,NA
updresb00631,ChiCTR-IPR-17010825,itt,updac0086,NA,hba1c,change from baseline,mean change,n,-1.562,sd,1.513,percentage,24,weeks,manual_extraction,NA
updresb00650,CTR20131268,NA,updac0107,NA,hba1c,change from baseline,median change,n,-1.3,not reported,NA,percentage,24,weeks,manual_extraction,NA
updresb00651,CTR20131268,NA,updac0108,NA,hba1c,change from baseline,median change,n,-0.41,not reported,NA,percentage,24,weeks,manual_extraction,NA
updresb00314,CTRI/2017/02/007766,NA,updac0109,NA,hba1c,baseline,mean,n,7.8,sd,1.22,percentage,0,weeks,manual_extraction,NA
updresb00315,CTRI/2017/02/007766,NA,updac0109,NA,hba1c,endpoint,mean,n,6.63,sd,0.68,percentage,24,weeks,manual_extraction,NA
updresb00316,CTRI/2017/02/007766,NA,updac0110,NA,hba1c,baseline,mean,n,7.63,sd,1.12,percentage,0,weeks,manual_extraction,NA
