result_id,trial_id,trial_name,data_source,analysis_population,arm_id_unq,comparison_id,arm_description,comparison_label,outcome,outcome_definition,result_description,result_type,result,dispersion_type,dispersion,median_follow_up,max_follow_up,timepoint_unit,notes
upd_mace0001,NCT03315143,SCORED,ctg,itt,NA,updcompb0030,NA,sotagliflozin_placebo,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.77,95%ci,0.65;0.91,NA,30,months,NA
upd_mace0002,NCT03315143,SCORED,ctg,itt,unq_updaa10053,NA,sotagliflozin,NA,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,4.8,NA,NA,16,30,months,NA
upd_mace0003,NCT03315143,SCORED,ctg,itt,unq_updaa10052,NA,placebo,NA,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,6.3,NA,NA,15.9,30,months,NA
upd_mace0004,NCT03496298,AMPLITUDE-O,ctg,itt,NA,updcompb0048,NA,efpeglenatide_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.732,95%ci,0.583;0.918,NA,31.5,months,NA
upd_mace0005,NCT03496298,AMPLITUDE-O,ctg,itt,unq_updaa10067,NA,efpeglenatide,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,3.9,95%ci,3.4;4.5,19.8,31.5,months,NA
upd_mace0006,NCT03496298,AMPLITUDE-O,ctg,itt,unq_updaa10070,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,5.3,95%ci,4.4;6.3,19.9,31.5,months,NA
upd_mace0007,NCT03521934,SOLOIST-WHF,ctg,itt,NA,updcompb0049,NA,sotagliflozin_placebo,MACE occurrence,"CV mortality, hospitalisation for heart failure, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.72,95%ci,0.56;0.92,NA,21.9,months,NA
upd_mace0008,NCT03521934,SOLOIST-WHF,ctg,itt,unq_updaa10073,NA,sotagliflozin,NA,MACE occurrence,"CV mortality, hospitalisation for heart failure, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,51.4,NA,NA,21.2,21.9,months,NA
upd_mace0009,NCT03521934,SOLOIST-WHF,ctg,itt,unq_updaa10072,NA,placebo,NA,MACE occurrence,"CV mortality, hospitalisation for heart failure, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,72,NA,NA,21.6,21.9,months,NA
upd_mace0010,UMIN000018395,MUSCAT-HF,published paper,safety,updac0170,NA,luseogliflozin,NA,MACE occurrence,"CV mortality, acute coronary syndrome, hospitalization for heart failure, and stroke",events,count,0,NA,NA,12,12,weeks,NA
upd_mace0011,UMIN000018395,MUSCAT-HF,published paper,safety,updac0171,NA,voglibose,NA,MACE occurrence,NA,events,count,0,NA,NA,12,12,weeks,NA
