nct_id,arm_id_unq,arm_label,outcome,subgroup,level_cat,level_min,level_max,n,events,2_yr_km,4_yr_km,rate_per_1000_pt_yr,hr,hr_lci,hr_uci,p_interaction,
NCT01107886,uaa10586,placebo,MACE,main,,,,8212,609,7.2,,,,,,,
NCT01107886,uaa10587,saxagliptin,MACE,main,,,,8280,613,7.3,,,1,0.89,1.12,,
NCT01107886,total,total,MACE,main,,,,,,,,,,,,,
NCT01107886,uaa10586,placebo,MACE,age,,min,74,,,6.6,,,,,,,
NCT01107886,uaa10587,saxagliptin,MACE,age,,min,74,,,6.9,,,1.01,0.89,1.15,,
NCT01107886,total,total,MACE,age,,min,74,14162,,,,,,,,,
NCT01107886,uaa10586,placebo,MACE,age,,75,max,,,11.3,,,,,,,
NCT01107886,uaa10587,saxagliptin,MACE,age,,75,max,,,10.3,,,0.63,0.75,1.22,0.67,
NCT01107886,total,total,MACE,age,,75,max,2330,,,,,,,,,
NCT01107886,uaa10586,placebo,MACE,sex,male,,,,,7.8,,,,,,,
NCT01107886,uaa10587,saxagliptin,MACE,sex,male,,,,,8.1,,,1.01,0.89,1.16,,
NCT01107886,total,total,MACE,sex,male,,,11037,,,,,,,,,
NCT01107886,uaa10586,placebo,MACE,sex,female,,,,,6,,,,,,,
NCT01107886,uaa10587,saxagliptin,MACE,sex,female,,,,,5.7,,,0.97,0.78,1.2,0.73,
NCT01107886,total,total,MACE,sex,female,,,5455,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,MACE,main,,,,8582,756,,,22.6,0.93,0.84,1.03,,
NCT01730534,uaa10897,placebo,MACE,main,,,,8578,803,,,24.2,,,,,
NCT01730534,total,total,MACE,main,,,,,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,MACE,age,,min,64,4631,366,,,20.3,0.93,0.81,1.08,,
NCT01730534,uaa10897,placebo,MACE,age,,min,64,4622,385,,,21.5,,,,,
NCT01730534,total,total,MACE,age,,min,64,,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,MACE,age,,65,74,3413,323,,,24.2,0.97,0.83,1.13,,
NCT01730534,uaa10897,placebo,MACE,age,,65,74,3398,332,,,25.2,,,,,
NCT01730534,total,total,MACE,age,,65,74,,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,MACE,age,,75,max,538,67,,,33.2,0.84,0.61,1.15,0.7352,
NCT01730534,uaa10897,placebo,MACE,age,,75,max,558,86,,,41.4,,,,,
NCT01730534,total,total,MACE,age,,75,max,,,,,,,,,,
