unq_id,trial_id,arm_id,id,id_source,variable,category_level,unit,measure_type,first_format,second_format,first,second,notes,renal_calc_type,unq_row_number_first_set,unq_row_number_second_set,arm_n,special_pop
blchar15103,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_263,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,36,NA,NA,NA,NA,957,2,not
blchar15104,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_264,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,36,NA,NA,NA,NA,958,2,not
blchar17077,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_2265,table_tidier_extraction_second_set,race,asian chinese,NA,categorical,count,percentage,5,13.9,NA,NA,NA,2931,2,not
blchar17078,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_2266,table_tidier_extraction_second_set,race,asian chinese,NA,categorical,count,percentage,4,11.1,"wrong percentage, corrected",NA,NA,2932,2,not
blchar17079,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_2267,table_tidier_extraction_second_set,race,asian indian,NA,categorical,count,percentage,15,41.7,NA,NA,NA,2933,2,not
blchar17080,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_2268,table_tidier_extraction_second_set,race,asian indian,NA,categorical,count,percentage,7,19.4,NA,NA,NA,2934,2,not
blchar17081,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_2269,table_tidier_extraction_second_set,race,asian malayasian,NA,categorical,count,percentage,24,66.7,NA,NA,NA,2935,2,not
blchar17082,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_2270,table_tidier_extraction_second_set,race,asian malayasian,NA,categorical,count,percentage,17,47.2,NA,NA,NA,2936,2,not
blchar17256,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_2444,table_tidier_extraction_second_set,race,asian_collapsed,NA,categorical,NA,percentage,NA,100,NA,NA,NA,3110,2,not
blchar17257,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_2445,table_tidier_extraction_second_set,race,asian_collapsed,NA,categorical,NA,percentage,NA,100,NA,NA,NA,3111,2,not
blchar17310,100-IRMI-PRI 16-6-2 007-2017,updac0091,tt_2022_2498,table_tidier_extraction_second_set,male,male,NA,categorical,count,percentage,28,77.8,NA,NA,NA,3164,2,not
blchar17311,100-IRMI-PRI 16-6-2 007-2017,updac0092,tt_2022_2499,table_tidier_extraction_second_set,male,male,NA,categorical,count,percentage,27,75,NA,NA,NA,3165,2,not
blchar00991,2004-004559-21,ac0001,n1313,table_tidier_or_manual_extraction_first_set,n,NA,NA,count,count,none,1556,NA,NA,NA,1307,NA,1,not
blchar00992,2004-004559-21,ac0002,n1314,table_tidier_or_manual_extraction_first_set,n,NA,NA,count,count,none,1562,NA,NA,NA,1308,NA,2,not
blchar10304,2004-004559-21,ac0001,race3193,table_tidier_or_manual_extraction_first_set,race,alaskan/americanindian,NA,categorical,count,percentage,3,0.2,NA,NA,13456,NA,2,not
blchar10305,2004-004559-21,ac0002,race3194,table_tidier_or_manual_extraction_first_set,race,alaskan/americanindian,NA,categorical,count,percentage,3,0.2,NA,NA,13457,NA,2,not
blchar10306,2004-004559-21,ac0001,race3195,table_tidier_or_manual_extraction_first_set,race,asian indian,NA,categorical,count,percentage,16,1,NA,NA,13458,NA,2,not
blchar10307,2004-004559-21,ac0002,race3196,table_tidier_or_manual_extraction_first_set,race,asian indian,NA,categorical,count,percentage,14,0.9,NA,NA,13459,NA,2,not
blchar10308,2004-004559-21,ac0001,race3197,table_tidier_or_manual_extraction_first_set,race,asian japanese,NA,categorical,count,percentage,1,0.1,NA,NA,13460,NA,2,not
blchar10309,2004-004559-21,ac0002,race3198,table_tidier_or_manual_extraction_first_set,race,asian japanese,NA,categorical,count,percentage,0,0,NA,NA,13461,NA,2,not
blchar10310,2004-004559-21,ac0001,race3199,table_tidier_or_manual_extraction_first_set,race,asian non indian,NA,categorical,count,percentage,30,1.9,NA,NA,13462,NA,2,not
blchar10311,2004-004559-21,ac0002,race3200,table_tidier_or_manual_extraction_first_set,race,asian non indian,NA,categorical,count,percentage,30,1.9,NA,NA,13463,NA,2,not
blchar10312,2004-004559-21,ac0001,race3201,table_tidier_or_manual_extraction_first_set,race,black,NA,categorical,count,percentage,19,1.2,NA,NA,13464,NA,2,not
blchar10313,2004-004559-21,ac0002,race3202,table_tidier_or_manual_extraction_first_set,race,black,NA,categorical,count,percentage,18,1.2,NA,NA,13465,NA,2,not
blchar10314,2004-004559-21,ac0001,race3203,table_tidier_or_manual_extraction_first_set,race,hawaiian/pacificislander,NA,categorical,count,percentage,2,0.1,NA,NA,13466,NA,2,not
blchar10315,2004-004559-21,ac0002,race3204,table_tidier_or_manual_extraction_first_set,race,hawaiian/pacificislander,NA,categorical,count,percentage,1,0.1,NA,NA,13467,NA,2,not
blchar10316,2004-004559-21,ac0001,race3205,table_tidier_or_manual_extraction_first_set,race,hispanic or latino,NA,categorical,count,percentage,133,8.5,NA,NA,13468,NA,2,not
blchar10317,2004-004559-21,ac0002,race3206,table_tidier_or_manual_extraction_first_set,race,hispanic or latino,NA,categorical,count,percentage,129,8.3,NA,NA,13469,NA,2,not
blchar10318,2004-004559-21,ac0001,race3207,table_tidier_or_manual_extraction_first_set,race,other,NA,categorical,count,percentage,9,0.6,NA,NA,13470,NA,2,not
blchar10319,2004-004559-21,ac0002,race3208,table_tidier_or_manual_extraction_first_set,race,other,NA,categorical,count,percentage,3,0.2,NA,NA,13471,NA,2,not
blchar10320,2004-004559-21,ac0001,race3209,table_tidier_or_manual_extraction_first_set,race,white,NA,categorical,count,percentage,1343,86.3,NA,NA,13472,NA,2,not
blchar10321,2004-004559-21,ac0002,race3210,table_tidier_or_manual_extraction_first_set,race,white,NA,categorical,count,percentage,1364,87.3,NA,NA,13473,NA,2,not
blchar10516,2004-004559-21,ac0001,race3545,table_tidier_or_manual_extraction_first_set,race,asian_collapsed,NA,categorical,NA,percentage,NA,3,NA,NA,14121,NA,2,not
blchar10517,2004-004559-21,ac0002,race3546,table_tidier_or_manual_extraction_first_set,race,asian_collapsed,NA,categorical,NA,percentage,NA,2.8,NA,NA,14122,NA,2,not
blchar10713,2004-004559-21,ac0001,race3753,table_tidier_or_manual_extraction_first_set,race,indeginous_collapsed,NA,categorical,NA,percentage,NA,0.3,NA,NA,14329,NA,2,not
blchar10714,2004-004559-21,ac0002,race3754,table_tidier_or_manual_extraction_first_set,race,indeginous_collapsed,NA,categorical,NA,percentage,NA,0.3,NA,NA,14330,NA,2,not
blchar03234,2004-004559-21,ac0001,sex1815,table_tidier_or_manual_extraction_first_set,male,male,NA,categorical,NA,percentage,NA,53.85604113,NA,NA,4279,NA,2,not
blchar03235,2004-004559-21,ac0002,sex1817,table_tidier_or_manual_extraction_first_set,male,male,NA,categorical,NA,percentage,NA,53.07298335,NA,NA,4280,NA,2,not
blchar15105,2008-008367-95,updac0222,tt_2022_265,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,17,NA,NA,NA,NA,959,2,special
blchar15106,2008-008367-95,updac0223,tt_2022_266,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,18,NA,NA,NA,NA,960,2,special
blchar17312,2008-008367-95,updac0223,tt_2022_2500,table_tidier_extraction_second_set,male,male,NA,categorical,count,percentage,13,72.2,NA,NA,NA,3166,2,special
blchar17313,2008-008367-95,updac0222,tt_2022_2501,table_tidier_extraction_second_set,male,male,NA,categorical,count,percentage,12,70.6,NA,NA,NA,3167,2,special
blchar15107,2012-001941-42,updac0121,tt_2022_267,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,63,NA,NA,NA,NA,961,2,not
blchar15108,2012-001941-42,updac0122,tt_2022_268,table_tidier_extraction_second_set,n,NA,NA,categorical,count,none,59,NA,NA,NA,NA,962,2,not
blchar17083,2012-001941-42,updac0121,tt_2022_2271,table_tidier_extraction_second_set,race,white,NA,categorical,count,percentage,62,98.4,NA,NA,NA,2937,2,not
blchar17084,2012-001941-42,updac0122,tt_2022_2272,table_tidier_extraction_second_set,race,white,NA,categorical,count,percentage,59,100,NA,NA,NA,2938,2,not
blchar17536,2012-001941-42,updac0121,tt_2022_2728,table_tidier_extraction_second_set,male,male,NA,categorical,NA,percentage,NA,63.5,NA,NA,NA,3390,2,not
blchar17537,2012-001941-42,updac0122,tt_2022_2729,table_tidier_extraction_second_set,male,male,NA,categorical,NA,percentage,NA,66.1,NA,NA,NA,3391,2,not
blchar00257,2013-002348-99,ac0003,n0332,table_tidier_or_manual_extraction_first_set,n,NA,NA,count,count,none,31,NA,NA,NA,329,NA,1,special
