unq_id,trial_id,arm_id,id,id_source,variable,category_level,unit,measure_type,first_format,second_format,first,low,upp,notes,renal_calc_type,unq_row_number_first_set,unq_row_number_second_set,arm_n,special_pop
blchar02196,2014-003923-23,ac0006,age0085,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,57,52,64,NA,NA,2924,NA,2,special
blchar02197,2014-003923-23,ac0005,age0086,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,55,50,61,NA,NA,2925,NA,2,special
blchar14171,EudraCT 2017-000240-17,updac0236,ub0044,manual_extraction_second_set,age,NA,years,mean,mean,range,61,43,70,NA,NA,NA,3,1,not
blchar14172,EudraCT 2017-000240-17,updac0237,ub0029,manual_extraction_second_set,age,NA,years,mean,mean,range,59,42,73,NA,NA,NA,4,2,not
blchar02207,NCT00411411,uaa10172,age0107,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,range,59.5,39,64,NA,NA,2935,NA,2,not
blchar02208,NCT00411411,uaa10171,age0108,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,range,60,31,72,NA,NA,2936,NA,2,not
blchar14017,NCT00722371,uaa10335,bld0002,manual_extraction_first_set,age,NA,years,mean,mean,range,52.6,22,76,NA,NA,NA,NA,1,not
blchar14030,NCT00722371,uaa10336,bld0015,manual_extraction_first_set,age,NA,years,mean,mean,range,51.1,21,77,NA,NA,NA,NA,2,not
blchar14043,NCT00722371,uaa10337,bld0028,manual_extraction_first_set,age,NA,years,mean,mean,range,53.5,26,73,NA,NA,NA,NA,3,not
blchar14056,NCT00722371,uaa10338,bld0041,manual_extraction_first_set,age,NA,years,mean,mean,range,51,24,76,NA,NA,NA,NA,4,not
blchar14069,NCT00722371,uaa10332,bld0054,manual_extraction_first_set,age,NA,years,mean,mean,range,50.3,21,75,NA,NA,NA,NA,5,not
blchar14082,NCT00722371,uaa10333,bld0067,manual_extraction_first_set,age,NA,years,mean,mean,range,51.8,23,77,NA,NA,NA,NA,6,not
blchar14095,NCT00722371,uaa10334,bld0080,manual_extraction_first_set,age,NA,years,mean,mean,range,52.5,23,72,NA,NA,NA,NA,7,not
blchar02194,NCT01144338,uaa10617,age0083,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,62,56,68,NA,NA,2922,NA,2,not
blchar02195,NCT01144338,uaa10618,age0084,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,62,56,68,NA,NA,2923,NA,2,not
blchar02198,NCT01455896,ab0142,age0087,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,63,58,68,NA,NA,2926,NA,2,special
blchar02199,NCT01455896,ab0143,age0088,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,63,57,68,NA,NA,2927,NA,2,special
blchar02202,NCT01601990,ab0166,age0098,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,range,52,45,60,NA,NA,2930,NA,2,not
blchar02203,NCT01601990,ab0165,age0099,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,range,54,49,60,NA,NA,2931,NA,2,not
blchar02204,NCT02097342,ab0209,age0100,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,49.5,41.5,55.5,NA,NA,2932,NA,3,not
blchar02205,NCT02097342,ab0211,age0101,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,50,45,54,NA,NA,2933,NA,3,not
blchar02206,NCT02097342,ab0210,age0102,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,54,48.5,59.5,NA,NA,2934,NA,3,not
blchar14921,NCT02501616,updab0021,tt_2022_81,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,58,40.5,62.8,NA,NA,NA,775,2,not
blchar14922,NCT02501616,updab0020,tt_2022_82,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,55.5,47,70.5,NA,NA,NA,776,2,not
blchar14928,NCT02649465,updab0022,tt_2022_88,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,59,43,64.8,NA,NA,NA,782,2,special
blchar14929,NCT02649465,updab0023,tt_2022_89,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,50.5,38.3,65,NA,NA,NA,783,2,special
