id,nct_id,outcome_id,result_group_id,ctgov_group_code,classification,category,title,description,units,param_type,param_value,param_value_num,dispersion_type,dispersion_value,dispersion_value_num,dispersion_lower_limit,dispersion_upper_limit,explanation_of_na
267526515,NCT00837577,35019995,62027101,OG000,NA,NA,Change From Baseline in Hemoglobin A1c (HbA1c) at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication. This study used Japan Diabetes Society (JDS)-certified HbA1c values, the standard at the time when the study was conducted (HbA1c [National Glycohemoglobin Standardization Program; NGSP] = HbA1c (JDS-HbA1c [%]) + 0.4%).",Percentage of glycosylated hemoglobin,Least Squares Mean,-0.76,-0.76,95% Confidence Interval,0.42,0.42,-0.88,-0.63,NA
267526516,NCT00837577,35019995,62027102,OG001,NA,NA,Change From Baseline in Hemoglobin A1c (HbA1c) at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication. This study used Japan Diabetes Society (JDS)-certified HbA1c values, the standard at the time when the study was conducted (HbA1c [National Glycohemoglobin Standardization Program; NGSP] = HbA1c (JDS-HbA1c [%]) + 0.4%).",Percentage of glycosylated hemoglobin,Least Squares Mean,0.16,0.16,95% Confidence Interval,0.64,0.64,0.02,0.3,NA
267526517,NCT00837577,35019996,62027101,OG000,NA,NA,Change From Baseline in 2-hour Postprandial Glucose at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication.",mg/dL,Least Squares Mean,-55.3,-55.3,95% Confidence Interval,37.9,37.9,-64.2,-46.3,NA
267526518,NCT00837577,35019996,62027102,OG001,NA,NA,Change From Baseline in 2-hour Postprandial Glucose at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication.",mg/dL,Least Squares Mean,-4,-4,95% Confidence Interval,38.7,38.7,-13.5,5.5,NA
267526519,NCT00837577,35019997,62027101,OG000,NA,NA,Change From Baseline in Fasting Plasma Glucose (FPG) at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication.",mg/dL,Least Squares Mean,-22.6,-22.6,95% Confidence Interval,27.1,27.1,-28.5,-16.8,NA
267526520,NCT00837577,35019997,62027102,OG001,NA,NA,Change From Baseline in Fasting Plasma Glucose (FPG) at Week 12,"Change from baseline measurement, where the baseline measurement was obtained at randomization (Week 0) before receiving study medication.",mg/dL,Least Squares Mean,-0.1,-0.1,95% Confidence Interval,22.2,22.2,-6.4,6.2,NA
267561267,NCT00885352,35024259,62032569,OG000,NA,NA,Change From Baseline in Hemoglobin A1c (A1C) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value. A1C represents the percentage of glycosylated hemoglobin.,Percent of glycosylated hemoglobin,Least Squares Mean,-1.15,-1.15,95% Confidence Interval,0.93,0.93,-1.29,-1.01,NA
267561268,NCT00885352,35024259,62032570,OG001,NA,NA,Change From Baseline in Hemoglobin A1c (A1C) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value. A1C represents the percentage of glycosylated hemoglobin.,Percent of glycosylated hemoglobin,Least Squares Mean,-0.4,-0.4,95% Confidence Interval,1,1,-0.55,-0.26,NA
267561269,NCT00885352,35024260,62032569,OG000,NA,NA,Change From Baseline in 2-Hour Post-Meal Glucose (PMG) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value.,mg/dL,Least Squares Mean,-54.4,-54.4,95% Confidence Interval,64.4,64.4,-63.3,-45.4,NA
267561270,NCT00885352,35024260,62032570,OG001,NA,NA,Change From Baseline in 2-Hour Post-Meal Glucose (PMG) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value.,mg/dL,Least Squares Mean,-14.7,-14.7,95% Confidence Interval,59.6,59.6,-23.8,-5.6,NA
