nct_id,id,outcome_id,result_group_id,ctgov_group_code
NCT00082381,49209820,6408094,9599349,OG000
NCT00082381,49209821,6408094,9599350,OG001
NCT00082381,49209822,6408094,9599349,OG000
NCT00082381,49209823,6408094,9599350,OG001
NCT00082407,49209868,6408101,9599358,OG000
NCT00082407,49209869,6408101,9599359,OG001
NCT00082407,49209870,6408101,9599358,OG000
NCT00082407,49209871,6408101,9599359,OG001
NCT00086502,49212776,6408439,9599874,OG000
NCT00086502,49212777,6408439,9599875,OG001
NCT00086515,49212780,6408441,9599883,OG000
NCT00086515,49212781,6408441,9599884,OG001
NCT00087516,49213338,6408513,9599990,OG000
NCT00087516,49213339,6408513,9599991,OG001
NCT00087516,49213340,6408513,9599992,OG002
NCT00087516,49213347,6408516,9599993,OG000
NCT00087516,49213348,6408516,9599994,OG001
NCT00087516,49213349,6408516,9599995,OG002
NCT00087516,49213350,6408516,9599996,OG003
NCT00094757,49218409,6409383,9601160,OG000
NCT00094757,49218410,6409383,9601161,OG001
NCT00094757,49218411,6409383,9601162,OG002
NCT00094757,49218415,6409385,9601160,OG000
NCT00094757,49218416,6409385,9601161,OG001
NCT00094757,49218417,6409385,9601162,OG002
NCT00094770,49218421,6409387,9601171,OG000
NCT00094770,49218422,6409387,9601172,OG001
NCT00094770,49218423,6409388,9601171,OG000
NCT00094770,49218424,6409388,9601172,OG001
NCT00097500,49221483,6409992,9601681,OG000
NCT00097500,49221484,6409992,9601682,OG001
NCT00103857,49224583,6410615,9602683,OG000
NCT00103857,49224584,6410615,9602684,OG001
NCT00103857,49224585,6410615,9602685,OG002
NCT00103857,49224586,6410615,9602686,OG003
NCT00103857,49224587,6410615,9602687,OG004
NCT00103857,49224588,6410615,9602688,OG005
NCT00103857,49224601,6410618,9602683,OG000
NCT00103857,49224602,6410618,9602684,OG001
NCT00103857,49224603,6410618,9602685,OG002
NCT00103857,49224604,6410618,9602686,OG003
NCT00103857,49224605,6410618,9602687,OG004
NCT00103857,49224606,6410618,9602688,OG005
NCT00103857,49224619,6410621,9602683,OG000
NCT00103857,49224620,6410621,9602684,OG001
NCT00103857,49224621,6410621,9602685,OG002
NCT00103857,49224622,6410621,9602686,OG003
NCT00103857,49224623,6410621,9602687,OG004
NCT00103857,49224624,6410621,9602688,OG005
NCT00106704,49227724,6411159,9603157,OG000
NCT00106704,49227725,6411159,9603158,OG001
NCT00121641,49241467,6413074,9605646,OG000
NCT00121641,49241468,6413074,9605647,OG001
NCT00121641,49241469,6413074,9605648,OG002
NCT00121641,49241470,6413074,9605649,OG003
NCT00121641,49241471,6413074,9605646,OG000
NCT00121641,49241472,6413074,9605647,OG001
NCT00121641,49241473,6413074,9605648,OG002
NCT00121641,49241474,6413074,9605649,OG003
NCT00121641,49241498,6413080,9605651,OG000
NCT00121641,49241499,6413080,9605651,OG000
NCT00121667,49243422,6413112,9605667,OG000
NCT00121667,49243423,6413112,9605668,OG001
NCT00121667,49243424,6413112,9605669,OG002
NCT00121667,49243425,6413112,9605670,OG003
NCT00121667,49243426,6413112,9605667,OG000
NCT00121667,49243427,6413112,9605668,OG001
NCT00121667,49243428,6413112,9605669,OG002
NCT00121667,49243429,6413112,9605670,OG003
NCT00135330,49257124,6414551,9607866,OG000
NCT00135330,49257125,6414551,9607867,OG001
NCT00135330,49257126,6414551,9607868,OG002
NCT00135330,49257127,6414551,9607866,OG000
NCT00135330,49257128,6414551,9607867,OG001
NCT00135330,49257129,6414551,9607868,OG002
NCT00286429,49339462,6425587,9624107,OG000
NCT00286429,49339463,6425587,9624108,OG001
NCT00286429,49339464,6425587,9624109,OG002
NCT00286429,49339465,6425588,9624107,OG000
NCT00286429,49339466,6425588,9624108,OG001
NCT00286429,49339467,6425588,9624109,OG002
NCT00286429,49339468,6425589,9624107,OG000
NCT00286429,49339469,6425589,9624108,OG001
NCT00286429,49339470,6425589,9624109,OG002
NCT00286429,49339471,6425590,9624107,OG000
NCT00286429,49339472,6425590,9624108,OG001
NCT00286429,49339473,6425590,9624109,OG002
NCT00286429,49339474,6425591,9624107,OG000
NCT00286429,49339475,6425591,9624108,OG001
NCT00286429,49339476,6425591,9624109,OG002
NCT00286429,49339477,6425592,9624107,OG000
NCT00286429,49339478,6425592,9624108,OG001
NCT00286429,49339479,6425592,9624109,OG002
NCT00286442,49339561,6425620,9624120,OG000
NCT00286442,49339562,6425620,9624121,OG001
NCT00286442,49339563,6425620,9624122,OG002
NCT00286442,49339564,6425621,9624120,OG000
NCT00286442,49339565,6425621,9624121,OG001
NCT00286442,49339566,6425621,9624122,OG002
NCT00286442,49339567,6425622,9624120,OG000
NCT00286442,49339568,6425622,9624121,OG001
NCT00286442,49339569,6425622,9624122,OG002
NCT00286442,49339570,6425623,9624120,OG000
NCT00286442,49339571,6425623,9624121,OG001
NCT00286442,49339572,6425623,9624122,OG002
NCT00286442,49339573,6425624,9624120,OG000
NCT00286442,49339574,6425624,9624121,OG001
NCT00286442,49339575,6425624,9624122,OG002
NCT00286442,49339576,6425625,9624120,OG000
NCT00286442,49339577,6425625,9624121,OG001
NCT00286442,49339578,6425625,9624122,OG002
NCT00286455,49339714,6425671,9624133,OG000
NCT00286455,49339715,6425671,9624134,OG001
NCT00286455,49339716,6425671,9624135,OG002
NCT00286455,49339717,6425672,9624133,OG000
NCT00286455,49339718,6425672,9624134,OG001
NCT00286455,49339719,6425672,9624135,OG002
NCT00286455,49339720,6425673,9624133,OG000
NCT00286455,49339721,6425673,9624134,OG001
NCT00286455,49339722,6425673,9624135,OG002
NCT00286455,49339723,6425674,9624133,OG000
NCT00286455,49339724,6425674,9624134,OG001
NCT00286455,49339725,6425674,9624135,OG002
NCT00286455,49339726,6425675,9624133,OG000
NCT00286455,49339727,6425675,9624134,OG001
NCT00286455,49339728,6425675,9624135,OG002
NCT00286455,49339729,6425676,9624133,OG000
NCT00286455,49339730,6425676,9624134,OG001
NCT00286455,49339731,6425676,9624135,OG002
NCT00286468,49339885,6425728,9624146,OG000
NCT00286468,49339886,6425728,9624147,OG001
NCT00286468,49339887,6425728,9624148,OG002
NCT00286468,49339888,6425729,9624146,OG000
NCT00286468,49339889,6425729,9624147,OG001
NCT00286468,49339890,6425729,9624148,OG002
NCT00286468,49339891,6425730,9624146,OG000
NCT00286468,49339892,6425730,9624147,OG001
NCT00286468,49339893,6425730,9624148,OG002
NCT00286468,49339894,6425731,9624146,OG000
NCT00286468,49339895,6425731,9624147,OG001
NCT00286468,49339896,6425731,9624148,OG002
NCT00286468,49339897,6425732,9624146,OG000
NCT00286468,49339898,6425732,9624147,OG001
NCT00286468,49339899,6425732,9624148,OG002
NCT00286468,49339900,6425733,9624146,OG000
NCT00286468,49339901,6425733,9624147,OG001
NCT00286468,49339902,6425733,9624148,OG002
NCT00286494,49340038,6425779,9624159,OG000
NCT00286494,49340039,6425779,9624160,OG001
NCT00286494,49340040,6425779,9624161,OG002
NCT00286494,49340041,6425780,9624159,OG000
NCT00286494,49340042,6425780,9624160,OG001
NCT00286494,49340043,6425780,9624161,OG002
NCT00286494,49340044,6425781,9624159,OG000
NCT00286494,49340045,6425781,9624160,OG001
NCT00286494,49340046,6425781,9624161,OG002
NCT00286494,49340047,6425782,9624159,OG000
NCT00286494,49340048,6425782,9624160,OG001
NCT00286494,49340049,6425782,9624161,OG002
NCT00286494,49340050,6425783,9624159,OG000
NCT00286494,49340051,6425783,9624160,OG001
NCT00286494,49340052,6425783,9624161,OG002
NCT00286494,49340053,6425784,9624159,OG000
NCT00286494,49340054,6425784,9624160,OG001
NCT00286494,49340055,6425784,9624161,OG002
NCT00289848,49342421,6426256,9624654,OG000
NCT00289848,49342422,6426256,9624655,OG001
NCT00294723,49347051,6427033,9625459,OG000
NCT00294723,49347052,6427033,9625460,OG001
NCT00294723,49347053,6427033,9625461,OG002
NCT00294723,49347060,6427036,9625459,OG000
NCT00294723,49347061,6427036,9625460,OG001
NCT00294723,49347062,6427036,9625461,OG002
NCT00294723,49347084,6427044,9625459,OG000
NCT00294723,49347085,6427044,9625460,OG001
NCT00294723,49347086,6427044,9625461,OG002
NCT00295633,49347448,6427093,9625547,OG000
NCT00295633,49347449,6427093,9625548,OG001
NCT00295633,49347450,6427093,9625549,OG002
NCT00295633,49347451,6427093,9625547,OG000
NCT00295633,49347452,6427093,9625548,OG001
NCT00295633,49347453,6427093,9625549,OG002
NCT00295633,49347454,6427093,9625547,OG000
NCT00295633,49347455,6427093,9625548,OG001
NCT00295633,49347456,6427093,9625549,OG002
NCT00305604,49356501,6428519,9627550,OG000
NCT00305604,49356502,6428519,9627551,OG001
NCT00306384,49357564,6428618,9627724,OG000
NCT00306384,49357565,6428618,9627725,OG001
NCT00306384,49357566,6428618,9627726,OG002
NCT00306384,49357567,6428618,9627724,OG000
NCT00306384,49357568,6428618,9627725,OG001
NCT00306384,49357569,6428618,9627726,OG002
NCT00306384,49357570,6428618,9627724,OG000
NCT00306384,49357571,6428618,9627725,OG001
NCT00306384,49357572,6428618,9627726,OG002
NCT00306384,49357573,6428618,9627724,OG000
NCT00306384,49357574,6428618,9627725,OG001
NCT00306384,49357575,6428618,9627726,OG002
NCT00306384,49357576,6428618,9627724,OG000
NCT00306384,49357577,6428618,9627725,OG001
NCT00306384,49357578,6428618,9627726,OG002
NCT00306384,49357579,6428618,9627724,OG000
NCT00306384,49357580,6428618,9627725,OG001
NCT00306384,49357581,6428618,9627726,OG002
NCT00306384,49357582,6428618,9627724,OG000
NCT00306384,49357583,6428618,9627725,OG001
NCT00306384,49357584,6428618,9627726,OG002
NCT00306384,49357585,6428618,9627724,OG000
