nct_id,title,description,outcome_id,units,variable,chosen_outcome,unit_harmonised,id,result_group_id,ctgov_group_code
NCT02912455,Change at Six Months Versus Baseline in Hemoglobin A1c Value (%),The change in hemoglobin A1c from randomization following the 6 month administration of canagliflozin vs. placebo in patients with type 2 diabetes post-bariatric surgery,20035295,percentage,hba1c,1,percent,153753011,40944462,OG000
NCT02912455,Change at Six Months Versus Baseline in Hemoglobin A1c Value (%),The change in hemoglobin A1c from randomization following the 6 month administration of canagliflozin vs. placebo in patients with type 2 diabetes post-bariatric surgery,20035295,percentage,hba1c,1,percent,153753012,40944463,OG001
NCT03689374,Change From Baseline in Glycated Haemoglobin (HbA1c),Change from baseline in HbA1c at week 52 is presented. Data is reported for 'on-treatment' observation period: from the date of first dose of trial product (week 0) to the last date on trial product with a visit window of +7 days (week 52).,19953829,Percentage of HbA1c,hba1c,1,percent,153087452,40843676,OG000
NCT03689374,Change From Baseline in Glycated Haemoglobin (HbA1c),Change from baseline in HbA1c at week 52 is presented. Data is reported for 'on-treatment' observation period: from the date of first dose of trial product (week 0) to the last date on trial product with a visit window of +7 days (week 52).,19953829,Percentage of HbA1c,hba1c,1,percent,153087453,40843677,OG001
NCT02787551,Change From Baseline in Glycated Hemoglobin (HbA1c) to Week 26: Core Period,Change in HbA1c was calculated by subtracting baseline value from Week 26 value. Adjusted least squares (LS) mean and standard error (SE) were obtained from Mixed-effect model with repeated measures (MMRM) to account for missing data using all available post baseline data during the 26 week treatment period.,19815773,percentage of HbA1c,hba1c,1,percent,151900799,40667754,OG000
NCT02787551,Change From Baseline in Glycated Hemoglobin (HbA1c) to Week 26: Core Period,Change in HbA1c was calculated by subtracting baseline value from Week 26 value. Adjusted least squares (LS) mean and standard error (SE) were obtained from Mixed-effect model with repeated measures (MMRM) to account for missing data using all available post baseline data during the 26 week treatment period.,19815773,percentage of HbA1c,hba1c,1,percent,151900800,40667755,OG001
NCT03730662,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. LS mean was determined by MMRM model for post-baseline measures: Variable = Baseline + Pooled Country + Baseline SGLT-2i use Flag (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",20134618,Percentage of HbA1c,hba1c,1,percent,154565576,41081926,OG000
NCT03730662,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. LS mean was determined by MMRM model for post-baseline measures: Variable = Baseline + Pooled Country + Baseline SGLT-2i use Flag (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",20134618,Percentage of HbA1c,hba1c,1,percent,154565577,41081927,OG001
NCT03882970,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with covariates Baseline + Pooled Country + Baseline OAM Use (Met, Met plus SGLT-2i) + Treatment + Time + Treatment*Time (Type III sum of squares).",19966906,Percentage of HbA1c,hba1c,1,percent,153201192,40859345,OG000
NCT03882970,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with covariates Baseline + Pooled Country + Baseline OAM Use (Met, Met plus SGLT-2i) + Treatment + Time + Treatment*Time (Type III sum of squares).",19966906,Percentage of HbA1c,hba1c,1,percent,153201193,40859346,OG001
NCT03987919,Change From Baseline in HbA1c (5 mg),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).,20056626,Percentage of HbA1c,hba1c,1,percent,153929739,40971590,OG000
