nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT00838903,uaa10381,female,172,55.3,10.2,5,0.060000000000000005,"0=29, 3=37, 20=48, 88=66, 100=86"
NCT00838903,uaa10381,male,142,53.1,9.9,5,0.07,"0=26, 4=36, 18=44, 86=63, 100=74"
NCT00838903,uaa10382,female,150,53.6,9.7,5,0.07,"0=29, 16=44, 51=56, 86=63, 100=73"
NCT00838903,uaa10382,male,166,55.3,10.2,5,0.060000000000000005,"0=28, 12=45, 49=54, 96=70, 100=82"
NCT00838903,uaa10383,female,53,55.2,9.7,5,0.07,"0=34, 27=52, 58=57, 92=66, 100=77"
NCT00838903,uaa10383,male,51,57.1,10.3,6,0.05,"0=32, 6=45, 30=49, 48=58, 80=65, 100=79"
NCT00838903,uaa10384,female,167,54.5,9.3,5,0.08,"0=26, 11=43, 36=53, 85=63, 100=77"
NCT00838903,uaa10384,male,143,54.2,10.4,5,0.08,"0=24, 12=43, 79=62, 99=74, 100=84"
NCT00838916,uaa10386,female,226,54.7,9.4,5,0.08,"0=27, 4=39, 24=49, 88=64, 100=80"
NCT00838916,uaa10386,male,289,56.7,9.2,5,0.09,"0=27, 7=44, 29=53, 84=65, 100=81"
NCT00838916,uaa10387,female,119,55,9.6,5,0.08,"0=26, 20=49, 82=62, 98=72, 100=82"
NCT00838916,uaa10387,male,143,54.5,9.9,5,0.09,"0=30, 14=45, 64=57, 92=68, 100=83"
NCT00839527,uaa10389,female,142,54.2,9.5,5,0.060000000000000005,"0=25, 7=41, 28=50, 76=60, 100=74"
NCT00839527,uaa10389,male,138,55.1,9.3,5,0.07,"0=33, 15=46, 64=58, 93=68, 100=74"
NCT00839527,uaa10390,female,132,55.5,9.6,7,0.07,"0=28, 11=47, 40=52, 54=57, 61=57, 86=65, 100=81"
NCT00839527,uaa10390,male,155,55.9,9.3,5,0.07,"0=32, 15=47, 51=58, 90=66, 100=75"
NCT00839527,uaa10391,female,46,54.5,8.9,5,0.09999999999999999,"0=38, 38=53, 53=54, 87=62, 100=81"
NCT00839527,uaa10391,male,70,56.5,10,6,0.060000000000000005,"0=29, 12=46, 28=49, 32=52, 77=64, 100=74"
NCT00849017,uaa10393,female,50,50.1,13,6,0.060000000000000005,"0=24, 6=35, 37=42, 67=58, 84=61, 100=78"
NCT00849017,uaa10393,male,50,53.7,10.3,6,0.08,"0=32, 8=42, 24=44, 45=53, 57=54, 100=73"
NCT00849017,uaa10394,female,43,52.7,10.1,5,0.09,"0=31, 36=52, 67=56, 90=62, 100=78"
NCT00849017,uaa10394,male,59,54.5,11.4,6,0.060000000000000005,"0=30, 14=43, 33=50, 60=56, 78=63, 100=79"
NCT00849017,uaa10395,female,44,52.8,13,5,0.08,"0=20, 9=35, 33=49, 79=62, 100=73"
NCT00849017,uaa10395,male,61,53.3,10.8,5,0.060000000000000005,"0=30, 8=42, 23=44, 75=60, 100=78"
NCT00849056,uaa10397,female,61,53.6,10.7,5,0.060000000000000005,"0=29, 28=50, 40=54, 83=62, 100=76"
NCT00849056,uaa10397,male,94,56.2,9.4,8,0.060000000000000005,"0=33, 20=50, 28=52, 44=54, 53=58, 61=58, 82=64, 100=77"
NCT00849056,uaa10398,female,63,54.4,9.6,9,0.060000000000000005,"0=31, 2=38, 16=46, 45=54, 69=58, 77=62, 84=62, 87=63, 100=80"
NCT00849056,uaa10398,male,90,55.2,9.3,6,0.08,"0=33, 20=48, 56=59, 75=61, 94=68, 100=77"
NCT00976391,uaa10467,female,157,55.3,8.5,5,0.07,"0=29, 1=38, 24=51, 84=63, 100=74"
NCT00976391,uaa10467,male,135,54.4,9.6,5,0.060000000000000005,"0=18, 11=45, 27=51, 90=64, 100=75"
NCT00976391,uaa10468,female,150,55.9,8.7,5,0.07,"0=36, 19=50, 58=56, 72=60, 100=76"
NCT00976391,uaa10468,male,144,56.9,9,5,0.09,"0=35, 13=47, 60=61, 78=63, 100=74"
NCT01098539,uaa10566,female,115,62.5,7.7,6,0.07,"0=45, 26=58, 56=63, 63=67, 97=74, 100=77"
NCT01098539,uaa10566,male,137,63.8,8.9,6,0.07,"0=41, 5=51, 31=60, 64=66, 86=73, 100=83"
NCT01098539,uaa10567,female,119,62.3,9.2,5,0.09999999999999999,"0=23, 15=55, 40=61, 67=64, 100=82"
NCT01098539,uaa10567,male,133,64.5,8.8,6,0.08,"0=33, 2=46, 19=58, 39=64, 81=71, 100=80"
