nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT00838903,NCT00838903,b1,(Intercept),9.551,0.663,14.399,7.740e-43
NCT00838903,NCT00838903,b1,sex,-0.363,0.934,-0.389,6.975e-01
NCT00838903,NCT00838903,b1,age10,-0.228,0.118,-1.926,5.434e-02
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,-0.689,0.75,-0.919,3.581e-01
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,-1.524,0.764,-1.995,4.631e-02
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,-0.938,0.765,-1.226,2.205e-01
NCT00838903,NCT00838903,b1,sex:age10,0.038,0.164,0.234,8.148e-01
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,0.777,1.069,0.727,4.674e-01
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,1.445,1.07,1.35,1.773e-01
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,0.701,1.074,0.652,5.143e-01
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10381,0.098,0.134,0.733,4.636e-01
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10382,0.243,0.137,1.771,7.693e-02
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10384,0.132,0.137,0.965,3.348e-01
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10381,-0.132,0.189,-0.7,4.841e-01
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10382,-0.225,0.189,-1.188,2.353e-01
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10384,-0.106,0.19,-0.558,5.767e-01
NCT00838916,NCT00838916,b1,(Intercept),9.237,0.495,18.673,5.084e-64
NCT00838916,NCT00838916,b1,sex,-0.085,0.658,-0.129,8.972e-01
NCT00838916,NCT00838916,b1,age10,-0.153,0.089,-1.732,8.362e-02
NCT00838916,NCT00838916,b1,arm_f_2_uaa10386,0.079,0.609,0.129,8.971e-01
NCT00838916,NCT00838916,b1,sex:age10,0.019,0.118,0.164,8.699e-01
NCT00838916,NCT00838916,b1,sex:arm_f_2_uaa10386,-0.382,0.816,-0.468,6.398e-01
NCT00838916,NCT00838916,b1,age10:arm_f_2_uaa10386,-0.036,0.109,-0.333,7.389e-01
NCT00838916,NCT00838916,b1,sex:age10:arm_f_2_uaa10386,0.081,0.146,0.551,5.815e-01
NCT00839527,NCT00839527,b1,(Intercept),7.699,0.785,9.804,2.951e-21
NCT00839527,NCT00839527,b1,sex,1.978,0.976,2.026,4.317e-02
NCT00839527,NCT00839527,b1,age10,0.116,0.142,0.816,4.151e-01
NCT00839527,NCT00839527,b1,arm_f_2_uaa10389,1.108,0.89,1.246,2.133e-01
NCT00839527,NCT00839527,b1,arm_f_2_uaa10390,1.524,0.898,1.697,9.016e-02
NCT00839527,NCT00839527,b1,sex:age10,-0.378,0.175,-2.167,3.061e-02
NCT00839527,NCT00839527,b1,sex:arm_f_2_uaa10389,-1.877,1.148,-1.635,1.025e-01
NCT00839527,NCT00839527,b1,sex:arm_f_2_uaa10390,-2.081,1.15,-1.81,7.081e-02
NCT00839527,NCT00839527,b1,age10:arm_f_2_uaa10389,-0.198,0.161,-1.227,2.204e-01
NCT00839527,NCT00839527,b1,age10:arm_f_2_uaa10390,-0.268,0.162,-1.656,9.814e-02
NCT00839527,NCT00839527,b1,sex:age10:arm_f_2_uaa10389,0.313,0.206,1.52,1.290e-01
NCT00839527,NCT00839527,b1,sex:age10:arm_f_2_uaa10390,0.375,0.205,1.827,6.814e-02
NCT00849017,NCT00849017,b1,(Intercept),8.817,0.563,15.667,2.110e-40
NCT00849017,NCT00849017,b1,sex,0.207,0.81,0.256,7.982e-01
NCT00849017,NCT00849017,b1,age10,-0.172,0.104,-1.66,9.805e-02
NCT00849017,NCT00849017,b1,arm_f_2_uaa10393,-0.582,0.756,-0.771,4.415e-01
NCT00849017,NCT00849017,b1,arm_f_2_uaa10394,-0.036,0.906,-0.039,9.687e-01
NCT00849017,NCT00849017,b1,sex:age10,0.015,0.149,0.101,9.198e-01
NCT00849017,NCT00849017,b1,sex:arm_f_2_uaa10393,1.069,1.161,0.921,3.578e-01
NCT00849017,NCT00849017,b1,sex:arm_f_2_uaa10394,0.372,1.217,0.306,7.599e-01
NCT00849017,NCT00849017,b1,age10:arm_f_2_uaa10393,0.14,0.142,0.985,3.257e-01
NCT00849017,NCT00849017,b1,age10:arm_f_2_uaa10394,0.031,0.168,0.182,8.557e-01
NCT00849017,NCT00849017,b1,sex:age10:arm_f_2_uaa10393,-0.201,0.215,-0.935,3.506e-01
NCT00849017,NCT00849017,b1,sex:age10:arm_f_2_uaa10394,-0.099,0.224,-0.441,6.595e-01
NCT00849056,NCT00849056,b1,(Intercept),8.38,0.632,13.256,9.656e-32
NCT00849056,NCT00849056,b1,sex,0.3,0.841,0.357,7.214e-01
NCT00849056,NCT00849056,b1,age10,-0.032,0.114,-0.279,7.807e-01
