nct_id,nct_id2,models,row,col,r
NCT00838903,NCT00838903,b1,(Intercept),sex,-0.71
NCT00838903,NCT00838903,b1,(Intercept),age10,-0.985
NCT00838903,NCT00838903,b1,sex,age10,0.699
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10381,-0.885
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10381,0.628
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10381,0.871
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10382,-0.868
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10382,0.616
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10382,0.855
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,arm_f_2_uaa10382,0.768
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10384,-0.867
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10384,0.616
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10384,0.854
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,arm_f_2_uaa10384,0.767
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,arm_f_2_uaa10384,0.753
NCT00838903,NCT00838903,b1,(Intercept),sex:age10,0.712
NCT00838903,NCT00838903,b1,sex,sex:age10,-0.985
NCT00838903,NCT00838903,b1,age10,sex:age10,-0.722
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:age10,-0.629
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:age10,-0.618
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:age10,-0.617
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10381,0.621
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10381,-0.874
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10381,-0.611
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10381,-0.701
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10381,-0.539
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10381,-0.538
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10381,0.86
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10382,0.62
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10382,-0.873
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10382,-0.61
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10382,-0.548
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10382,-0.714
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10382,-0.537
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10382,0.859
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,sex:arm_f_2_uaa10382,0.763
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10384,0.618
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10384,-0.87
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10384,-0.609
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10384,-0.546
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10384,-0.536
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10384,-0.713
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10384,0.857
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,sex:arm_f_2_uaa10384,0.76
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,sex:arm_f_2_uaa10384,0.759
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10381,0.872
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10381,-0.619
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10381,-0.885
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10381,-0.985
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10381,-0.757
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,age10:arm_f_2_uaa10381,-0.756
NCT00838903,NCT00838903,b1,sex:age10,age10:arm_f_2_uaa10381,0.639
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,age10:arm_f_2_uaa10381,0.691
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,age10:arm_f_2_uaa10381,0.54
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,age10:arm_f_2_uaa10381,0.539
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10382,0.849
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10382,-0.603
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10382,-0.862
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10382,-0.751
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10382,-0.985
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,age10:arm_f_2_uaa10382,-0.736
NCT00838903,NCT00838903,b1,sex:age10,age10:arm_f_2_uaa10382,0.623
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.527
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,age10:arm_f_2_uaa10382,0.703
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,age10:arm_f_2_uaa10382,0.525
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.763
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10384,0.851
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10384,-0.604
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10384,-0.864
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10384,-0.753
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10384,-0.739
