nct_id,nct_id2,arm_id_unq,base,end,result,n,n_analysed,sd
NCT00838903,NCT00838903,uaa10381,8.11,7.39,-0.72,314,305,1.16
NCT00838903,NCT00838903,uaa10382,8.13,7.66,-0.48,316,309,1.33
NCT00838903,NCT00838903,uaa10383,8.2,8.01,-0.19,104,103,1.26
NCT00838903,NCT00838903,uaa10384,8.09,7.65,-0.43,310,303,1.23
NCT00838916,NCT00838916,uaa10386,8.32,7.55,-0.77,515,505,1.09
NCT00838916,NCT00838916,uaa10387,8.38,7.5,-0.89,262,246,1.19
NCT00839527,NCT00839527,uaa10389,8.24,7.55,-0.67,280,271,1.01
NCT00839527,NCT00839527,uaa10390,8.32,7.47,-0.84,287,278,1.11
NCT00839527,NCT00839527,uaa10391,8.25,8.19,-0.05,116,115,0.97
NCT00849017,NCT00849017,uaa10393,8.2,7.32,-0.89,100,99,1.2
NCT00849017,NCT00849017,uaa10394,8.1,7.23,-0.86,102,101,0.97
NCT00849017,NCT00849017,uaa10395,8.12,7.52,-0.56,105,101,1.11
NCT00849056,NCT00849056,uaa10397,8.12,7.06,-1.04,155,150,0.95
NCT00849056,NCT00849056,uaa10398,8.13,7.75,-0.39,153,152,1.11
NCT00976391,NCT00976391,uaa10467,8.51,7.57,-0.95,292,288,1.04
NCT00976391,NCT00976391,uaa10468,8.48,7.69,-0.79,294,288,1.02
NCT01098539,NCT01098539,uaa10566,8.07,7.28,-0.75,252,247,0.91
NCT01098539,NCT01098539,uaa10567,8.17,7.73,-0.45,252,246,1.27
NCT01128894,NCT01128894,uaa10601,8.18,7.37,-0.82,420,405,1.04
NCT01128894,NCT01128894,uaa10602,8.16,7.17,-0.99,417,410,1
NCT01733758,NCT01733758,uaa10899,8.06,6.98,-1.08,160,160,0.62
NCT01733758,NCT01733758,uaa10900,8.15,6.83,-1.32,150,150,0.71
NCT01733758,NCT01733758,uaa10901,8.07,6.85,-1.22,104,103,0.62
NCT01733758,NCT01733758,uaa10902,8.13,8.25,0.12,78,77,0.81
NCT02229227,NCT02229227,uaa11080,7.82,6.72,-1.11,402,401,0.89
NCT02229227,NCT02229227,uaa11081,7.77,6.64,-1.14,412,411,0.82
NCT02465515,NCT02465515,uaa11138,8,8.01,0.03,4629,4452,1.43
NCT02465515,NCT02465515,uaa11139,8.55,8.44,-0.1,4601,4393,1.44
