nct_id,trial_lbl,arm_id_unq
NCT00838903,METFORMIN ALONE = METFORMIN + SITAGLIPTIN MATCHING PLACEBO + ALBIGLUTIDE MATCHING PLACEBO + GLIMEPIRIDE MATCHING PLACEBO,uaa10383
NCT00839527,METFORMIN + OPEN-LABEL GLIMEPIRIDE (4 MG) + PIOGLITAZONE MATCHING PLACEBO + MATCHING ALBIGLUTIDE PLACEBO,uaa10391
NCT00849017,MATCHING ALBIGLUTIDE PLACEBO,uaa10395
NCT00849056,PIOGLITAZONE OR (METFORMIN + PIOGLITAZONE) + ALBIGLUTIDE MATCHING PLACEBO,uaa10398
NCT01733758,Placebo,uaa10902
NCT02465515,PLACEBO,uaa11139
NCT00838916,INSULIN GLARGINE (DOSE TITRATION PER PKG INSERT/PRESCRIBING INFO),uaa10387
NCT00976391,INSULIN GLARGINE/PREPRANDIAL LISPRO INSULIN,uaa10468
NCT01098539,ALBIGLUTIDE MATCHING PLACEBO + SITAGLIPTIN,uaa10567
NCT01128894,LIRAGLUTIDE,uaa10602
NCT02229227,Insulin Glargine Plus Insulin Lispro,uaa11081
