nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT00838903,NCT00838903,b1,(Intercept),9.551,0.663,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,-0.363,0.934,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,-0.228,0.118,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,-0.689,0.75,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,-1.524,0.764,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,-0.938,0.765,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,0.038,0.164,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,0.777,1.069,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,1.445,1.07,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,0.701,1.074,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10381,0.098,0.134,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10382,0.243,0.137,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10384,0.132,0.137,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10381,-0.132,0.189,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10382,-0.225,0.189,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10:arm_f_2_uaa10384,-0.106,0.19,bocf,hba1c
NCT00838916,NCT00838916,b1,(Intercept),9.237,0.495,bocf,hba1c
NCT00838916,NCT00838916,b1,sex,-0.085,0.658,bocf,hba1c
NCT00838916,NCT00838916,b1,age10,-0.153,0.089,bocf,hba1c
NCT00838916,NCT00838916,b1,arm_f_2_uaa10386,0.079,0.609,bocf,hba1c
NCT00838916,NCT00838916,b1,sex:age10,0.019,0.118,bocf,hba1c
NCT00838916,NCT00838916,b1,sex:arm_f_2_uaa10386,-0.382,0.816,bocf,hba1c
NCT00838916,NCT00838916,b1,age10:arm_f_2_uaa10386,-0.036,0.109,bocf,hba1c
NCT00838916,NCT00838916,b1,sex:age10:arm_f_2_uaa10386,0.081,0.146,bocf,hba1c
NCT00839527,NCT00839527,b1,(Intercept),7.699,0.785,bocf,hba1c
NCT00839527,NCT00839527,b1,sex,1.978,0.976,bocf,hba1c
NCT00839527,NCT00839527,b1,age10,0.116,0.142,bocf,hba1c
NCT00839527,NCT00839527,b1,arm_f_2_uaa10389,1.108,0.89,bocf,hba1c
NCT00839527,NCT00839527,b1,arm_f_2_uaa10390,1.524,0.898,bocf,hba1c
NCT00839527,NCT00839527,b1,sex:age10,-0.378,0.175,bocf,hba1c
NCT00839527,NCT00839527,b1,sex:arm_f_2_uaa10389,-1.877,1.148,bocf,hba1c
NCT00839527,NCT00839527,b1,sex:arm_f_2_uaa10390,-2.081,1.15,bocf,hba1c
NCT00839527,NCT00839527,b1,age10:arm_f_2_uaa10389,-0.198,0.161,bocf,hba1c
NCT00839527,NCT00839527,b1,age10:arm_f_2_uaa10390,-0.268,0.162,bocf,hba1c
NCT00839527,NCT00839527,b1,sex:age10:arm_f_2_uaa10389,0.313,0.206,bocf,hba1c
NCT00839527,NCT00839527,b1,sex:age10:arm_f_2_uaa10390,0.375,0.205,bocf,hba1c
NCT00849017,NCT00849017,b1,(Intercept),8.817,0.563,bocf,hba1c
NCT00849017,NCT00849017,b1,sex,0.207,0.81,bocf,hba1c
NCT00849017,NCT00849017,b1,age10,-0.172,0.104,bocf,hba1c
NCT00849017,NCT00849017,b1,arm_f_2_uaa10393,-0.582,0.756,bocf,hba1c
NCT00849017,NCT00849017,b1,arm_f_2_uaa10394,-0.036,0.906,bocf,hba1c
NCT00849017,NCT00849017,b1,sex:age10,0.015,0.149,bocf,hba1c
NCT00849017,NCT00849017,b1,sex:arm_f_2_uaa10393,1.069,1.161,bocf,hba1c
NCT00849017,NCT00849017,b1,sex:arm_f_2_uaa10394,0.372,1.217,bocf,hba1c
NCT00849017,NCT00849017,b1,age10:arm_f_2_uaa10393,0.14,0.142,bocf,hba1c
NCT00849017,NCT00849017,b1,age10:arm_f_2_uaa10394,0.031,0.168,bocf,hba1c
NCT00849017,NCT00849017,b1,sex:age10:arm_f_2_uaa10393,-0.201,0.215,bocf,hba1c
NCT00849017,NCT00849017,b1,sex:age10:arm_f_2_uaa10394,-0.099,0.224,bocf,hba1c
NCT00849056,NCT00849056,b1,(Intercept),8.38,0.632,bocf,hba1c
NCT00849056,NCT00849056,b1,sex,0.3,0.841,bocf,hba1c
NCT00849056,NCT00849056,b1,age10,-0.032,0.114,bocf,hba1c
NCT00849056,NCT00849056,b1,arm_f_2_uaa10397,0.928,0.86,bocf,hba1c
NCT00849056,NCT00849056,b1,sex:age10,-0.074,0.151,bocf,hba1c
NCT00849056,NCT00849056,b1,sex:arm_f_2_uaa10397,-0.903,1.16,bocf,hba1c
NCT00849056,NCT00849056,b1,age10:arm_f_2_uaa10397,-0.167,0.156,bocf,hba1c
NCT00849056,NCT00849056,b1,sex:age10:arm_f_2_uaa10397,0.151,0.209,bocf,hba1c
NCT00976391,NCT00976391,b1,(Intercept),9.511,0.478,bocf,hba1c
NCT00976391,NCT00976391,b1,sex,-0.047,0.683,bocf,hba1c
NCT00976391,NCT00976391,b1,age10,-0.17,0.084,bocf,hba1c
NCT00976391,NCT00976391,b1,arm_f_2_uaa10467,-0.061,0.671,bocf,hba1c
NCT00976391,NCT00976391,b1,sex:age10,-0.017,0.12,bocf,hba1c
NCT00976391,NCT00976391,b1,sex:arm_f_2_uaa10467,0.319,0.943,bocf,hba1c
NCT00976391,NCT00976391,b1,age10:arm_f_2_uaa10467,0.01,0.119,bocf,hba1c
NCT00976391,NCT00976391,b1,sex:age10:arm_f_2_uaa10467,-0.055,0.167,bocf,hba1c
NCT01098539,NCT01098539,b1,(Intercept),9.299,0.591,bocf,hba1c
NCT01098539,NCT01098539,b1,sex,-1.08,0.847,bocf,hba1c
NCT01098539,NCT01098539,b1,age10,-0.174,0.094,bocf,hba1c
NCT01098539,NCT01098539,b1,arm_f_2_uaa10566,-0.331,0.929,bocf,hba1c
NCT01098539,NCT01098539,b1,sex:age10,0.161,0.132,bocf,hba1c
NCT01098539,NCT01098539,b1,sex:arm_f_2_uaa10566,1.176,1.251,bocf,hba1c
NCT01098539,NCT01098539,b1,age10:arm_f_2_uaa10566,0.028,0.148,bocf,hba1c
NCT01098539,NCT01098539,b1,sex:age10:arm_f_2_uaa10566,-0.171,0.196,bocf,hba1c
NCT01128894,NCT01128894,b1,(Intercept),8.972,0.362,bocf,hba1c
