nct_id,nct_id2,outcome,models,term,estimate,std.error,outcome_method
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),-9.027,1.072,incident_event
NCT00838903,NCT00838903,ae_gi,glm,age10,0.381,0.186,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,0.701,1.228,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,1.25,1.254,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,2.032,1.249,incident_event
NCT00838903,NCT00838903,ae_gi,glm,sex,-0.387,0.346,incident_event
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,-0.159,0.213,incident_event
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10382,-0.308,0.219,incident_event
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10384,-0.45,0.219,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381:sex,0.459,0.397,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382:sex,0.168,0.411,incident_event
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384:sex,-0.12,0.422,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),-6.171,2.011,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,age10,0.336,0.356,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,1.863,2.329,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,1.461,2.32,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,0.564,2.33,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,sex,-0.375,0.716,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10381,-0.303,0.412,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10382,-0.347,0.412,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10384,-0.078,0.413,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381:sex,0.493,0.826,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382:sex,-0.408,0.826,incident_event
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384:sex,-1.166,0.827,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,(Intercept),-9.063,1.565,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,age10,0.136,0.269,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10381,0.277,1.97,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10382,1.044,1.693,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10384,1.099,2.053,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,sex,0.043,0.561,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10381,-0.131,0.342,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10382,-0.025,0.293,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10384,-0.339,0.364,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10381:sex,-0.323,0.703,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10382:sex,-0.178,0.604,incident_event
NCT00838903,NCT00838903,ae_hypoglycaemia,glm,arm_f_2_uaa10384:sex,-0.346,0.741,incident_event
NCT00838903,NCT00838903,ae_sae,glm,(Intercept),-10.259,1.858,incident_event
NCT00838903,NCT00838903,ae_sae,glm,age10,0.337,0.313,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10381,0.072,2.177,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10382,-0.754,2.229,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10384,1.508,2.21,incident_event
NCT00838903,NCT00838903,ae_sae,glm,sex,-0.352,0.613,incident_event
NCT00838903,NCT00838903,ae_sae,glm,age10:arm_f_2_uaa10381,-0.016,0.367,incident_event
NCT00838903,NCT00838903,ae_sae,glm,age10:arm_f_2_uaa10382,0.066,0.377,incident_event
NCT00838903,NCT00838903,ae_sae,glm,age10:arm_f_2_uaa10384,-0.323,0.38,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10381:sex,-0.286,0.73,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10382:sex,0.281,0.725,incident_event
NCT00838903,NCT00838903,ae_sae,glm,arm_f_2_uaa10384:sex,-0.345,0.762,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,(Intercept),-10.252,1.859,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,age10,0.336,0.313,incident_event
