nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT00838903,NCT00838903,rcs,Intercept,3.121,1.965,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,0.481,0.046,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,0.268,0.438,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',-1.69,1.798,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',3.944,4.905,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,2.755,2.13,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,2.102,2.138,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,1.475,2.162,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,0.068,0.236,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10381,-0.78,0.485,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10381,2.746,2.03,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'' * arm_f=_2_uaa10381,-6.246,5.605,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10382,-0.509,0.487,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10382,0.826,2.036,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'' * arm_f=_2_uaa10382,-0.972,5.631,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10384,-0.416,0.492,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10384,1.423,2.057,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'' * arm_f=_2_uaa10384,-3.341,5.668,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381 * sex,0.048,0.272,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382 * sex,-0.081,0.272,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384 * sex,0.045,0.272,locf,hba1c
NCT00838916,NCT00838916,rcs,Intercept,5.142,1.049,locf,hba1c
NCT00838916,NCT00838916,rcs,value_1,0.421,0.042,locf,hba1c
NCT00838916,NCT00838916,rcs,age10,-0.257,0.224,locf,hba1c
NCT00838916,NCT00838916,rcs,age10',0.739,0.962,locf,hba1c
NCT00838916,NCT00838916,rcs,age10'',-1.322,2.7,locf,hba1c
NCT00838916,NCT00838916,rcs,arm_f=_2_uaa10386,-0.419,1.237,locf,hba1c
NCT00838916,NCT00838916,rcs,sex,-0.09,0.131,locf,hba1c
NCT00838916,NCT00838916,rcs,age10 * arm_f=_2_uaa10386,0.151,0.28,locf,hba1c
NCT00838916,NCT00838916,rcs,age10' * arm_f=_2_uaa10386,-1.173,1.189,locf,hba1c
NCT00838916,NCT00838916,rcs,age10'' * arm_f=_2_uaa10386,2.609,3.322,locf,hba1c
NCT00838916,NCT00838916,rcs,arm_f=_2_uaa10386 * sex,0.141,0.159,locf,hba1c
NCT00839527,NCT00839527,rcs,Intercept,4.46,1.694,locf,hba1c
NCT00839527,NCT00839527,rcs,value_1,0.551,0.046,locf,hba1c
NCT00839527,NCT00839527,rcs,age10,-0.116,0.377,locf,hba1c
