nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome_method,outcome
NCT00838903,NCT00838903,b1,3.866e-02,2.416e-02,8.154e-01,2.665e+00,5.487e-04,15,-1.219e+03,2.472e+03,2.556e+03,6.610e+02,994,1010,bocf,hba1c
NCT00838916,NCT00838916,b1,2.622e-02,1.698e-02,8.872e-01,2.839e+00,6.316e-03,7,-9.652e+02,1.948e+03,1.990e+03,5.809e+02,738,746,bocf,hba1c
NCT00839527,NCT00839527,b1,4.525e-02,2.910e-02,8.397e-01,2.801e+00,1.418e-03,11,-8.176e+02,1.661e+03,1.720e+03,4.583e+02,650,662,bocf,hba1c
NCT00849017,NCT00849017,b1,6.789e-02,3.216e-02,8.698e-01,1.900e+00,3.905e-02,11,-3.764e+02,7.789e+02,8.270e+02,2.172e+02,287,299,bocf,hba1c
NCT00849056,NCT00849056,b1,3.135e-02,8.205e-03,8.614e-01,1.355e+00,2.245e-01,7,-3.781e+02,7.743e+02,8.076e+02,2.174e+02,293,301,bocf,hba1c
NCT00976391,NCT00976391,b1,4.208e-02,3.004e-02,8.855e-01,3.495e+00,1.116e-03,7,-7.290e+02,1.476e+03,1.515e+03,4.368e+02,557,565,bocf,hba1c
NCT01098539,NCT01098539,b1,2.082e-02,6.685e-03,9.234e-01,1.473e+00,1.746e-01,7,-6.562e+02,1.330e+03,1.368e+03,4.135e+02,485,493,bocf,hba1c
NCT01128894,NCT01128894,b1,3.662e-02,2.823e-02,8.347e-01,4.366e+00,9.155e-05,7,-1.001e+03,2.021e+03,2.063e+03,5.602e+02,804,812,bocf,hba1c
NCT01733758,NCT01733758,b1,6.154e-02,3.196e-02,7.849e-01,2.081e+00,9.808e-03,15,-5.708e+02,1.176e+03,1.247e+03,2.932e+02,476,492,bocf,hba1c
NCT02229227,NCT02229227,b1,6.223e-03,-2.408e-03,6.170e-01,7.210e-01,6.543e-01,7,-7.580e+02,1.534e+03,1.576e+03,3.069e+02,806,814,bocf,hba1c
NCT02465515,NCT02465515,b1,7.894e-02,7.824e-02,1.487e+00,1.127e+02,3.636e-159,7,-1.672e+04,3.346e+04,3.352e+04,2.035e+04,9203,9211,bocf,hba1c
