nct_id,nct_id2,models,row,col,r,outcome_method,outcome
NCT00838903,NCT00838903,b1,(Intercept),sex,-0.71,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),age10,-0.985,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,age10,0.699,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10381,-0.885,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10381,0.628,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10381,0.871,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10382,-0.868,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10382,0.616,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10382,0.855,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,arm_f_2_uaa10382,0.768,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),arm_f_2_uaa10384,-0.867,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,arm_f_2_uaa10384,0.616,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,arm_f_2_uaa10384,0.854,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,arm_f_2_uaa10384,0.767,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,arm_f_2_uaa10384,0.753,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),sex:age10,0.712,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,sex:age10,-0.985,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,sex:age10,-0.722,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:age10,-0.629,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:age10,-0.618,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:age10,-0.617,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10381,0.621,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10381,-0.874,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10381,-0.611,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10381,-0.701,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10381,-0.539,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10381,-0.538,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10381,0.86,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10382,0.62,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10382,-0.873,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10382,-0.61,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10382,-0.548,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10382,-0.714,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10382,-0.537,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10382,0.859,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,sex:arm_f_2_uaa10382,0.763,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),sex:arm_f_2_uaa10384,0.618,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,sex:arm_f_2_uaa10384,-0.87,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,sex:arm_f_2_uaa10384,-0.609,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:arm_f_2_uaa10384,-0.546,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:arm_f_2_uaa10384,-0.536,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:arm_f_2_uaa10384,-0.713,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,sex:arm_f_2_uaa10384,0.857,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,sex:arm_f_2_uaa10384,0.76,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,sex:arm_f_2_uaa10384,0.759,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10381,0.872,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10381,-0.619,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10381,-0.885,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10381,-0.985,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10381,-0.757,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,age10:arm_f_2_uaa10381,-0.756,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,age10:arm_f_2_uaa10381,0.639,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,age10:arm_f_2_uaa10381,0.691,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,age10:arm_f_2_uaa10381,0.54,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,age10:arm_f_2_uaa10381,0.539,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10382,0.849,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10382,-0.603,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10382,-0.862,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10382,-0.751,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10382,-0.985,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,age10:arm_f_2_uaa10382,-0.736,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,age10:arm_f_2_uaa10382,0.623,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.527,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,age10:arm_f_2_uaa10382,0.703,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,age10:arm_f_2_uaa10382,0.525,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.763,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),age10:arm_f_2_uaa10384,0.851,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,age10:arm_f_2_uaa10384,-0.604,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,age10:arm_f_2_uaa10384,-0.864,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,age10:arm_f_2_uaa10384,-0.753,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,age10:arm_f_2_uaa10384,-0.739,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,age10:arm_f_2_uaa10384,-0.985,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,age10:arm_f_2_uaa10384,0.624,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,age10:arm_f_2_uaa10384,0.528,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10382,age10:arm_f_2_uaa10384,0.528,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10384,age10:arm_f_2_uaa10384,0.702,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10384,0.765,bocf,hba1c
NCT00838903,NCT00838903,b1,age10:arm_f_2_uaa10382,age10:arm_f_2_uaa10384,0.745,bocf,hba1c
NCT00838903,NCT00838903,b1,(Intercept),sex:age10:arm_f_2_uaa10381,-0.616,bocf,hba1c
NCT00838903,NCT00838903,b1,sex,sex:age10:arm_f_2_uaa10381,0.853,bocf,hba1c
NCT00838903,NCT00838903,b1,age10,sex:age10:arm_f_2_uaa10381,0.626,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10381,sex:age10:arm_f_2_uaa10381,0.696,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10382,sex:age10:arm_f_2_uaa10381,0.535,bocf,hba1c
NCT00838903,NCT00838903,b1,arm_f_2_uaa10384,sex:age10:arm_f_2_uaa10381,0.534,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:age10,sex:age10:arm_f_2_uaa10381,-0.866,bocf,hba1c
NCT00838903,NCT00838903,b1,sex:arm_f_2_uaa10381,sex:age10:arm_f_2_uaa10381,-0.984,bocf,hba1c
