nct_id,nct_id2,outcome,models,row,col,r
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),age10,-0.977
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10381,-0.873
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10381,0.853
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10382,-0.855
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10382,0.835
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,arm_f_2_uaa10382,0.747
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10384,-0.859
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10384,0.839
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,arm_f_2_uaa10384,0.75
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,arm_f_2_uaa10384,0.734
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),sex,0.118
NCT00838903,NCT00838903,ae_gi,glm,age10,sex,-0.265
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,sex,-0.103
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,sex,-0.101
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,sex,-0.101
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),age10:arm_f_2_uaa10381,0.854
NCT00838903,NCT00838903,ae_gi,glm,age10,age10:arm_f_2_uaa10381,-0.874
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,age10:arm_f_2_uaa10381,-0.977
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,age10:arm_f_2_uaa10381,-0.73
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,age10:arm_f_2_uaa10381,-0.733
NCT00838903,NCT00838903,ae_gi,glm,sex,age10:arm_f_2_uaa10381,0.232
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),age10:arm_f_2_uaa10382,0.829
NCT00838903,NCT00838903,ae_gi,glm,age10,age10:arm_f_2_uaa10382,-0.849
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,age10:arm_f_2_uaa10382,-0.724
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,age10:arm_f_2_uaa10382,-0.975
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,age10:arm_f_2_uaa10382,-0.712
NCT00838903,NCT00838903,ae_gi,glm,sex,age10:arm_f_2_uaa10382,0.225
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.742
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),age10:arm_f_2_uaa10384,0.83
NCT00838903,NCT00838903,ae_gi,glm,age10,age10:arm_f_2_uaa10384,-0.85
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,age10:arm_f_2_uaa10384,-0.725
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,age10:arm_f_2_uaa10384,-0.71
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,age10:arm_f_2_uaa10384,-0.976
NCT00838903,NCT00838903,ae_gi,glm,sex,age10:arm_f_2_uaa10384,0.226
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10384,0.743
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10382,age10:arm_f_2_uaa10384,0.721
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10381:sex,-0.103
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10381:sex,0.232
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,arm_f_2_uaa10381:sex,0.041
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,arm_f_2_uaa10381:sex,0.088
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,arm_f_2_uaa10381:sex,0.088
NCT00838903,NCT00838903,ae_gi,glm,sex,arm_f_2_uaa10381:sex,-0.873
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,arm_f_2_uaa10381:sex,-0.188
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10382,arm_f_2_uaa10381:sex,-0.197
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10384,arm_f_2_uaa10381:sex,-0.197
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10382:sex,-0.099
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10382:sex,0.223
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,arm_f_2_uaa10382:sex,0.086
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,arm_f_2_uaa10382:sex,0.066
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,arm_f_2_uaa10382:sex,0.085
NCT00838903,NCT00838903,ae_gi,glm,sex,arm_f_2_uaa10382:sex,-0.842
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,arm_f_2_uaa10382:sex,-0.195
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10382,arm_f_2_uaa10382:sex,-0.218
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10384,arm_f_2_uaa10382:sex,-0.19
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381:sex,arm_f_2_uaa10382:sex,0.735
NCT00838903,NCT00838903,ae_gi,glm,(Intercept),arm_f_2_uaa10384:sex,-0.096
NCT00838903,NCT00838903,ae_gi,glm,age10,arm_f_2_uaa10384:sex,0.218
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381,arm_f_2_uaa10384:sex,0.084
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382,arm_f_2_uaa10384:sex,0.082
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10384,arm_f_2_uaa10384:sex,0.043
NCT00838903,NCT00838903,ae_gi,glm,sex,arm_f_2_uaa10384:sex,-0.82
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10381,arm_f_2_uaa10384:sex,-0.19
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10382,arm_f_2_uaa10384:sex,-0.185
NCT00838903,NCT00838903,ae_gi,glm,age10:arm_f_2_uaa10384,arm_f_2_uaa10384:sex,-0.185
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10381:sex,arm_f_2_uaa10384:sex,0.716
NCT00838903,NCT00838903,ae_gi,glm,arm_f_2_uaa10382:sex,arm_f_2_uaa10384:sex,0.69
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),age10,-0.969
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),arm_f_2_uaa10381,-0.863
NCT00838903,NCT00838903,ae_gi,glmnb,age10,arm_f_2_uaa10381,0.836
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),arm_f_2_uaa10382,-0.867
NCT00838903,NCT00838903,ae_gi,glmnb,age10,arm_f_2_uaa10382,0.84
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,arm_f_2_uaa10382,0.748
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),arm_f_2_uaa10384,-0.863
NCT00838903,NCT00838903,ae_gi,glmnb,age10,arm_f_2_uaa10384,0.836
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,arm_f_2_uaa10384,0.745
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,arm_f_2_uaa10384,0.748
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),sex,-0.035
NCT00838903,NCT00838903,ae_gi,glmnb,age10,sex,-0.142
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,sex,0.031
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,sex,0.031
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,sex,0.031
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),age10:arm_f_2_uaa10381,0.837
NCT00838903,NCT00838903,ae_gi,glmnb,age10,age10:arm_f_2_uaa10381,-0.864
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,age10:arm_f_2_uaa10381,-0.97
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,age10:arm_f_2_uaa10381,-0.726
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,age10:arm_f_2_uaa10381,-0.722
NCT00838903,NCT00838903,ae_gi,glmnb,sex,age10:arm_f_2_uaa10381,0.123
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),age10:arm_f_2_uaa10382,0.836
NCT00838903,NCT00838903,ae_gi,glmnb,age10,age10:arm_f_2_uaa10382,-0.863
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,age10:arm_f_2_uaa10382,-0.722
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,age10:arm_f_2_uaa10382,-0.968
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,age10:arm_f_2_uaa10382,-0.721
NCT00838903,NCT00838903,ae_gi,glmnb,sex,age10:arm_f_2_uaa10382,0.123
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10382,0.746
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),age10:arm_f_2_uaa10384,0.835
NCT00838903,NCT00838903,ae_gi,glmnb,age10,age10:arm_f_2_uaa10384,-0.861
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,age10:arm_f_2_uaa10384,-0.72
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,age10:arm_f_2_uaa10384,-0.723
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,age10:arm_f_2_uaa10384,-0.969
NCT00838903,NCT00838903,ae_gi,glmnb,sex,age10:arm_f_2_uaa10384,0.122
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10381,age10:arm_f_2_uaa10384,0.744
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10382,age10:arm_f_2_uaa10384,0.743
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),arm_f_2_uaa10381:sex,0.031
NCT00838903,NCT00838903,ae_gi,glmnb,age10,arm_f_2_uaa10381:sex,0.123
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,arm_f_2_uaa10381:sex,-0.09
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,arm_f_2_uaa10381:sex,-0.027
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10384,arm_f_2_uaa10381:sex,-0.026
NCT00838903,NCT00838903,ae_gi,glmnb,sex,arm_f_2_uaa10381:sex,-0.866
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10381,arm_f_2_uaa10381:sex,-0.081
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10382,arm_f_2_uaa10381:sex,-0.106
NCT00838903,NCT00838903,ae_gi,glmnb,age10:arm_f_2_uaa10384,arm_f_2_uaa10381:sex,-0.106
NCT00838903,NCT00838903,ae_gi,glmnb,(Intercept),arm_f_2_uaa10382:sex,0.031
NCT00838903,NCT00838903,ae_gi,glmnb,age10,arm_f_2_uaa10382:sex,0.123
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10381,arm_f_2_uaa10382:sex,-0.026
NCT00838903,NCT00838903,ae_gi,glmnb,arm_f_2_uaa10382,arm_f_2_uaa10382:sex,-0.052
