nct_id,nct_id2,models,row,col,r,outcome_method,outcome
NCT00838903,NCT00838903,rcs,Intercept,value_1,-0.203,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10,-0.972,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10,0.002,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10',0.833,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10',0.038,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10',-0.902,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10'',-0.756,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10'',-0.044,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10'',0.831,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10'',-0.985,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,arm_f=_2_uaa10381,-0.885,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,arm_f=_2_uaa10381,0,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,arm_f=_2_uaa10381,0.896,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',arm_f=_2_uaa10381,-0.776,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',arm_f=_2_uaa10381,0.706,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,arm_f=_2_uaa10382,-0.888,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,arm_f=_2_uaa10382,0.032,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,arm_f=_2_uaa10382,0.893,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',arm_f=_2_uaa10382,-0.772,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',arm_f=_2_uaa10382,0.702,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,arm_f=_2_uaa10382,0.813,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,arm_f=_2_uaa10384,-0.87,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,arm_f=_2_uaa10384,-0.009,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,arm_f=_2_uaa10384,0.883,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',arm_f=_2_uaa10384,-0.765,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',arm_f=_2_uaa10384,0.696,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,arm_f=_2_uaa10384,0.804,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,arm_f=_2_uaa10384,0.801,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,sex,0.046,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,sex,0.038,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,sex,-0.117,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',sex,0.139,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',sex,-0.154,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,sex,-0.05,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,sex,-0.049,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,sex,-0.05,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10 * arm_f=_2_uaa10381,0.876,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10 * arm_f=_2_uaa10381,0.006,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10 * arm_f=_2_uaa10381,-0.903,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10 * arm_f=_2_uaa10381,0.815,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',age10 * arm_f=_2_uaa10381,-0.751,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,age10 * arm_f=_2_uaa10381,-0.992,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,age10 * arm_f=_2_uaa10381,-0.806,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,age10 * arm_f=_2_uaa10381,-0.798,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,age10 * arm_f=_2_uaa10381,0.106,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10' * arm_f=_2_uaa10381,-0.741,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10' * arm_f=_2_uaa10381,-0.019,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10' * arm_f=_2_uaa10381,0.799,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10' * arm_f=_2_uaa10381,-0.885,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',age10' * arm_f=_2_uaa10381,0.872,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10381,0.852,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,age10' * arm_f=_2_uaa10381,0.684,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,age10' * arm_f=_2_uaa10381,0.677,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,age10' * arm_f=_2_uaa10381,-0.123,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10381,-0.897,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10'' * arm_f=_2_uaa10381,0.665,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10'' * arm_f=_2_uaa10381,0.023,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10'' * arm_f=_2_uaa10381,-0.727,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10'' * arm_f=_2_uaa10381,0.862,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',age10'' * arm_f=_2_uaa10381,-0.874,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,age10'' * arm_f=_2_uaa10381,-0.77,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,age10'' * arm_f=_2_uaa10381,-0.615,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,age10'' * arm_f=_2_uaa10381,-0.609,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,age10'' * arm_f=_2_uaa10381,0.135,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10381,age10'' * arm_f=_2_uaa10381,0.821,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10381,age10'' * arm_f=_2_uaa10381,-0.984,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10 * arm_f=_2_uaa10382,0.878,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10 * arm_f=_2_uaa10382,-0.022,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10 * arm_f=_2_uaa10382,-0.899,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10 * arm_f=_2_uaa10382,0.811,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',age10 * arm_f=_2_uaa10382,-0.747,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,age10 * arm_f=_2_uaa10382,-0.806,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,age10 * arm_f=_2_uaa10382,-0.992,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,age10 * arm_f=_2_uaa10382,-0.794,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,age10 * arm_f=_2_uaa10382,0.104,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10381,age10 * arm_f=_2_uaa10382,0.812,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10381,age10 * arm_f=_2_uaa10382,-0.719,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'' * arm_f=_2_uaa10381,age10 * arm_f=_2_uaa10382,0.654,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10' * arm_f=_2_uaa10382,-0.741,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10' * arm_f=_2_uaa10382,-0.008,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10' * arm_f=_2_uaa10382,0.797,locf,hba1c
NCT00838903,NCT00838903,rcs,age10',age10' * arm_f=_2_uaa10382,-0.882,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'',age10' * arm_f=_2_uaa10382,0.869,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10382,0.685,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10382,age10' * arm_f=_2_uaa10382,0.851,locf,hba1c
NCT00838903,NCT00838903,rcs,arm_f=_2_uaa10384,age10' * arm_f=_2_uaa10382,0.675,locf,hba1c
NCT00838903,NCT00838903,rcs,sex,age10' * arm_f=_2_uaa10382,-0.122,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10382,-0.72,locf,hba1c
NCT00838903,NCT00838903,rcs,age10' * arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10382,0.781,locf,hba1c
NCT00838903,NCT00838903,rcs,age10'' * arm_f=_2_uaa10381,age10' * arm_f=_2_uaa10382,-0.761,locf,hba1c
NCT00838903,NCT00838903,rcs,age10 * arm_f=_2_uaa10382,age10' * arm_f=_2_uaa10382,-0.896,locf,hba1c
NCT00838903,NCT00838903,rcs,Intercept,age10'' * arm_f=_2_uaa10382,0.663,locf,hba1c
NCT00838903,NCT00838903,rcs,value_1,age10'' * arm_f=_2_uaa10382,0.017,locf,hba1c
NCT00838903,NCT00838903,rcs,age10,age10'' * arm_f=_2_uaa10382,-0.724,locf,hba1c
