trial_id,outcome,inrob,srch_rnd,covidence_id,study_id,reviewer,sequence_generation_judge,allocation_concealment_judge,blinding_participant,blinding_assessor,incomplete_outcome_data,selective_outcome_reporting,note,allocation_concealment_quote,allocation_concealment_comment,blinding_assessor_judge,blinding_assessor_quote,blinding_assessor_comment,blinding_participant_judge,blinding_participant_quote,blinding_participant_comment,incomplete_outcome_data_judge,incomplete_outcome_data_quote,incomplete_outcome_data_comment,other_bias_judge,other_bias_quote,other_bias_comment,selective_outcome_reporting_judge,selective_outcome_reporting_quote,selective_outcome_reporting_comment,sequence_generation_quote,sequence_generation_comment
100-IRMI/PRI 16/6/2 (007/2017),hba1c and or MACE,y,updat,,,DM,Low,Low,Low,Unclear,Unclear,Low,,,,,,,,,,,,,,,,,,,,
2004-004559-21,hba1c and or MACE,y,orig,,,ELB,unclear,unclear,,,,,,,,low,,,low,,,low,,,low,,,unclear,,,,
2012-001941-42,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Probably no,Definitely yes (low risk of bias),Probably yes,Definitely yes (low risk of bias),Probably yes,,,,,,,,,,,,,,,,,,,,
2014-003923-23,hba1c and or MACE,y,orig,#8372,Miras 2019,"SA,LW","low,unclear","low,unclear",,,,,,,,low,,,low,,,low,,,low,,,low,,,,
2016-000172-19,hba1c and or MACE,y,updat,,,DM,Low,Low,Low,Low,Unclear,Low,,,,,,,,,,,,,,,,,,,,
2016-000574-38,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),,,,,,,,,,,,,,,,,,,,
2016-002225-10,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely yes (low risk of bias),Probably no,Definitely yes (low risk of bias),Probably yes,Definitely yes (low risk of bias),,,,,,,,,,,,,,,,,,,,
2017-001779-22,weight only,y,updat,,,DM,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
ACTRN12616001059459,hba1c and or MACE,y,updat,,,DM,Unclear,Unclear,Low,Unclear,Unclear,Low,,,,,,,,,,,,,,,,,,,,
ChiCTR1800015296,hba1c and or MACE,y,updat,,,DM,Unclear,Unclear,High,High,Unclear,Low,,,,,,,,,,,,,,,,,,,,
ChiCTR-1800015658,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely no (high risk of bias),Definitely no (high risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely no (high risk of bias),,,,,,,,,,,,,,,,,,,,
ChiCTR2000035091,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely no (high risk of bias),Definitely no (high risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),,,,,,,,,,,,,,,,,,,,
ChiCTR2000037951,hba1c and or MACE,y,updat,,,DM,Unclear,Unclear,High,High,Unclear,Low,,,,,,,,,,,,,,,,,,,,
ChiCTR2100054678,hba1c and or MACE,y,updat,,,DM,Low,Low,Low,Unclear,Unclear,Low,,,,,,,,,,,,,,,,,,,,
ChiCTR-IPR-14005568,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Probably no,Definitely no (high risk of bias),Probably no,Definitely yes (low risk of bias),Probably yes,,,,,,,,,,,,,,,,,,,,
ChiCTR-IPR-16008578,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
ChiCTR-IPR-17010825,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Probably yes,Definitely yes (low risk of bias),Probably yes,,,,,,,,,,,,,,,,,,,,
