trial_id,enrollment
NCT00968708,5380
NCT01032629,4330
NCT01131676,7064
NCT01144338,14752
NCT01147250,6068
NCT01179048,9341
NCT01243424,6103
NCT01394952,9901
NCT01717911,160
NCT01720446,3297
NCT01730534,17190
NCT01794143,5047
NCT01885208,813
NCT01930188,1231
NCT01986881,8246
NCT01989754,5813
NCT02054897,388
NCT02065791,4401
NCT02128932,1089
NCT02162550,148
NCT02207374,601
NCT02231021,216
NCT02254291,308
NCT02303730,76
NCT02305381,397
NCT02338921,78
NCT02465515,9463
NCT02551874,650
NCT02564926,125
NCT02607865,1864
NCT02609815,70
NCT02653209,525
NCT02692716,3183
NCT02787551,514
NCT02827708,324
NCT02849080,504
NCT02863328,822
NCT02863419,711
NCT02906930,703
NCT02919345,98
NCT02932436,144
NCT03015220,458
NCT03018028,243
NCT03021187,731
NCT03036150,4304
NCT03057951,5988
NCT03057977,3730
NCT03076112,170
NCT03086330,302
NCT03178591,43
NCT03191396,577
NCT03194945,412
NCT03222765,1000
NCT03254849,75
NCT03259789,351
NCT03315143,10584
NCT03421119,300
NCT03496298,4076
NCT03521934,1222
NCT03548935,1961
NCT03552757,1210
NCT03596450,1278
NCT03611582,611
NCT03619213,6263
NCT03684642,908
NCT03693430,304
NCT03713684,370
NCT03717194,102
NCT03730662,2002
NCT03767543,265
NCT03770728,312
NCT03811548,442
NCT03819153,3533
NCT03829891,60
NCT03842267,315
NCT03851432,390
NCT03861039,443
NCT03861052,636
NCT03862716,159
NCT03882970,1444
NCT03951753,117
NCT03954834,478
NCT03959501,60
NCT03987919,1879
NCT04017832,1441
NCT04039503,475
NCT04061200,80
NCT04109547,521
NCT04153929,413
NCT04161430,766
NCT04170998,283
NCT04183868,26
NCT04233801,219
NCT04238702,24
NCT04240171,60
NCT04255238,468
NCT04255433,13299
NCT04356742,198
NCT04451837,200
NCT04504370,273
NCT04504396,620
NCT04509674,6522
NCT04531462,129
NCT04538352,60
NCT04556851,476
NCT04564872,465
NCT04632862,140
NCT04634500,200
NCT04654390,270
NCT04657003,938
NCT04667143,760
NCT04810507,89
NCT04885712,378
NCT05054842,174
NCT05101135,256
NCT05159882,390
NCT05226897,256
NCT05376969,159
NCT05457933,250
NCT05579119,76
NCT05591235,60
NCT05606471,45
NCT05663736,80
NCT05782192,458
NCT05977465,50
NCT06329674,235
UMIN000010376,176
UMIN000010385,84
UMIN000015170,103
UMIN000017607,340
UMIN000018084,175
UMIN000018440,479
UMIN000018936,18
UMIN000019457,36
UMIN000024502,117
UMIN000028014,340
UMIN000030343,187
UMIN000032601,340
UMIN000033867,61
UMIN000040044,32
UMIN000040611,66
UMIN000044264,120
UMIN000049408,35
UMIN000055121,266
CTRI/2021/10/037461,274
IRCT201704246712N3,90
ACTRN12618001907235,300
CTRI/2018/03/012603,40
ChiCTR2200057800,150
ChiCTR2300070919,80
ChiCTR1800018825,80
CTRI/2019/02/017410,40
ChiCTR2000040656,315
IRCT20220928056051N1,60
CTRI/2022/08/044563,232
IRCT20210730052022N1,50
IRCT20171030037093N11,80
KCT0003520,96
KCT0006157,152
ChiCTR1800015822,60
CTRI/2021/11/038176,402
CTRI/2020/11/029176,250
CTRI/2020/02/023120,60
CTRI/2022/01/039857,274
CTRI/2021/10/037461,274
ChiCTR1900026514,20
EUCTR2017-004709-42-NL,17
ACTRN12613000418774,50
ChiCTR2200056410,2006
IRCT20191209045671N2,60
IRCT20170513033941N66,60
ChiCTR2000037951,24
ChiCTR1800015658,66
ChiCTR20190599,32
CTR20200157,446
CTR20200172,504
KILI20190102,85
U1111-1257-5069 ,616
UMIN 000031651,41
UMIN000018440,482
UMIN-CTR 000024164,50
Vivli ID: 00007609,9463
EudraCT 2015-005402-11,27
EudraCT 2019-000781-38,120
EudraCT 2019-000979-16,29
EudraCT 2019-004303-12,16
EudraCT 2019-004447-80,19
EudraCT Number: 2013-004042-42,50
EudraCT 2015 004527-32,44
EudraCT 2017-003370-13,887
JapicCTI-173769,213
jRCT1011210032,174
jRCT1011220005,73
JRCT1071220089,482
jRCTs031180241,623
jRCTs031180440,50
JRCTs031200437,216
jRCTs051180135,294
JRCTs1011200008,110
