co_id,time_avg,decision,trial_id,reason_exclucion
37,01:14,EXCLUDED,,Wrong outcomes
40,01:05,EXCLUDED,,Wrong comparator
88,00:44,EXCLUDED,-,Wrong comparator
138,00:31,EXCLUDED,,Wrong study design
216,00:38,EXCLUDED,,Wrong study design
220,01:10,EXCLUDED,,Wrong outcomes
244,01:38,EXCLUDED,,Wrong outcomes
277,02:19,EXCLUDED,NCT04509674,Wrong patient population
386,01:57,EXCLUDED,,Wrong intervention
454,02:37,EXCLUDED,,Wrong outcomes
571,01:53,EXCLUDED,,Wrong comparator
577,00:52,EXCLUDED,,Wrong study design
638,01:07,EXCLUDED,,Wrong intervention
645,01:46,EXCLUDED,EudraCT number 2015-004571-73,Wrong patient population
711,01:48,EXCLUDED,,Wrong outcomes
820,01:32,EXCLUDED,NCT05006885,Wrong patient population
865,01:02,EXCLUDED,UMIN000026791,Wrong outcomes
1074,02:13,EXCLUDED,,Wrong intervention
1077,01:44,EXCLUDED,NCT03878706,Wrong outcomes
1128,02:36,EXCLUDED,,Wrong comparator
1167,01:57,EXCLUDED,,Wrong publication type
1168,01:19,EXCLUDED,,Wrong patient population
1184,01:24,EXCLUDED,,Wrong comparator
1251,01:37,EXCLUDED,,Wrong publication type
1252,01:33,EXCLUDED,,Wrong comparator
1369,01:09,EXCLUDED,,Wrong outcomes
1438,00:44,EXCLUDED,,Wrong study design
1446,00:47,EXCLUDED,,Wrong study design
1453,01:08,EXCLUDED,NCT04143321,Wrong outcomes
1540,02:24,EXCLUDED,,Wrong patient population
1634,01:46,EXCLUDED,2019-004303-12; 2019-004447-80; 2019-004467-50,Wrong study design
1712,01:26,EXCLUDED,,Wrong patient population
1753,01:15,EXCLUDED,,Wrong study design
1779,01:40,EXCLUDED,,Wrong outcomes
1787,00:16,EXCLUDED,,Wrong study design
1825,00:56,EXCLUDED,EUDRACT number 2013-004264-60,Wrong study design
1832,00:51,EXCLUDED,-,Wrong study design
1934,02:32,EXCLUDED,,Wrong intervention
1949,00:54,EXCLUDED,,Wrong study design
1958,01:45,EXCLUDED,,Wrong dose
2000,02:14,EXCLUDED,,Wrong outcomes
2097,02:13,EXCLUDED,,Wrong comparator
2135,02:16,EXCLUDED,-,Wrong study design
2185,00:55,EXCLUDED,,Wrong study design
2215,00:38,EXCLUDED,,Wrong publication type
2337,01:39,EXCLUDED,-,Wrong study design
2374,00:40,EXCLUDED,,Wrong patient population
2550,00:18,EXCLUDED,,Wrong study design
2565,01:30,EXCLUDED,-,Wrong study design
12,01:18,INCLUDED,CTRI/2021/10/037461,
22,01:17,INCLUDED,UMIN000033867,
44,01:03,INCLUDED,NCT03315143; NCT03521934,
45,00:40,INCLUDED,IRCT201704246712N3,
58,01:48,INCLUDED,UMIN000018936,
86,01:09,INCLUDED,Unreported ID,
122,01:56,INCLUDED,NCT05606471,
127,01:21,INCLUDED,NCT01720446; NCT02692716,
134,01:05,INCLUDED,NCT02054897; NCT01930188; NCT02305381; NCT03086330,
142,02:20,INCLUDED,NCT02054897; NCT01930188;  NCT01885208; NCT02128932; NCT02305381; NCT01720446; NCT02207374;  NCT02254291;  NCT02906930;  NCT02863328; NCT02607865;  NCT02863419;  NCT02827708; NCT02692716; NCT02849080;   NCT03021187;   NCT03018028; NCT03015220,
143,01:37,INCLUDED,NCT03684642; NCT03713684; NCT03770728 ,
149,01:26,INCLUDED,NCT01147250; NCT01179048; NCT01720446; NCT02692716; NCT01144338; NCT02465515; NCT01394952; NCT03496298,
201,00:52,INCLUDED,Unreported ID,
