trial_id,enrolled
EUCTR2017-004709-42-NL,17
NL-OMON24855,17
NCT05659550,21
NCT05646407,32
CTRI/2019/02/017410,40
CTRI/2018/03/012603,40
IRCT20210730052022N1,50
JPRN-UMIN000040044,50
JPRN-UMIN000018936,50
ACTRN12613000418774,50
NCT05987462,60
IRCT20220928056051N1,60
IRCT20191209045671N2,60
CTRI/2020/02/023120,60
IRCT20170513033941N66,60
NCT05317611,63
JPRN-jRCT1011220005,70
IRCT20171030037093N11,80
JPRN-UMIN000010385,80
IRCT201704246712N3,90
KCT0003520,96
JPRN-jRCTs031180440,100
NCT00306436,100
JPRN-UMIN000015170,106
KCT0006157,152
JPRN-jRCT1011210032,172
JPRN-UMIN000045270,172
JPRN-jRCTs051180112,200
JPRN-UMIN000030343,200
JPRN-UMIN000010376,200
JPRN-jRCT2080223713,212
JPRN-jRCTs031200437,216
CTRI/2022/08/044563,232
CTRI/2020/11/029176,250
CTRI/2021/10/037461,274
JPRN-jRCTs051180135,288
JPRN-UMIN000025102,288
ACTRN12618001907235,300
JPRN-jRCTs051180031,340
JPRN-UMIN000032601,340
JPRN-UMIN000028014,340
JPRN-UMIN000017607,340
CTRI/2021/11/038176,402
JPRN-jRCT1071220089,482
NCT04916470,617
CTRI/2019/03/018075,864
JPRN-jRCTs031180241,1000
ChiCTR2000040656,315
ChiCTR1800015822,60
ChiCTR1900026514,20
ChiCTR2000037951,24
ChiCTR2200057800,150
ChiCTR2200056410,2006
ChiCTR2300070919,80
ChiCTR1800018825,80
CTRI/2022/01/039857,
