nct_id,arm,sex,participants,r,age_m,age_s,Number of quantiles,Censored at quantiles (%)
NCT02065791,Cana 100 mg,F,228,0,45,0,9,"0=260, 5=676, 24=765, 30=837, 48=924, 63=1048, 79=1128, 96=1314, 100=1439"
NCT02065791,Cana 100 mg,M,457,0,45,0,9,"0=96, 1=542, 6=672, 40=856, 54=995, 63=1037, 87=1204, 98=1371, 100=1653"
NCT02065791,Placebo,F,233,0,45,0,16,"0=162, 2=574, 7=690, 9=703, 17=719, 22=751, 25=754, 28=765, 31=815, 54=960, 59=1014, 64=1030, 76=1128, 79=1134, 94=1263, 100=1477"
NCT02065791,Placebo,M,445,0,45,0,10,"0=296, 2=667, 23=771, 25=802, 50=949, 51=974, 69=1080, 85=1225, 91=1255, 100=1485"
NCT02065791,Cana 100 mg,F,391,0,60,0,11,"0=80, 1=441, 5=680, 24=763, 31=831, 43=886, 56=1005, 72=1087, 84=1186, 98=1366, 100=1578"
NCT02065791,Cana 100 mg,M,729,0,60,0,9,"0=31, 4=689, 17=754, 26=837, 46=984, 60=1047, 90=1277, 98=1394, 100=1621"
NCT02065791,Placebo,F,370,0,60,0,11,"0=144, 4=671, 8=705, 19=743, 25=802, 44=908, 51=979, 62=1031, 84=1195, 98=1406, 100=1602"
NCT02065791,Placebo,M,690,0,60,0,10,"0=49, 2=581, 5=675, 22=765, 28=828, 42=904, 50=993, 92=1277, 98=1392, 100=1628"
NCT02065791,Cana 100 mg,F,71,0,75,0,9,"0=637, 1=697, 16=727, 46=925, 54=1029, 67=1053, 91=1175, 99=1296, 100=1512"
NCT02065791,Cana 100 mg,M,109,0,75,0,15,"0=307, 2=610, 6=683, 11=733, 15=736, 20=773, 24=869, 36=927, 49=1029, 51=1066, 91=1314, 93=1375, 96=1387, 99=1422, 100=1478"
NCT02065791,Placebo,F,50,0,75,0,19,"0=649, 4=715, 8=723, 14=809, 20=845, 22=896, 24=905, 31=917, 33=919, 35=919, 39=931, 41=966, 51=1011, 59=1069, 76=1133, 84=1185, 94=1339, 98=1342, 100=1388"
NCT02065791,Placebo,M,142,0,75,0,9,"0=262, 6=686, 12=702, 19=756, 43=993, 53=1024, 70=1114, 93=1297, 100=1543"
