nct_id,arm,sex,age,events,pt_tot,time_t_m,time_t_s
NCT02065791,Cana 100 mg,F,45,27,14921,-0.871,1.234
NCT02065791,Cana 100 mg,F,60,40,19552,-1.044,1.021
NCT02065791,Cana 100 mg,F,75,5,2863,-0.672,0.539
NCT02065791,Cana 100 mg,M,45,33,14776,-1.199,0.992
NCT02065791,Cana 100 mg,M,60,88,50078,-0.889,1.268
NCT02065791,Cana 100 mg,M,75,24,11706,-1.051,1.047
NCT02065791,Placebo,F,45,20,11659,-0.826,1.224
NCT02065791,Placebo,F,60,45,24244,-0.954,1.154
NCT02065791,Placebo,F,75,14,7009,-0.976,0.886
NCT02065791,Placebo,M,45,53,27951,-0.944,1.037
NCT02065791,Placebo,M,60,120,61691,-1.046,1.257
NCT02065791,Placebo,M,75,17,7306,-1.373,1.278
