repo,nct_id,models,term,estimate,std.error,statistic,p.value,conf.low,conf.high
6115,NCT00968708,f1,arm_falogliptin,-0.049,0.08,-0.609,0.5427,-0.206,0.108
6115,NCT00968708,f2,arm_falogliptin,-0.054,0.08,-0.679,0.4973,-0.212,0.103
6115,NCT00968708,f2,age10c,0.328,0.042,7.795,6.436e-15,0.245,0.41
6115,NCT00968708,f2,sexMALE,-0.13,0.084,-1.545,0.1224,-0.296,0.035
6115,NCT00968708,f3,age10c,0.296,0.058,5.137,2.795e-7,0.183,0.409
6115,NCT00968708,f3,arm_falogliptin,-0.088,0.086,-1.013,0.311,-0.257,0.082
6115,NCT00968708,f3,age10c:arm_falogliptin,0.088,0.083,1.063,0.2876,-0.074,0.251
6115,NCT00968708,f4,sexMALE,-0.332,0.116,-2.873,0.004062,-0.558,-0.106
6115,NCT00968708,f4,arm_falogliptin,-0.164,0.132,-1.237,0.2161,-0.423,0.096
6115,NCT00968708,f4,sexMALE:arm_falogliptin,0.18,0.167,1.078,0.281,-0.147,0.506
6115,NCT00968708,f5,age10c,0.276,0.059,4.72,2.359e-6,0.161,0.391
6115,NCT00968708,f5,arm_falogliptin,-0.232,0.142,-1.633,0.1025,-0.51,0.046
6115,NCT00968708,f5,sexMALE,-0.236,0.117,-2.009,0.04457,-0.466,-0.006
6115,NCT00968708,f5,age10c:arm_falogliptin,0.107,0.084,1.265,0.2058,-0.058,0.271
6115,NCT00968708,f5,arm_falogliptin:sexMALE,0.216,0.169,1.277,0.2017,-0.116,0.547
8697,NCT02465515,f1,arm_falbiglutide,-0.249,0.073,-3.427,6.096e-4,-0.392,-0.107
8697,NCT01131676,f1,arm_fbi 10773 10mg,-0.163,0.087,-1.861,0.06274,-0.334,0.009
8697,NCT01131676,f1,arm_fbi 10773 25mg,-0.152,0.087,-1.748,0.0804,-0.323,0.018
8697,NCT01032629,f1,arm_fjnj-28431754-300 mg,-0.183,0.096,-1.897,0.05779,-0.371,0.006
8697,NCT01032629,f1,arm_fjnj-28431754-100 mg,-0.068,0.094,-0.727,0.4671,-0.251,0.115
8697,NCT01989754,f1,arm_fcanagliflozin,-0.232,0.11,-2.114,0.0345,-0.446,-0.017
8697,NCT02065791,f1,arm_fcana 100 mg,-0.23,0.091,-2.52,0.01174,-0.409,-0.051
8697,NCT02465515,f2,arm_falbiglutide,-0.247,0.073,-3.386,7.095e-4,-0.389,-0.104
8697,NCT02465515,f2,age10c,0.201,0.043,4.717,2.398e-6,0.118,0.285
8697,NCT02465515,f2,sexM,0.233,0.082,2.826,0.004715,0.071,0.394
8697,NCT01131676,f2,arm_fbi 10773 10mg,-0.155,0.087,-1.777,0.07549,-0.327,0.016
8697,NCT01131676,f2,arm_fbi 10773 25mg,-0.149,0.087,-1.711,0.08717,-0.32,0.022
8697,NCT01131676,f2,age10c,0.248,0.043,5.801,6.586e-9,0.164,0.331
8697,NCT01131676,f2,sexM,0.185,0.083,2.221,0.02638,0.022,0.348
8697,NCT01032629,f2,arm_fjnj-28431754-300 mg,-0.2,0.096,-2.076,0.03793,-0.389,-0.011
8697,NCT01032629,f2,arm_fjnj-28431754-100 mg,-0.066,0.094,-0.701,0.4831,-0.249,0.118
8697,NCT01032629,f2,age10c,0.325,0.049,6.596,4.236e-11,0.228,0.421
8697,NCT01032629,f2,sexM,0.227,0.086,2.655,0.007921,0.06,0.395
8697,NCT01989754,f2,arm_fcanagliflozin,-0.244,0.11,-2.223,0.02621,-0.458,-0.029
8697,NCT01989754,f2,age10c,0.408,0.067,6.124,9.105e-10,0.277,0.538
8697,NCT01989754,f2,sexM,0.526,0.124,4.238,2.26e-5,0.283,0.769
8697,NCT02065791,f2,arm_fcana 100 mg,-0.229,0.091,-2.505,0.01223,-0.407,-0.05
8697,NCT02065791,f2,age10c,0.154,0.048,3.18,0.001475,0.059,0.249
8697,NCT02065791,f2,sexM,0.114,0.098,1.164,0.2444,-0.078,0.306
8697,NCT02465515,f3,age10c,0.162,0.057,2.817,0.004853,0.049,0.274
8697,NCT02465515,f3,arm_falbiglutide,-0.294,0.088,-3.359,7.828e-4,-0.466,-0.123
8697,NCT02465515,f3,age10c:arm_falbiglutide,0.088,0.086,1.027,0.3044,-0.08,0.257
8697,NCT01131676,f3,age10c,0.358,0.07,5.128,2.929e-7,0.221,0.495
8697,NCT01131676,f3,arm_fbi 10773 10mg,-0.035,0.1,-0.348,0.7277,-0.231,0.161
8697,NCT01131676,f3,arm_fbi 10773 25mg,-0.095,0.103,-0.928,0.3535,-0.297,0.106
8697,NCT01131676,f3,age10c:arm_fbi 10773 10mg,-0.267,0.103,-2.594,0.009498,-0.469,-0.065
8697,NCT01131676,f3,age10c:arm_fbi 10773 25mg,-0.1,0.103,-0.964,0.3348,-0.303,0.103
8697,NCT01032629,f3,age10c,0.405,0.083,4.906,9.31e-7,0.243,0.567
8697,NCT01032629,f3,arm_fjnj-28431754-300 mg,-0.165,0.103,-1.602,0.1092,-0.367,0.037
8697,NCT01032629,f3,arm_fjnj-28431754-100 mg,-0.03,0.099,-0.304,0.7613,-0.224,0.164
8697,NCT01032629,f3,age10c:arm_fjnj-28431754-300 mg,-0.125,0.121,-1.026,0.305,-0.362,0.113
8697,NCT01032629,f3,age10c:arm_fjnj-28431754-100 mg,-0.129,0.118,-1.093,0.2743,-0.361,0.102
8697,NCT01989754,f3,age10c,0.497,0.091,5.434,5.52e-8,0.318,0.676
8697,NCT01989754,f3,arm_fcanagliflozin,-0.134,0.128,-1.044,0.2965,-0.385,0.117
8697,NCT01989754,f3,age10c:arm_fcanagliflozin,-0.195,0.134,-1.456,0.1453,-0.457,0.067
8697,NCT02065791,f3,age10c,0.143,0.065,2.215,0.02676,0.016,0.269
8697,NCT02065791,f3,arm_fcana 100 mg,-0.224,0.094,-2.385,0.01708,-0.408,-0.04
8697,NCT02065791,f3,age10c:arm_fcana 100 mg,0.027,0.098,0.276,0.7827,-0.165,0.219
8697,NCT02465515,f4,sexM,0.147,0.108,1.365,0.1721,-0.064,0.358
8697,NCT02465515,f4,arm_falbiglutide,-0.402,0.145,-2.777,0.005482,-0.686,-0.118
8697,NCT02465515,f4,sexM:arm_falbiglutide,0.203,0.168,1.211,0.2259,-0.126,0.532
8697,NCT01131676,f4,sexM,0.147,0.138,1.065,0.2867,-0.123,0.417
8697,NCT01131676,f4,arm_fbi 10773 10mg,-0.219,0.175,-1.248,0.2121,-0.562,0.125
8697,NCT01131676,f4,arm_fbi 10773 25mg,-0.138,0.174,-0.789,0.4298,-0.48,0.204
