repo,nct_id,models,row,col,r
6115,NCT00968708,f2,arm_falogliptin,age10c,-0.004
6115,NCT00968708,f2,arm_falogliptin,sexMALE,0.006
6115,NCT00968708,f2,age10c,sexMALE,0.172
6115,NCT00968708,f3,age10c,arm_falogliptin,0.224
6115,NCT00968708,f3,age10c,age10c:arm_falogliptin,-0.695
6115,NCT00968708,f3,arm_falogliptin,age10c:arm_falogliptin,-0.369
6115,NCT00968708,f4,sexMALE,arm_falogliptin,0.536
6115,NCT00968708,f4,sexMALE,sexMALE:arm_falogliptin,-0.694
6115,NCT00968708,f4,arm_falogliptin,sexMALE:arm_falogliptin,-0.795
6115,NCT00968708,f5,age10c,arm_falogliptin,0.228
6115,NCT00968708,f5,age10c,sexMALE,0.175
6115,NCT00968708,f5,arm_falogliptin,sexMALE,0.532
6115,NCT00968708,f5,age10c,age10c:arm_falogliptin,-0.695
6115,NCT00968708,f5,arm_falogliptin,age10c:arm_falogliptin,-0.358
6115,NCT00968708,f5,sexMALE,age10c:arm_falogliptin,-0.122
6115,NCT00968708,f5,age10c,arm_falogliptin:sexMALE,-0.121
6115,NCT00968708,f5,arm_falogliptin,arm_falogliptin:sexMALE,-0.793
6115,NCT00968708,f5,sexMALE,arm_falogliptin:sexMALE,-0.694
6115,NCT00968708,f5,age10c:arm_falogliptin,arm_falogliptin:sexMALE,0.172
8697,NCT01131676,f1,arm_fbi 10773 10mg,arm_fbi 10773 25mg,0.465
8697,NCT01032629,f1,arm_fjnj-28431754-300 mg,arm_fjnj-28431754-100 mg,0.476
8697,NCT02465515,f2,arm_falbiglutide,age10c,0.006
8697,NCT02465515,f2,arm_falbiglutide,sexM,-0.009
8697,NCT02465515,f2,age10c,sexM,0.003
8697,NCT01131676,f2,arm_fbi 10773 10mg,arm_fbi 10773 25mg,0.465
8697,NCT01131676,f2,arm_fbi 10773 10mg,age10c,0.011
8697,NCT01131676,f2,arm_fbi 10773 25mg,age10c,0.009
8697,NCT01131676,f2,arm_fbi 10773 10mg,sexM,0.018
8697,NCT01131676,f2,arm_fbi 10773 25mg,sexM,0
8697,NCT01131676,f2,age10c,sexM,0.04
8697,NCT01032629,f2,arm_fjnj-28431754-300 mg,arm_fjnj-28431754-100 mg,0.476
8697,NCT01032629,f2,arm_fjnj-28431754-300 mg,age10c,-0.031
8697,NCT01032629,f2,arm_fjnj-28431754-100 mg,age10c,0.004
8697,NCT01032629,f2,arm_fjnj-28431754-300 mg,sexM,0.006
8697,NCT01032629,f2,arm_fjnj-28431754-100 mg,sexM,-0.004
8697,NCT01032629,f2,age10c,sexM,0.013
8697,NCT01989754,f2,arm_fcanagliflozin,age10c,-0.004
8697,NCT01989754,f2,arm_fcanagliflozin,sexM,-0.025
8697,NCT01989754,f2,age10c,sexM,0.004
8697,NCT02065791,f2,arm_fcana 100 mg,age10c,0.003
