nct_id,dropped_arms,other_arms
"2017-001,454-33",updac0125,1
ChiCTR-IPR-17011120,ac0013,2
NCT00101803,"ac0051,ac0052",2
NCT00103857,"uaa10031,uaa10032",4
NCT00135330,uaa10050,2
NCT00327015,"uaa10110,uaa10111",2
NCT00328627,"uaa10116,uaa10117,uaa10118,uaa10119,uaa10120,uaa10121,uaa10122,uaa10123",6
NCT00382096,"ab0047,ab0048",2
NCT00395512,"uaa10160,uaa10161",2
NCT00643851,uaa10260,2
NCT00655863,uaa10269,2
NCT00722371,"uaa10335,uaa10336,uaa10337",4
NCT00798161,"uaa10362,uaa10363",4
NCT00859898,uaa10408,2
NCT00915772,uaa10432,2
NCT01023581,"uaa10493,uaa10494",5
NCT01076088,"uaa10544,uaa10545",4
NCT01183013,"uaa10653,uaa10654,uaa10655",4
NCT01204294,"uaa10681,uaa10682,uaa10683,uaa10684,uaa10685,uaa10686,uaa10687",0
NCT01289119,"uaa10712,uaa10713",4
NCT01422876,"uaa10770,uaa10771",3
NCT01519674,"uaa10787,uaa10788",1
NCT01606007,uaa10813,2
NCT01708902,"uaa10874,uaa10875",4
NCT01719003,"uaa10884,uaa10885,uaa10886,uaa10887",4
NCT01809327,"uaa10935,uaa10936",3
NCT01890122,uaa10958,3
NCT01952145,unq_updaa10005,1
NCT02058147,uaa11029,2
NCT02058160,uaa11033,1
NCT02099110,"uaa11048,uaa11050",3
NCT02226003,"uaa11076,uaa11077",1
NCT02229396,uaa11087,2
NCT02273050,uaa11101,2
NCT02284893,uaa11104,1
NCT02324842,unq_updaa10011,2
NCT02420262,"unq_updaa10014,unq_updaa10015",0
NCT02455076,uaa99999,2
NCT02471404,uaa11142,2
NCT02489968,"uaa11147,uaa11148",2
NCT02501161,unq_updaa10021,1
NCT02551874,unq_updaa10023,1
NCT02607306,uaa11180,2
NCT02613897,unq_updaa10027,2
NCT02681094,uaa11198,2
NCT02752113,"updab0030,updab0031",0
NCT02773368,unq_updaa10031,1
NCT02787551,unq_updaa10034,1
NCT03172494,uaa11309,2
NCT03361098,updab0057,3
NCT03798054,updab0073,2
NCT03798080,updab0075,1
NCT03819790,"updab0076,updab0077",0
NCT04470310,updab0097,2
NCT05480007,updab0107,3
UMIN000007009,ac0139,1
UMIN000012224,ac0163,1
